traj_idx,method,ADE,RMSE,smooth,noisy_ADE,uncond_ADE,delta_ADE_vs_noisy,delta_ADE_vs_uncond,improved_vs_noisy,improved_vs_uncond
0,noisy_input,0.05268967151641846,0.057725291699171066,0.25759485363960266,0.05268967151641846,0.047386620193719864,0.0,0.005303051322698593,0,0
1,noisy_input,0.06313766539096832,0.07085802406072617,0.21430154144763947,0.06313766539096832,0.06346938759088516,0.0,-0.0003317221999168396,0,1
2,noisy_input,0.051779210567474365,0.05571683496236801,0.4836506247520447,0.051779210567474365,0.04479696601629257,0.0,0.006982244551181793,0,0
3,noisy_input,0.05588671565055847,0.061272185295820236,0.15313297510147095,0.05588671565055847,0.05423701927065849,0.0,0.0016496963798999786,0,0
4,noisy_input,0.05658530071377754,0.06404129415750504,0.1726716309785843,0.05658530071377754,0.05253947526216507,0.0,0.0040458254516124725,0,0
5,noisy_input,0.06796588748693466,0.07432424277067184,0.16809971630573273,0.06796588748693466,0.06385675817728043,0.0,0.004109129309654236,0,0
6,noisy_input,0.056925155222415924,0.06360159814357758,0.46997445821762085,0.056925155222415924,0.052198491990566254,0.0,0.00472666323184967,0,0
7,noisy_input,0.06172262877225876,0.07102378457784653,0.2411469668149948,0.06172262877225876,0.05677943676710129,0.0,0.004943192005157471,0,0
8,noisy_input,0.06060759350657463,0.0739072784781456,0.19851376116275787,0.06060759350657463,0.05658552795648575,0.0,0.0040220655500888824,0,0
9,noisy_input,0.0659550279378891,0.07036367803812027,0.19999346137046814,0.0659550279378891,0.06458798795938492,0.0,0.001367039978504181,0,0
10,noisy_input,0.05687336251139641,0.06923065334558487,0.16831055283546448,0.05687336251139641,0.0535132959485054,0.0,0.0033600665628910065,0,0
11,noisy_input,0.06904856115579605,0.08011011779308319,0.4834783971309662,0.06904856115579605,0.06840251386165619,0.0,0.0006460472941398621,0,0
12,noisy_input,0.06322519481182098,0.07269512861967087,0.44773557782173157,0.06322519481182098,0.05999799445271492,0.0,0.003227200359106064,0,0
13,noisy_input,0.07754329591989517,0.08461974561214447,0.1705045998096466,0.07754329591989517,0.07237817347049713,0.0,0.005165122449398041,0,0
14,noisy_input,0.0635475218296051,0.07099167257547379,0.17696505784988403,0.0635475218296051,0.06766773015260696,0.0,-0.004120208323001862,0,1
15,noisy_input,0.06149406358599663,0.06745760887861252,0.19606755673885345,0.06149406358599663,0.05707089230418205,0.0,0.004423171281814575,0,0
16,noisy_input,0.0525021068751812,0.06145070493221283,0.18295051157474518,0.0525021068751812,0.04696940258145332,0.0,0.005532704293727875,0,0
17,noisy_input,0.06533661484718323,0.06932801753282547,0.1858934462070465,0.06533661484718323,0.07542040944099426,0.0,-0.010083794593811035,0,1
18,noisy_input,0.06372842937707901,0.07014530897140503,0.24260497093200684,0.06372842937707901,0.058131806552410126,0.0,0.005596622824668884,0,0
19,noisy_input,0.06326358020305634,0.07194865494966507,0.5803443789482117,0.06326358020305634,0.07403336465358734,0.0,-0.010769784450531006,0,1
20,noisy_input,0.05830741673707962,0.06681666523218155,0.1485026627779007,0.05830741673707962,0.05672721937298775,0.0,0.0015801973640918732,0,0
21,noisy_input,0.06869306415319443,0.07604878395795822,0.17002573609352112,0.06869306415319443,0.0674474760890007,0.0,0.0012455880641937256,0,0
22,noisy_input,0.06361999362707138,0.06911365687847137,0.1777394413948059,0.06361999362707138,0.06207088753581047,0.0,0.00154910609126091,0,0
23,noisy_input,0.0694975033402443,0.07637134194374084,0.43005678057670593,0.0694975033402443,0.06300424039363861,0.0,0.006493262946605682,0,0
24,noisy_input,0.06091035529971123,0.06678153574466705,0.16263523697853088,0.06091035529971123,0.060476869344711304,0.0,0.0004334859549999237,0,0
25,noisy_input,0.06001255661249161,0.06595594435930252,0.18232184648513794,0.06001255661249161,0.05806099623441696,0.0,0.001951560378074646,0,0
26,noisy_input,0.06416813284158707,0.07222946733236313,0.16826771199703217,0.06416813284158707,0.05765094235539436,0.0,0.006517190486192703,0,0
27,noisy_input,0.053119100630283356,0.06218366324901581,0.17524825036525726,0.053119100630283356,0.05013475567102432,0.0,0.002984344959259033,0,0
28,noisy_input,0.06145323067903519,0.06438960134983063,0.31665515899658203,0.06145323067903519,0.055255014449357986,0.0,0.0061982162296772,0,0
29,noisy_input,0.04525135084986687,0.049853064119815826,0.17828969657421112,0.04525135084986687,0.04133107140660286,0.0,0.003920279443264008,0,0
30,noisy_input,0.05629705265164375,0.06097611039876938,0.15503937005996704,0.05629705265164375,0.05774613097310066,0.0,-0.0014490783214569092,0,1
31,noisy_input,0.06441095471382141,0.0694565698504448,0.17235404253005981,0.06441095471382141,0.05876880884170532,0.0,0.005642145872116089,0,0
32,noisy_input,0.048632748425006866,0.05626371130347252,0.1344148814678192,0.048632748425006866,0.04661046341061592,0.0,0.0020222850143909454,0,0
33,noisy_input,0.04978462681174278,0.0553671270608902,0.3969765901565552,0.04978462681174278,0.04694921523332596,0.0,0.0028354115784168243,0,0
34,noisy_input,0.06210090592503548,0.0672195628285408,0.16616785526275635,0.06210090592503548,0.06353264302015305,0.0,-0.001431737095117569,0,1
35,noisy_input,0.06946993619203568,0.07746315747499466,0.22422467172145844,0.06946993619203568,0.06550481915473938,0.0,0.003965117037296295,0,0
36,noisy_input,0.0519719198346138,0.05791193246841431,0.12539997696876526,0.0519719198346138,0.05699991434812546,0.0,-0.005027994513511658,0,1
37,noisy_input,0.054066289216279984,0.060988396406173706,0.12783241271972656,0.054066289216279984,0.05498252063989639,0.0,-0.0009162314236164093,0,1
38,noisy_input,0.05767141655087471,0.06649630516767502,0.1928032487630844,0.05767141655087471,0.05830905959010124,0.0,-0.000637643039226532,0,1
39,noisy_input,0.058270812034606934,0.062285520136356354,0.14028388261795044,0.058270812034606934,0.05720699578523636,0.0,0.001063816249370575,0,0
40,noisy_input,0.06381482630968094,0.07164228707551956,0.15788374841213226,0.06381482630968094,0.059228479862213135,0.0,0.004586346447467804,0,0
41,noisy_input,0.04674428701400757,0.05210253968834877,0.2257722020149231,0.04674428701400757,0.043067172169685364,0.0,0.0036771148443222046,0,0
42,noisy_input,0.06890759617090225,0.07556033879518509,0.20640581846237183,0.06890759617090225,0.06586993485689163,0.0,0.00303766131401062,0,0
43,noisy_input,0.05525180697441101,0.0630064457654953,0.5142030119895935,0.05525180697441101,0.049309320747852325,0.0,0.005942486226558685,0,0
44,noisy_input,0.058719534426927567,0.06605015695095062,0.1930064558982849,0.058719534426927567,0.06010277941823006,0.0,-0.0013832449913024902,0,1
45,noisy_input,0.05506425350904465,0.059542473405599594,0.1535624861717224,0.05506425350904465,0.052240628749132156,0.0,0.002823624759912491,0,0
46,noisy_input,0.06088675186038017,0.06547555327415466,0.21503746509552002,0.06088675186038017,0.062371738255023956,0.0,-0.0014849863946437836,0,1
47,noisy_input,0.05681475251913071,0.06625670194625854,0.14031903445720673,0.05681475251913071,0.05824948474764824,0.0,-0.0014347322285175323,0,1
48,noisy_input,0.06416036933660507,0.07090205699205399,0.33097895979881287,0.06416036933660507,0.059942763298749924,0.0,0.004217606037855148,0,0
49,noisy_input,0.050704699009656906,0.055561307817697525,0.43534010648727417,0.050704699009656906,0.05231960862874985,0.0,-0.0016149096190929413,0,1
50,noisy_input,0.06765604764223099,0.08247542381286621,0.15266388654708862,0.06765604764223099,0.06649713218212128,0.0,0.0011589154601097107,0,0
51,noisy_input,0.05603696033358574,0.06232739984989166,0.15089493989944458,0.05603696033358574,0.054497383534908295,0.0,0.0015395767986774445,0,0
52,noisy_input,0.04654904827475548,0.05289354920387268,0.2181859165430069,0.04654904827475548,0.04397742450237274,0.0,0.002571623772382736,0,0
53,noisy_input,0.05436959117650986,0.06369820237159729,0.15194040536880493,0.05436959117650986,0.05152921751141548,0.0,0.0028403736650943756,0,0
54,noisy_input,0.05588964745402336,0.06263424456119537,0.1693001240491867,0.05588964745402336,0.05241354554891586,0.0,0.003476101905107498,0,0
55,noisy_input,0.0649377852678299,0.07140223681926727,0.221160426735878,0.0649377852678299,0.05912049859762192,0.0,0.005817286670207977,0,0
56,noisy_input,0.0474541038274765,0.054222606122493744,0.1410312056541443,0.0474541038274765,0.04686834663152695,0.0,0.0005857571959495544,0,0
57,noisy_input,0.05567995831370354,0.06225590035319328,0.17635172605514526,0.05567995831370354,0.0524483323097229,0.0,0.0032316260039806366,0,0
58,noisy_input,0.06290137022733688,0.06835019588470459,0.12769155204296112,0.06290137022733688,0.06125074625015259,0.0,0.0016506239771842957,0,0
59,noisy_input,0.06501203775405884,0.07062306255102158,0.1676061749458313,0.06501203775405884,0.06448425352573395,0.0,0.0005277842283248901,0,0
60,noisy_input,0.07986714690923691,0.08753584325313568,0.3615890145301819,0.07986714690923691,0.08646555244922638,0.0,-0.0065984055399894714,0,1
61,noisy_input,0.06355413794517517,0.07137571275234222,0.18731608986854553,0.06355413794517517,0.059572983533144,0.0,0.003981154412031174,0,0
62,noisy_input,0.060209810733795166,0.06651534885168076,0.14791762828826904,0.060209810733795166,0.061993181705474854,0.0,-0.0017833709716796875,0,1
63,noisy_input,0.06362495571374893,0.0706520825624466,0.17745628952980042,0.06362495571374893,0.06161310151219368,0.0,0.002011854201555252,0,0
64,noisy_input,0.05301336571574211,0.06215537339448929,0.15553700923919678,0.05301336571574211,0.04893536865711212,0.0,0.00407799705862999,0,0
65,noisy_input,0.06843168288469315,0.07318937033414841,0.21629437804222107,0.06843168288469315,0.06356517225503922,0.0,0.004866510629653931,0,0
66,noisy_input,0.08183147758245468,0.09079550206661224,0.20187802612781525,0.08183147758245468,0.08051754534244537,0.0,0.0013139322400093079,0,0
67,noisy_input,0.04765406250953674,0.05380195751786232,0.15165942907333374,0.04765406250953674,0.04511740058660507,0.0,0.002536661922931671,0,0
68,noisy_input,0.06450282037258148,0.07236339151859283,0.19587844610214233,0.06450282037258148,0.06344390660524368,0.0,0.001058913767337799,0,0
69,noisy_input,0.06581691652536392,0.0700242668390274,0.22751519083976746,0.06581691652536392,0.06188448145985603,0.0,0.003932435065507889,0,0
70,noisy_input,0.06503480672836304,0.07312535494565964,0.26727980375289917,0.06503480672836304,0.06114041060209274,0.0,0.003894396126270294,0,0
71,noisy_input,0.08243260532617569,0.09130103886127472,0.430653840303421,0.08243260532617569,0.07790100574493408,0.0,0.004531599581241608,0,0
72,noisy_input,0.059163399040699005,0.06551691889762878,0.21139493584632874,0.059163399040699005,0.057292915880680084,0.0,0.001870483160018921,0,0
73,noisy_input,0.048943597823381424,0.059210751205682755,0.170535609126091,0.048943597823381424,0.04586131125688553,0.0,0.0030822865664958954,0,0
74,noisy_input,0.05488523095846176,0.06209534779191017,0.3997913897037506,0.05488523095846176,0.05400891229510307,0.0,0.0008763186633586884,0,0
75,noisy_input,0.061505354940891266,0.07200919836759567,0.15565665066242218,0.061505354940891266,0.061430513858795166,0.0,7.484108209609985e-05,0,0
76,noisy_input,0.06336772441864014,0.06893615424633026,0.16765718162059784,0.06336772441864014,0.06255820393562317,0.0,0.0008095204830169678,0,0
77,noisy_input,0.057621002197265625,0.06622353196144104,0.1471443772315979,0.057621002197265625,0.0551779679954052,0.0,0.002443034201860428,0,0
78,noisy_input,0.055813103914260864,0.06254932284355164,0.1270044893026352,0.055813103914260864,0.05541296675801277,0.0,0.00040013715624809265,0,0
79,noisy_input,0.05461578816175461,0.06252054125070572,0.18641580641269684,0.05461578816175461,0.06119605898857117,0.0,-0.006580270826816559,0,1
80,noisy_input,0.06143757700920105,0.07038457691669464,0.16220363974571228,0.06143757700920105,0.059599995613098145,0.0,0.0018375813961029053,0,0
81,noisy_input,0.06261061131954193,0.06964774429798126,0.22152715921401978,0.06261061131954193,0.06408657133579254,0.0,-0.0014759600162506104,0,1
82,noisy_input,0.06371063739061356,0.06747692823410034,0.2529352307319641,0.06371063739061356,0.05748429149389267,0.0,0.006226345896720886,0,0
83,noisy_input,0.06458045542240143,0.07572315633296967,0.1238197460770607,0.06458045542240143,0.061417825520038605,0.0,0.0031626299023628235,0,0
84,noisy_input,0.06669057905673981,0.0781894251704216,0.3272639513015747,0.06669057905673981,0.06151527911424637,0.0,0.005175299942493439,0,0
85,noisy_input,0.058885347098112106,0.06669173389673233,0.414104700088501,0.058885347098112106,0.05503176525235176,0.0,0.0038535818457603455,0,0
86,noisy_input,0.05872054770588875,0.06591162830591202,0.20251381397247314,0.05872054770588875,0.05923238396644592,0.0,-0.0005118362605571747,0,1
87,noisy_input,0.0609772689640522,0.06969040632247925,0.517386257648468,0.0609772689640522,0.06673810631036758,0.0,-0.005760837346315384,0,1
88,noisy_input,0.06288284063339233,0.0694887563586235,0.17748552560806274,0.06288284063339233,0.05980512499809265,0.0,0.0030777156352996826,0,0
89,noisy_input,0.06404105573892593,0.0755595937371254,0.22349926829338074,0.06404105573892593,0.06562267243862152,0.0,-0.0015816166996955872,0,1
90,noisy_input,0.06123713403940201,0.06656623631715775,0.3742240071296692,0.06123713403940201,0.061442695558071136,0.0,-0.00020556151866912842,0,1
91,noisy_input,0.07062261551618576,0.08143483102321625,0.18131333589553833,0.07062261551618576,0.07111223042011261,0.0,-0.0004896149039268494,0,1
92,noisy_input,0.06249571964144707,0.0675351470708847,0.18886736035346985,0.06249571964144707,0.06141924858093262,0.0,0.00107647106051445,0,0
93,noisy_input,0.07992082089185715,0.08878232538700104,0.22813326120376587,0.07992082089185715,0.07513746619224548,0.0,0.004783354699611664,0,0
94,noisy_input,0.06401105225086212,0.06877055019140244,0.30806803703308105,0.06401105225086212,0.057054661214351654,0.0,0.0069563910365104675,0,0
95,noisy_input,0.06344695389270782,0.07464179396629333,0.1804322600364685,0.06344695389270782,0.06146591156721115,0.0,0.0019810423254966736,0,0
96,noisy_input,0.05727323889732361,0.06087341159582138,0.17227008938789368,0.05727323889732361,0.05582281947135925,0.0,0.0014504194259643555,0,0
97,noisy_input,0.05725973844528198,0.06536348164081573,0.1539067029953003,0.05725973844528198,0.05469636246562004,0.0,0.0025633759796619415,0,0
98,noisy_input,0.06984086334705353,0.07839515805244446,0.15195311605930328,0.06984086334705353,0.06922914832830429,0.0,0.0006117150187492371,0,0
99,noisy_input,0.05965913087129593,0.06772168725728989,0.2174004316329956,0.05965913087129593,0.05975158140063286,0.0,-9.245052933692932e-05,0,1
100,noisy_input,0.061298519372940063,0.06865006685256958,0.559107780456543,0.061298519372940063,0.06733233481645584,0.0,-0.006033815443515778,0,1
101,noisy_input,0.07044897973537445,0.08044664561748505,0.1754961609840393,0.07044897973537445,0.067762091755867,0.0,0.0026868879795074463,0,0
