method,degradation,ADE_mean,ADE_std,ADE_median,ADE_p25,ADE_p75,RMSE_mean,RMSE_std,RMSE_median,RMSE_p25,RMSE_p75,smooth_mean,smooth_std,smooth_median,smooth_p25,smooth_p75,n_traj,n_seed
noisy_input,gaussian_medium,0.1467972993850708,0.016177652403712273,0.1464986652135849,0.13624411821365356,0.15757916867733002,0.1649225503206253,0.017482062801718712,0.1644343137741089,0.15332655608654022,0.17628055810928345,0.3723292350769043,0.05984126403927803,0.36944133043289185,0.33056169748306274,0.4124823808670044,1000,1
kalman_cv,gaussian_medium,0.12364182621240616,0.039995625615119934,0.12088276445865631,0.0933057963848114,0.15017926692962646,0.14196240901947021,0.04491236433386803,0.13784974813461304,0.10829974710941315,0.17275632917881012,0.025579815730452538,0.008083142340183258,0.025402575731277466,0.020300233736634254,0.03098152205348015,1000,1
ddpm_eth_sdedit,gaussian_medium,1.9849224090576172,0.49618008732795715,1.9317415952682495,1.6246238946914673,2.288339614868164,2.2718849182128906,0.5674802660942078,2.217513084411621,1.8650827407836914,2.6056690216064453,0.04066305235028267,0.006881713401526213,0.040486887097358704,0.036072999238967896,0.04514526203274727,1000,5
ddpm_finetuned_sdedit,gaussian_medium,1.4595438241958618,0.31658002734184265,1.4370054006576538,1.2381385564804077,1.6430704593658447,1.640303611755371,0.35006389021873474,1.6109999418258667,1.3917943239212036,1.840079426765442,0.06789113581180573,0.012174070812761784,0.06772260367870331,0.05932419374585152,0.07554834336042404,1000,5
noisy_input,bias_medium,0.15447455644607544,0.07821964472532272,0.14896979928016663,0.09596516191959381,0.20476238429546356,0.15447455644607544,0.07821964472532272,0.14896979928016663,0.09596516191959381,0.20476239919662476,0.06672006845474243,0.03193838521838188,0.06216740980744362,0.043471887707710266,0.08577531576156616,1000,1
kalman_cv,bias_medium,0.19113899767398834,0.06846345216035843,0.18650847673416138,0.14130941033363342,0.23377625644207,0.20605874061584473,0.06918001174926758,0.20288479328155518,0.1556774377822876,0.25051942467689514,0.024476364254951477,0.00828486867249012,0.02439679205417633,0.01929175853729248,0.03006495162844658,1000,1
ddpm_eth_sdedit,bias_medium,0.18539614975452423,0.06810329109430313,0.17806565761566162,0.13150286674499512,0.22727015614509583,0.19153515994548798,0.06675262749195099,0.18280579149723053,0.1402103304862976,0.23235012590885162,0.06895586848258972,0.03034910559654236,0.0648920089006424,0.045771531760692596,0.08676333725452423,1000,5
ddpm_finetuned_sdedit,bias_medium,0.1828693151473999,0.06798476725816727,0.17474547028541565,0.1301395148038864,0.2216537594795227,0.18839991092681885,0.06661071628332138,0.17911525070667267,0.13806773722171783,0.2257605493068695,0.07041973620653152,0.032042983919382095,0.06560583412647247,0.04649079591035843,0.0888245701789856,1000,5
noisy_input,drift_medium,0.15338970720767975,0.061161380261182785,0.14423850178718567,0.10830884426832199,0.1896897852420807,0.17359411716461182,0.06852460652589798,0.16199716925621033,0.12371553480625153,0.21353721618652344,0.11401214450597763,0.02670503966510296,0.11001010984182358,0.09490959346294403,0.1300836205482483,1000,1
kalman_cv,drift_medium,0.18661990761756897,0.059676021337509155,0.1831945925951004,0.14609646797180176,0.21968692541122437,0.21129384636878967,0.06608318537473679,0.20591413974761963,0.16635151207447052,0.24694514274597168,0.02500586397945881,0.00816362164914608,0.024934470653533936,0.019743913784623146,0.030149461701512337,1000,1
ddpm_eth_sdedit,drift_medium,1.2331377267837524,0.27694010734558105,1.214773416519165,1.0344904661178589,1.4075067043304443,1.4079041481018066,0.3118169605731964,1.3950902223587036,1.1795752048492432,1.6084223985671997,0.036587271839380264,0.006867103278636932,0.036203689873218536,0.032028116285800934,0.040578074753284454,1000,5
ddpm_finetuned_sdedit,drift_medium,1.0929287672042847,0.2260163277387619,1.083672046661377,0.9302482008934021,1.2283140420913696,1.2428964376449585,0.25097930431365967,1.2320961952209473,1.0626404285430908,1.393052339553833,0.0674738958477974,0.012003464624285698,0.06690515577793121,0.05909537896513939,0.07485950738191605,1000,5
noisy_input,jump_medium,0.15021514892578125,0.0934462770819664,0.13590775430202484,0.08013193309307098,0.1916293054819107,0.19868478178977966,0.09263056516647339,0.17888540029525757,0.13629013299942017,0.2415984869003296,0.09171975404024124,0.032312944531440735,0.08914637565612793,0.0673200711607933,0.11123578250408173,1000,1
kalman_cv,jump_medium,0.20314733684062958,0.07935899496078491,0.19010795652866364,0.15067672729492188,0.23827412724494934,0.2333102524280548,0.0834893062710762,0.2177111953496933,0.17839880287647247,0.27075088024139404,0.02501041442155838,0.008356019854545593,0.02464086003601551,0.019791090860962868,0.030373133718967438,1000,1
