method,degradation,metric,std_across_trajectories,std_across_seeds,std_total
ddpm_v3_inpainting,missing_noise,masked_ADE,0.11996617390604492,0.08396038537551653,0.12013792627202446
ddpm_v3_inpainting,missing_noise,masked_RMSE,0.09396691360947483,0.06599793674041668,0.09412865141296027
ddpm_v3_inpainting,missing_noise,wall_crossing_count,0.0,0.0,0.0
ddpm_v3_inpainting,missing_noise,off_map_ratio,0.06818070806818824,0.020774573771173657,0.06837530785304753
linear_interp,missing_drift,ADE,0.010053601115942001,nan,0.010053601115942001
linear_interp,missing_drift,RMSE,0.00973720196634531,nan,0.00973720196634531
linear_interp,missing_drift,masked_ADE,0.015530243752075405,nan,0.015530243752075405
linear_interp,missing_drift,masked_RMSE,0.011057663152696259,nan,0.011057663152696259
linear_interp,missing_drift,wall_crossing_count,0.0,nan,0.0
linear_interp,missing_drift,off_map_ratio,0.002207549717862758,nan,0.002207549717862758
savgol_w5_p2,missing_drift,ADE,0.010000593028962612,nan,0.010000593028962612
savgol_w5_p2,missing_drift,RMSE,0.009689045138657093,nan,0.009689045138657093
savgol_w5_p2,missing_drift,masked_ADE,0.015319400211163665,nan,0.015319400211163665
savgol_w5_p2,missing_drift,masked_RMSE,0.010927769078369821,nan,0.010927769078369821
savgol_w5_p2,missing_drift,wall_crossing_count,0.0,nan,0.0
savgol_w5_p2,missing_drift,off_map_ratio,0.002207549717862758,nan,0.002207549717862758
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,ADE,0.011895556002855301,nan,0.011895556002855301
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,RMSE,0.01603792980313301,nan,0.01603792980313301
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,masked_ADE,0.03656231714844559,nan,0.03656231714844559
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,masked_RMSE,0.028185386830928645,nan,0.028185386830928645
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,wall_crossing_count,0.0,nan,0.0
kalman_cv_dt1.0_q1e-3_r1e-2,missing_drift,off_map_ratio,0.004675022047674239,nan,0.004675022047674239
ddpm_v1_masked_replace,missing_drift,ADE,0.014957915060222149,nan,0.014957915060222149
ddpm_v1_masked_replace,missing_drift,RMSE,0.025995692238211632,nan,0.025995692238211632
ddpm_v1_masked_replace,missing_drift,masked_ADE,0.06517098177691319,nan,0.06517098177691319
ddpm_v1_masked_replace,missing_drift,masked_RMSE,0.04626093452864796,nan,0.04626093452864796
ddpm_v1_masked_replace,missing_drift,wall_crossing_count,0.0,nan,0.0
ddpm_v1_masked_replace,missing_drift,off_map_ratio,0.002207549717862758,nan,0.002207549717862758
ddpm_v2_blend_alpha0.1,missing_drift,ADE,0.010042217560112476,nan,0.010042217560112476
ddpm_v2_blend_alpha0.1,missing_drift,RMSE,0.009888065047562122,nan,0.009888065047562122
ddpm_v2_blend_alpha0.1,missing_drift,masked_ADE,0.01801425116555954,nan,0.01801425116555954
ddpm_v2_blend_alpha0.1,missing_drift,masked_RMSE,0.012811215154674652,nan,0.012811215154674652
ddpm_v2_blend_alpha0.1,missing_drift,wall_crossing_count,0.0,nan,0.0
ddpm_v2_blend_alpha0.1,missing_drift,off_map_ratio,0.002207549717862758,nan,0.002207549717862758
ddpm_v3_inpainting,missing_drift,ADE,0.11525671184062958,0.08056340366601944,0.11552751064300537
ddpm_v3_inpainting,missing_drift,RMSE,0.1553262621164322,0.10830612480640411,0.15572653710842133
ddpm_v3_inpainting,missing_drift,masked_ADE,0.11798380610050167,0.08245308986874705,0.1181588438363912
ddpm_v3_inpainting,missing_drift,masked_RMSE,0.09298864556780755,0.06509018822920414,0.09315372734820299
ddpm_v3_inpainting,missing_drift,wall_crossing_count,0.0,0.0,0.0
ddpm_v3_inpainting,missing_drift,off_map_ratio,0.06599477971581928,0.019633989880507095,0.0663232412888008
linear_interp,missing_noise_drift,ADE,0.008815711364150047,nan,0.008815711364150047
linear_interp,missing_noise_drift,RMSE,0.009039790369570255,nan,0.009039790369570255
linear_interp,missing_noise_drift,masked_ADE,0.020396315184619936,nan,0.020396315184619936
linear_interp,missing_noise_drift,masked_RMSE,0.014303006379283393,nan,0.014303006379283393
linear_interp,missing_noise_drift,wall_crossing_count,0.0,nan,0.0
linear_interp,missing_noise_drift,off_map_ratio,0.002702362129301116,nan,0.002702362129301116
savgol_w5_p2,missing_noise_drift,ADE,0.009574448689818382,nan,0.009574448689818382
savgol_w5_p2,missing_noise_drift,RMSE,0.009807709604501724,nan,0.009807709604501724
savgol_w5_p2,missing_noise_drift,masked_ADE,0.020408882638242393,nan,0.020408882638242393
savgol_w5_p2,missing_noise_drift,masked_RMSE,0.014297362605019669,nan,0.014297362605019669
savgol_w5_p2,missing_noise_drift,wall_crossing_count,0.0,nan,0.0
savgol_w5_p2,missing_noise_drift,off_map_ratio,0.002702362129301116,nan,0.002702362129301116
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,ADE,0.011975621804594994,nan,0.011975621804594994
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,RMSE,0.016043271869421005,nan,0.016043271869421005
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,masked_ADE,0.04072931034650786,nan,0.04072931034650786
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,masked_RMSE,0.030709659667914526,nan,0.030709659667914526
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,wall_crossing_count,0.0,nan,0.0
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise_drift,off_map_ratio,0.004409696056592046,nan,0.004409696056592046
ddpm_v1_masked_replace,missing_noise_drift,ADE,0.014738685451447964,nan,0.014738685451447964
ddpm_v1_masked_replace,missing_noise_drift,RMSE,0.0235750749707222,nan,0.0235750749707222
ddpm_v1_masked_replace,missing_noise_drift,masked_ADE,0.066755549483979,nan,0.066755549483979
ddpm_v1_masked_replace,missing_noise_drift,masked_RMSE,0.047295391768685205,nan,0.047295391768685205
ddpm_v1_masked_replace,missing_noise_drift,wall_crossing_count,0.0,nan,0.0
ddpm_v1_masked_replace,missing_noise_drift,off_map_ratio,0.002702362129301116,nan,0.002702362129301116
