method,N,ADE_mean,ADE_std,RMSE_mean,RMSE_std,smooth_mean,smooth_std,delta_ADE_vs_noisy_mean,improved_fraction_vs_noisy,wilcoxon_p_vs_noisy,delta_ADE_vs_uncond_mean,improved_fraction_vs_uncond,wilcoxon_p_vs_uncond
noisy_input,200,0.06256657093763351,0.0077235023491084576,0.06978799402713776,0.008084760047495365,0.23192329704761505,0.10615459829568863,0.0,0.0,nan,0.001754753291606903,0.235,1.0
kalman_cv,200,0.08500171452760696,0.0281151682138443,0.10003968328237534,0.03308471664786339,0.10518587380647659,0.03537381440401077,0.0224351454526186,0.235,1.0,0.024189896881580353,0.205,1.0
unconditional_sdedit_t2,200,0.06081181392073631,0.008393502794206142,0.06799358129501343,0.008942747488617897,0.22401531040668488,0.1069495677947998,-0.001754753291606903,0.765,1.674860201699921e-13,0.0,0.0,nan
cond_residual_full,200,0.05880478769540787,0.021773794665932655,0.0631096363067627,0.021647023037075996,0.12628860771656036,0.12908905744552612,-0.0037617802154272795,0.63,0.00044603602145798504,-0.0020070266909897327,0.615,0.014657515101134777
cond_residual_t20,200,0.05569539964199066,0.01624820940196514,0.0617598257958889,0.01711886003613472,0.1619591861963272,0.11950384080410004,-0.006871167570352554,0.73,5.3349935580371266e-11,-0.005116414278745651,0.73,6.689548825988823e-08
cond_residual_t10,200,0.058202799409627914,0.012512010522186756,0.0652800053358078,0.013499913737177849,0.19177669286727905,0.11304236948490143,-0.004363766871392727,0.705,3.551152927272483e-09,-0.00260901334695518,0.66,1.672729558777064e-05
