epoch,train_loss,val_loss
1,0.2630931074253403,0.15652663459685315
2,0.1415092408893132,0.1315804813562396
3,0.12947204903210743,0.1275954830103099
4,0.1268108874028272,0.11927478984101554
5,0.1215595991983272,0.11959976430630546
6,0.11935605996906168,0.11715351338670693
7,0.118247001708144,0.1209550923998817
8,0.12001910857044824,0.11757572543246986
9,0.1153308989535464,0.12043225444547966
10,0.11556538025931556,0.11507305401996724
11,0.1159309955870751,0.11580503869000058
12,0.11726945996284485,0.11916322759521336
13,0.11697689757488741,0.11710311354705306
14,0.11605333214939231,0.1112369965460248
15,0.11510418832007022,0.11707157506532798
16,0.11282835346637386,0.11574534905166868
17,0.11465720634354223,0.11167427467027766
18,0.11490976839962572,0.11067174959480114
19,0.11523950162500438,0.11643577368689914
20,0.11314185834757172,0.11152170451442409
21,0.11262035678813953,0.11410825318999632
22,0.11396222443863897,0.1095692788615271
23,0.11084208621542052,0.11386718991439523
24,0.11258853281783586,0.11379330903380207
25,0.11081773571743823,0.1129495671785626
26,0.11023028344506085,0.1107714130804813
27,0.11142015573116812,0.11245951208707673
28,0.11291394762768604,0.11121803947225276
29,0.10935930272435197,0.1080970337378037
30,0.11020341890873295,0.10942086350107118
31,0.11022166806282384,0.10882076276479158
32,0.11118571267564697,0.11189894001452291
33,0.11129705809720672,0.10725973087168052
34,0.1096113983622872,0.1106052876486445
35,0.10949878105432681,0.10973067697151608
36,0.1092643210232848,0.11005828533136498
37,0.10831235908635772,0.11474735241282272
38,0.11246906067770307,0.10692368776278788
39,0.10964379396474007,0.106630338165246
40,0.1109512970707204,0.1096909257757194
41,0.1092664085166289,0.10499834450718862
42,0.10761343285588935,0.10984677867272472
43,0.10763308183686568,0.10671750047205227
44,0.10664811293972601,0.10834274903880892
45,0.10713817903606018,0.10739168614426407
46,0.10746449349245223,0.10472202215766321
47,0.10790185686975423,0.11084719781821564
48,0.10711901711355341,0.10846056468626977
49,0.10781814834268967,0.11304320688826852
50,0.10708188456769037,0.10606154499579552
51,0.10926341951188474,0.10820970592835567
52,0.10854463489929048,0.10862034173076447
53,0.10894681675599353,0.10851339062879024
54,0.10641016398326004,0.10703076411889015
55,0.10790609271219462,0.10880881180782834
56,0.10667044120259804,0.1060579486532014
57,0.10765547713430801,0.10444042027745948
58,0.1093393011228873,0.10728448525239302
59,0.10560385218941339,0.10633008391066273
60,0.10742039693169074,0.10696648194916861
61,0.10898068522167678,0.10577417588386175
62,0.10584496300409336,0.10258676555104314
63,0.10570112603135629,0.10714262336126722
64,0.10646952143990167,0.10399639655890688
65,0.10803319442980361,0.10372999190865259
66,0.10573428917344253,0.11091538300209294
67,0.10631086020776541,0.1072996777857183
68,0.10766726520982119,0.10790987659877797
69,0.10702238203570394,0.10625059942494901
70,0.1062753719504517,0.10759542820194504
71,0.10517510089543787,0.10189075798822898
72,0.10474240609029732,0.10526630130469787
73,0.10708455960054208,0.10521177984692984
74,0.10531588500974202,0.11002518998068457
75,0.10496501093158628,0.10428300335445727
76,0.10661143813392904,0.10447597245819804
77,0.10690405479752191,0.1077642487363871
78,0.10517153278730884,0.10497087990734937
79,0.10613988666251155,0.10478173490297296
80,0.1041898704017743,0.10594128191004977
81,0.10587957994772657,0.10305489945018724
82,0.10583369970026582,0.10501808852216933
83,0.10609552312605453,0.10494953567109422
84,0.10551937252283096,0.1034669379029409
85,0.10634179118246136,0.10678600232109318
86,0.10577331616736875,0.10824866092097662
87,0.10577286706997617,0.10644951584881496
88,0.10435997952033978,0.10748645642167907
89,0.10631341595755946,0.10823927338708393
90,0.10590304587147023,0.10604785045546557
91,0.1045698815377632,0.10590334432216192
92,0.10474587988735426,0.10986725970220622
93,0.10431994542036907,0.1066504685572175
94,0.10579465752781028,0.1039817229789499
95,0.10518034965094954,0.10256135493658529
96,0.10590938084786482,0.1051119437691623
97,0.10513555874623874,0.10670782821269537
98,0.10585571951205187,0.10812176756046003
99,0.10466149719634858,0.10847534892748333
100,0.10414394973528267,0.10517742574344742
