metric,real_mean,gen_mean,real_std,gen_std,real_median,gen_median,real_q10,gen_q10,real_q90,gen_q90,mean_ratio_gen_over_real,std_ratio_gen_over_real
step_norm_all,0.457512,0.404608,0.329879,0.260616,0.441475,0.348981,0.000000,0.123764,0.925991,0.755211,0.884366,0.790035
avg_speed,0.457512,0.404608,0.272661,0.130873,0.418445,0.373692,0.123851,0.267306,0.877419,0.593267,0.884366,0.479986
total_length,8.692724,7.687545,5.180553,2.486593,7.950448,7.100156,2.353162,5.078811,16.670958,11.272068,0.884365,0.479986
endpoint_displacement,7.973837,4.820285,5.615133,3.200644,7.763221,4.021075,0.798311,1.283914,16.344006,9.590772,0.604513,0.570003
moving_ratio_global,0.790197,0.927940,0.243641,0.072040,0.947368,0.947368,0.421053,0.842105,1.000000,1.000000,1.174314,0.295680
propulsion_ratio,0.815223,0.587591,0.267608,0.252670,0.955607,0.607453,0.319247,0.219325,0.993510,0.912039,0.720773,0.944181
acc_rms,0.184270,0.317357,0.060043,0.051727,0.187291,0.314031,0.102252,0.254918,0.263860,0.386975,1.722234,0.861502
