method,method_label,missing_condition,trajectory_idx,seed_idx,case_id,population_unit,span_start,span_end,masked_ADE,masked_RMSE,endpoint_error,path_length_error,acceleration_error
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,108,0,traj108_seed0,trajectory_seed,8,11,0.13920314610004425,0.10399763286113739,0.14609955251216888,0.019291281700134277,0.061990752816200256
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,108,1,traj108_seed1,trajectory_seed,8,11,0.08470682054758072,0.06386729329824448,0.11833099275827408,0.02896285057067871,0.056360747665166855
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,108,2,traj108_seed2,trajectory_seed,8,11,0.06929964572191238,0.05730012059211731,0.027421513572335243,0.025410056114196777,0.05246218293905258
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,108,3,traj108_seed3,trajectory_seed,8,11,0.07606663554906845,0.060963526368141174,0.1155313178896904,0.026226401329040527,0.05211130902171135
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,108,4,traj108_seed4,trajectory_seed,8,11,0.054138343781232834,0.03872328996658325,0.058361589908599854,0.018757224082946777,0.04101258143782616
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,109,0,traj109_seed0,trajectory_seed,8,11,0.08588656038045883,0.06162900850176811,0.0998692587018013,0.02108311653137207,0.044495098292827606
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,109,1,traj109_seed1,trajectory_seed,8,11,0.08557155728340149,0.06238968297839165,0.11343090981245041,0.020603656768798828,0.0476522371172905
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,109,2,traj109_seed2,trajectory_seed,8,11,0.05162282660603523,0.0421241819858551,0.08705045282840729,0.024096965789794922,0.04318667948246002
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,109,3,traj109_seed3,trajectory_seed,8,11,0.05292429029941559,0.04059485346078873,0.08572549372911453,0.023613452911376953,0.04306739941239357
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,109,4,traj109_seed4,trajectory_seed,8,11,0.08712109178304672,0.068268783390522,0.035102758556604385,0.010695457458496094,0.04079338163137436
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,110,0,traj110_seed0,trajectory_seed,8,11,0.09014824032783508,0.06462826579809189,0.09349893778562546,0.010804414749145508,0.03393547236919403
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,110,1,traj110_seed1,trajectory_seed,8,11,0.1383472979068756,0.09867418557405472,0.11043557524681091,0.001386404037475586,0.05074227228760719
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,110,2,traj110_seed2,trajectory_seed,8,11,0.11553234606981277,0.08319215476512909,0.08544036746025085,0.011963129043579102,0.04535646736621857
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,110,3,traj110_seed3,trajectory_seed,8,11,0.07586757838726044,0.05515981465578079,0.10155677050352097,0.004892587661743164,0.05013163760304451
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,110,4,traj110_seed4,trajectory_seed,8,11,0.06364576518535614,0.0495728924870491,0.037789154797792435,0.015089273452758789,0.04129472002387047
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,111,0,traj111_seed0,trajectory_seed,8,11,0.05014216527342796,0.04030892252922058,0.06005449965596199,0.012703180313110352,0.03790269047021866
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,111,1,traj111_seed1,trajectory_seed,8,11,0.08447916060686111,0.06228455901145935,0.056651629507541656,0.015273094177246094,0.036775775253772736
ddpm_v3_inpainting_anchored,DDPM v3 inpainting anchored final,missing_only,111,2,traj111_seed2,trajectory_seed,8,11,0.07492777705192566,0.05557797849178314,0.04980029910802841,0.015091180801391602,0.03892897814512253
