degradation,method,confidence_bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75,delta0_auto
gaussian_medium,noisy_input,high,334,0.014083260558071563,0.004760466517190648,0.014847654849290848,0.0016955116298049688,0.020977450534701347,0.010835865279659629,0.01817986322566867,0.05882825329899788
gaussian_medium,stage3_cond_residual_t20,high,334,0.04417739396644366,0.02721289560911999,0.04004107043147087,0.002704634563997388,0.1522614061832428,0.022586079314351082,0.06040470115840435,0.05882825329899788
gaussian_medium,e1_oracle_gated_residual,high,334,0.015238317256322142,0.008353647372929464,0.01462451322004199,0.001018577953800559,0.042129404842853546,0.008956501493230462,0.020368427503854036,0.05882825329899788
gaussian_medium,noisy_input,mid,2177,0.046816306528376504,0.013633796246372306,0.04701489582657814,0.020996328443288803,0.07079875469207764,0.03567871078848839,0.05810961127281189,0.05882825329899788
gaussian_medium,stage3_cond_residual_t20,mid,2177,0.048852670337678844,0.02712653963787851,0.044759027659893036,0.0012107033981010318,0.1879103034734726,0.02906077541410923,0.06403913348913193,0.05882825329899788
gaussian_medium,e1_oracle_gated_residual,mid,2177,0.03897941186936952,0.019784942867534884,0.03669390454888344,0.0008204734767787158,0.14442692697048187,0.02446834184229374,0.05115699768066406,0.05882825329899788
gaussian_medium,noisy_input,low,1489,0.09646969591814691,0.02066272577507897,0.09200888127088547,0.07085633277893066,0.19743014872074127,0.0800308883190155,0.10734082013368607,0.05882825329899788
gaussian_medium,stage3_cond_residual_t20,low,1489,0.06828348056236226,0.03467143366215673,0.06551266461610794,0.004111028276383877,0.23924212157726288,0.04302865266799927,0.08935236185789108,0.05882825329899788
gaussian_medium,e1_oracle_gated_residual,low,1489,0.06923709337160497,0.03126234588573226,0.06729498505592346,0.003310434753075242,0.23086407780647278,0.04804984852671623,0.08761590719223022,0.05882825329899788
drift_medium,noisy_input,high,581,0.0024078645594754673,0.0020331835174819137,0.0027626536320894957,0.0,0.005584052763879299,0.0,0.0043183923698961735,0.01567825675010681
drift_medium,stage3_cond_residual_t20,high,581,0.014949390903851063,0.015574137266407684,0.012716878205537796,0.0,0.08419439941644669,0.0,0.023401999846100807,0.01567825675010681
drift_medium,e1_oracle_gated_residual,high,581,0.003634951839811792,0.004025562176554503,0.002766376594081521,0.0,0.019421786069869995,0.0,0.005988985300064087,0.01567825675010681
drift_medium,noisy_input,mid,1815,0.012140532533738238,0.0037304230508114883,0.012010060250759125,0.005616143811494112,0.018874481320381165,0.008930315729230642,0.015145177952945232,0.01567825675010681
drift_medium,stage3_cond_residual_t20,mid,1815,0.029474742319043623,0.0181393463721993,0.026011589914560318,0.0007593577611260116,0.128067746758461,0.015789618715643883,0.039394594728946686,0.01567825675010681
drift_medium,e1_oracle_gated_residual,mid,1815,0.01820106151200749,0.01188676798885357,0.015413007698953152,0.00029370421543717384,0.07831995189189911,0.009653431363403797,0.024091933853924274,0.01567825675010681
drift_medium,noisy_input,low,1604,0.02940028666302636,0.008862306312728564,0.027104380540549755,0.018880711868405342,0.07006075233221054,0.02254828903824091,0.03382834047079086,0.01567825675010681
drift_medium,stage3_cond_residual_t20,low,1604,0.040012958021184195,0.022483546496759724,0.036488788202404976,0.0016541415825486183,0.12080714851617813,0.023310313001275063,0.05265734624117613,0.01567825675010681
drift_medium,e1_oracle_gated_residual,low,1604,0.0361232849847098,0.020386386831090075,0.03284551575779915,0.0006339671090245247,0.11599201709032059,0.02077369438484311,0.04741179756820202,0.01567825675010681
jump_medium,noisy_input,high,986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30282479524612427
jump_medium,stage3_cond_residual_t20,high,986,0.026686185078485903,0.026607554737719592,0.020582491531968117,0.0,0.15849871933460236,0.008733417140319943,0.036278774961829185,0.30282479524612427
jump_medium,e1_oracle_gated_residual,high,986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30282479524612427
jump_medium,noisy_input,mid,1675,0.28529607488148245,0.04458183060668981,0.28990253806114197,0.2008207142353058,0.363932341337204,0.24542515724897385,0.32121527194976807,0.30282479524612427
jump_medium,stage3_cond_residual_t20,mid,1675,0.2605765659328717,0.06803959301823202,0.2612415552139282,0.03421209380030632,0.47965362668037415,0.21675694733858109,0.3068035989999771,0.30282479524612427
jump_medium,e1_oracle_gated_residual,mid,1675,0.26895221618574056,0.05355082172807455,0.26706430315971375,0.09322191029787064,0.43450480699539185,0.22967173904180527,0.3077293634414673,0.30282479524612427
jump_medium,noisy_input,low,1339,0.42987518639062394,0.04029712374379186,0.43118467926979065,0.36486008763313293,0.49994945526123047,0.3943492919206619,0.4637415260076523,0.30282479524612427
jump_medium,stage3_cond_residual_t20,low,1339,0.3908238462252435,0.05944190614924741,0.3933371901512146,0.1382126361131668,0.5529960989952087,0.3528563678264618,0.43119071424007416,0.30282479524612427
jump_medium,e1_oracle_gated_residual,low,1339,0.39922377650776936,0.04960219961799626,0.3988397717475891,0.20681491494178772,0.5315005779266357,0.3647213280200958,0.43295323848724365,0.30282479524612427
