degradation,trajectory_id,delta0_auto,ADE_noisy,ADE_cond,ADE_e1,RMSE_noisy,RMSE_cond,RMSE_e1,smooth_noisy,smooth_cond,smooth_e1,e1_wins_vs_conditional,e1_wins_vs_noisy,confidence_min,confidence_mean,confidence_max,delta_min,delta_mean,delta_max
gaussian_medium,0,0.05882825329899788,0.05268967151641846,0.06381252408027649,0.0409952774643898,0.057725291699171066,0.06639068573713303,0.04734199866652489,0.2897612452507019,0.21989911794662476,0.24548089504241943,True,True,0.13619489967823029,0.43690991401672363,0.7483262419700623,0.017055265605449677,0.05268967151641846,0.11728402227163315
gaussian_medium,1,0.05882825329899788,0.06313766539096832,0.0379650704562664,0.040338966995477676,0.07085802406072617,0.04468533769249916,0.0471324659883976,0.23532892763614655,0.15305553376674652,0.16652528941631317,False,True,0.14853742718696594,0.3933515250682831,0.8390962481498718,0.010320230387151241,0.06313766539096832,0.1121806725859642
gaussian_medium,2,0.05882825329899788,0.051779210567474365,0.0864875465631485,0.05211956053972244,0.05571683496236801,0.08882305026054382,0.05740566551685333,0.5456907153129578,0.5363771915435791,0.5500926375389099,True,False,0.16064901649951935,0.43747273087501526,0.7041448950767517,0.020635250955820084,0.051779210567474365,0.10756941884756088
gaussian_medium,3,0.05882825329899788,0.05588671565055847,0.04602774232625961,0.04363993555307388,0.061272185295820236,0.05165836587548256,0.04893670976161957,0.1787411868572235,0.1123284101486206,0.13509182631969452,True,True,0.15258008241653442,0.42007189989089966,0.773892879486084,0.01507896650582552,0.05588671565055847,0.11060097813606262
gaussian_medium,4,0.05882825329899788,0.05658530071377754,0.04014184698462486,0.03454447537660599,0.06404129415750504,0.044533051550388336,0.04188651591539383,0.18481223285198212,0.07848189771175385,0.11094748973846436,True,True,0.14634950459003448,0.42990151047706604,0.6831046938896179,0.022419868037104607,0.05658530071377754,0.11305364966392517
gaussian_medium,5,0.05882825329899788,0.06796588748693466,0.04236813634634018,0.04348347336053848,0.07432424277067184,0.04817959666252136,0.04757409170269966,0.19284379482269287,0.11510854214429855,0.12998804450035095,False,True,0.0994829460978508,0.35289597511291504,0.6041389107704163,0.02964656427502632,0.06796588748693466,0.135762020945549
gaussian_medium,6,0.05882825329899788,0.056925155222415924,0.06543301790952682,0.04790840297937393,0.06360159814357758,0.0674363449215889,0.05515851080417633,0.5076237320899963,0.49896419048309326,0.5011084079742432,True,True,0.10086846351623535,0.41851502656936646,0.7760900259017944,0.01491218525916338,0.056925155222415924,0.13494835793972015
gaussian_medium,7,0.05882825329899788,0.06172262877225876,0.04933571070432663,0.044600363820791245,0.07102378457784653,0.05229898542165756,0.05081481114029884,0.26687777042388916,0.23468169569969177,0.23966296017169952,True,True,0.10310044139623642,0.4158605635166168,0.9284789562225342,0.004365499597042799,0.06172262877225876,0.13366082310676575
gaussian_medium,8,0.05882825329899788,0.06060759350657463,0.05269606038928032,0.043488286435604095,0.0739072784781456,0.05716980621218681,0.05034732073545456,0.21436388790607452,0.15597695112228394,0.15981999039649963,True,True,0.06832490116357803,0.4357633590698242,0.8253635168075562,0.01129098515957594,0.06060759350657463,0.1578644961118698
gaussian_medium,9,0.05882825329899788,0.0659550279378891,0.08199115097522736,0.06715764105319977,0.07036367803812027,0.08889990299940109,0.07748348265886307,0.21286244690418243,0.16698835790157318,0.18348328769207,True,False,0.1719844788312912,0.3560740351676941,0.6970208287239075,0.021233467385172844,0.0659550279378891,0.10355837643146515
gaussian_medium,10,0.05882825329899788,0.05687336251139641,0.04006509482860565,0.030523929744958878,0.06923065334558487,0.043936312198638916,0.03891410678625107,0.19099214673042297,0.09934727847576141,0.12074168026447296,True,True,0.06706225872039795,0.45584630966186523,0.9077031016349792,0.005696806125342846,0.05687336251139641,0.15896181762218475
gaussian_medium,11,0.05882825329899788,0.06904856115579605,0.06759251654148102,0.0631004199385643,0.08011011779308319,0.09318486601114273,0.08418340235948563,0.5131312012672424,0.5095935463905334,0.5068913102149963,True,True,0.04049459099769592,0.372004896402359,0.8919970393180847,0.00672362744808197,0.06904856115579605,0.1886378973722458
gaussian_medium,12,0.05882825329899788,0.06322519481182098,0.064051553606987,0.04749017208814621,0.07269512861967087,0.07921559363603592,0.059172242879867554,0.485584557056427,0.46361973881721497,0.46270498633384705,True,True,0.05229340121150017,0.3951840102672577,0.8116623163223267,0.01227574422955513,0.06322519481182098,0.17359541356563568
gaussian_medium,13,0.05882825329899788,0.07754329591989517,0.06316633522510529,0.06370525807142258,0.08461974561214447,0.06978357583284378,0.07052111625671387,0.19106023013591766,0.13431881368160248,0.15115365386009216,False,True,0.07216227799654007,0.31438297033309937,0.7843782901763916,0.014287258498370647,0.07754329591989517,0.15464994311332703
gaussian_medium,14,0.05882825329899788,0.0635475218296051,0.06373920291662216,0.05401288717985153,0.07099167257547379,0.0668603926897049,0.05993546172976494,0.20630769431591034,0.13846896588802338,0.15600617229938507,True,True,0.0879104733467102,0.3879883885383606,0.8925455212593079,0.006687464192509651,0.0635475218296051,0.14303715527057648
gaussian_medium,15,0.05882825329899788,0.06149406358599663,0.039401378482580185,0.03728118911385536,0.06745760887861252,0.044689033180475235,0.04257769137620926,0.21535451710224152,0.12998610734939575,0.14838558435440063,True,True,0.11608981341123581,0.3883607089519501,0.712628185749054,0.019930748268961906,0.06149406358599663,0.12668024003505707
gaussian_medium,16,0.05882825329899788,0.0525021068751812,0.061116188764572144,0.04677599295973778,0.06145070493221283,0.07073570042848587,0.055819351226091385,0.2163444459438324,0.17418202757835388,0.18303877115249634,True,True,0.1162424236536026,0.46390143036842346,0.7832028865814209,0.014375478960573673,0.0525021068751812,0.12660296261310577
gaussian_medium,17,0.05882825329899788,0.06533661484718323,0.05183650180697441,0.04835721105337143,0.06932801753282547,0.05945059657096863,0.05355224013328552,0.2079191654920578,0.144174262881279,0.1509189009666443,True,True,0.15680256485939026,0.35557085275650024,0.6631419062614441,0.02416466362774372,0.06533661484718323,0.10899509489536285
gaussian_medium,18,0.05882825329899788,0.06372842937707901,0.028750766068696976,0.03537692502140999,0.07014530897140503,0.033864911645650864,0.03884828835725784,0.2788524627685547,0.2503584027290344,0.2523204982280731,False,True,0.15783262252807617,0.38126644492149353,0.7538869380950928,0.016619736328721046,0.06372842937707901,0.10860990732908249
gaussian_medium,19,0.05882825329899788,0.06326358020305634,0.039473675191402435,0.03849839046597481,0.07194865494966507,0.046271421015262604,0.0449238158762455,0.6057263016700745,0.5633355379104614,0.5606966614723206,True,True,0.08973056823015213,0.39819246530532837,0.8472055792808533,0.009754425846040249,0.06326358020305634,0.14183160662651062
gaussian_medium,20,0.05882825329899788,0.05830741673707962,0.050200313329696655,0.04456886649131775,0.06681666523218155,0.0529547818005085,0.05026840418577194,0.17428869009017944,0.10072247684001923,0.12075231969356537,True,True,0.0716409906744957,0.42071500420570374,0.7362550497055054,0.01801195740699768,0.05830741673707962,0.15507644414901733
gaussian_medium,21,0.05882825329899788,0.06869306415319443,0.05760329216718674,0.054802846163511276,0.07604878395795822,0.06707394123077393,0.06387461721897125,0.18855586647987366,0.11567097902297974,0.13168872892856598,True,True,0.1008630320429802,0.36361631751060486,0.8951252102851868,0.006517678964883089,0.06869306415319443,0.13495153188705444
gaussian_medium,22,0.05882825329899788,0.06361999362707138,0.05225623399019241,0.05019853636622429,0.06911365687847137,0.05939711257815361,0.057709768414497375,0.20391307771205902,0.1436210721731186,0.15926557779312134,True,True,0.11340551823377609,0.37346017360687256,0.6655171513557434,0.023954328149557114,0.06361999362707138,0.12805646657943726
gaussian_medium,23,0.05882825329899788,0.0694975033402443,0.05019613355398178,0.04271330684423447,0.07637134194374084,0.05653093382716179,0.050844963639974594,0.4925385117530823,0.4490990936756134,0.43960264325141907,True,True,0.10770981013774872,0.35359933972358704,0.8498972058296204,0.00956781953573227,0.0694975033402443,0.13108785450458527
gaussian_medium,24,0.05882825329899788,0.06091035529971123,0.04738569259643555,0.04558560252189636,0.06678153574466705,0.052896302193403244,0.05003972724080086,0.18575327098369598,0.12729224562644958,0.1398058384656906,True,True,0.12225981801748276,0.392742782831192,0.7626882791519165,0.015936922281980515,0.06091035529971123,0.12363385409116745
gaussian_medium,25,0.05882825329899788,0.06001255661249161,0.06074228137731552,0.0458194762468338,0.06595594435930252,0.06530517339706421,0.05459686741232872,0.21038880944252014,0.14923331141471863,0.16385458409786224,True,True,0.1688496172428131,0.4005521833896637,0.7163403630256653,0.019625095650553703,0.06001255661249161,0.10464057326316833
gaussian_medium,26,0.05882825329899788,0.06416813284158707,0.06685081869363785,0.05318518728017807,0.07222946733236313,0.07431847602128983,0.06192465126514435,0.20306536555290222,0.11472206562757492,0.14004553854465485,True,True,0.09655272960662842,0.38944345712661743,0.7742607593536377,0.015051007270812988,0.06416813284158707,0.13752080500125885
gaussian_medium,27,0.05882825329899788,0.053119100630283356,0.04533408209681511,0.035329464823007584,0.06218366324901581,0.048764992505311966,0.0424363873898983,0.21528460085391998,0.1453051120042801,0.16341373324394226,True,True,0.08935822546482086,0.4592958390712738,0.8524538278579712,0.009391122497618198,0.053119100630283356,0.14207623898983002
gaussian_medium,28,0.05882825329899788,0.06145323067903519,0.036296699196100235,0.039174485951662064,0.06438960134983063,0.04718577489256859,0.04741556569933891,0.3556481599807739,0.3344006836414337,0.33444222807884216,False,True,0.1782686561346054,0.37083375453948975,0.6746059060096741,0.023156365379691124,0.06145323067903519,0.10144717991352081
gaussian_medium,29,0.05882825329899788,0.04525135084986687,0.02443968877196312,0.028435558080673218,0.049853064119815826,0.028141163289546967,0.03153442218899727,0.20522312819957733,0.19512157142162323,0.19746732711791992,False,True,0.2690649926662445,0.49316829442977905,0.8866147994995117,0.007079666946083307,0.04525135084986687,0.07722986489534378
gaussian_medium,30,0.05882825329899788,0.05629705265164375,0.05338059738278389,0.05104653909802437,0.06097611039876938,0.058337267488241196,0.05580420419573784,0.17874988913536072,0.1447344273328781,0.14876261353492737,True,True,0.1858246624469757,0.41514235734939575,0.783703088760376,0.014337919652462006,0.05629705265164375,0.09900511056184769
gaussian_medium,31,0.05882825329899788,0.06441095471382141,0.042734645307064056,0.03970509022474289,0.0694565698504448,0.04533084109425545,0.044766440987586975,0.19208639860153198,0.09227979183197021,0.11458100378513336,True,True,0.1459871232509613,0.36861452460289,0.7071321606636047,0.020386209711432457,0.06441095471382141,0.11319949477910995
gaussian_medium,32,0.05882825329899788,0.048632748425006866,0.04473453387618065,0.0405232273042202,0.05626371130347252,0.05339835584163666,0.04953731596469879,0.15330955386161804,0.09802430123090744,0.11423250287771225,True,True,0.1730509251356125,0.4870600700378418,0.8576429486274719,0.009034102782607079,0.048632748425006866,0.1031947210431099
gaussian_medium,33,0.05882825329899788,0.04978462681174278,0.08492304384708405,0.053757138550281525,0.0553671270608902,0.08892641961574554,0.06015753746032715,0.43413588404655457,0.4208253026008606,0.43306341767311096,True,False,0.17417596280574799,0.4638370871543884,0.7944836020469666,0.013534202240407467,0.04978462681174278,0.10281350463628769
gaussian_medium,34,0.05882825329899788,0.06210090592503548,0.05039157345890999,0.049201078712940216,0.0672195628285408,0.05539264157414436,0.05312664806842804,0.19032450020313263,0.11915507167577744,0.13708800077438354,True,True,0.16938914358615875,0.3828093409538269,0.6911175847053528,0.02173382230103016,0.06210090592503548,0.10445289313793182
gaussian_medium,35,0.05882825329899788,0.06946993619203568,0.05765770003199577,0.050358761101961136,0.07746315747499466,0.062240954488515854,0.05548610910773277,0.24947886168956757,0.14376308023929596,0.16839392483234406,True,True,0.07150275260210037,0.3542068600654602,0.6170388460159302,0.028403649106621742,0.06946993619203568,0.15519006550312042
gaussian_medium,36,0.05882825329899788,0.0519719198346138,0.09551481902599335,0.06671933084726334,0.05791193246841431,0.10044688731431961,0.07395064830780029,0.17136412858963013,0.11508557200431824,0.13311176002025604,True,False,0.11204539984464645,0.4465910792350769,0.751366138458252,0.016816774383187294,0.0519719198346138,0.1287662833929062
gaussian_medium,37,0.05882825329899788,0.054066289216279984,0.04323909431695938,0.04233775660395622,0.060988396406173706,0.05213113874197006,0.0498785637319088,0.16085442900657654,0.08854595571756363,0.10875611752271652,True,True,0.1194123849272728,0.4402795732021332,0.77967369556427,0.014641162008047104,0.054066289216279984,0.12502017617225647
