degradation,method,t_start,ADE_mean,ADE_std,ADE_median,ADE_p25,ADE_p75,RMSE_mean,smooth_mean,step_mean,step_p95_mean,step_max_mean,acc_mean,acc_p95_mean,out_of_room_ratio_mean,n_traj
gaussian_medium,noisy_input,0,0.062373414635658264,0.007679494097828865,0.06231163442134857,0.05719682201743126,0.0673878937959671,0.0698627457022667,0.24496789276599884,0.2059263288974762,0.3261779546737671,0.3588229715824127,0.24496789276599884,0.4385456144809723,0.0,1000
gaussian_medium,ddpm_sdedit_t1,1,0.09478005766868591,0.024756016209721565,0.09001155197620392,0.07671966403722763,0.10920978337526321,0.1053253635764122,0.2312793880701065,0.19556564092636108,0.3105853796005249,0.3417190611362457,0.2312793880701065,0.41323742270469666,0.0003000000142492354,1000
gaussian_medium,ddpm_sdedit_t3,3,0.16756683588027954,0.06284404546022415,0.1576816439628601,0.11873344331979752,0.20644405484199524,0.1856957972049713,0.2166593074798584,0.18380478024482727,0.29401272535324097,0.3256385922431946,0.2166593074798584,0.3873252868652344,0.004650000017136335,1000
gaussian_medium,ddpm_sdedit_t5,5,0.24744220077991486,0.100123330950737,0.23541676998138428,0.16858457028865814,0.3103982210159302,0.27449721097946167,0.2036013901233673,0.1720213145017624,0.27981194853782654,0.31211182475090027,0.2036013901233673,0.36181291937828064,0.008200000040233135,1000
gaussian_medium,ddpm_sdedit_t10,10,0.43153882026672363,0.1909630000591278,0.4134652614593506,0.27507320046424866,0.5604152679443359,0.4787166714668274,0.17684857547283173,0.14888833463191986,0.25303885340690613,0.28796374797821045,0.17684857547283173,0.31129956245422363,0.01770000159740448,1000
gaussian_medium,ddpm_sdedit_t20,20,0.7196543216705322,0.31513747572898865,0.7070505619049072,0.45321378111839294,0.9438697099685669,0.798598051071167,0.1468740552663803,0.1198539286851883,0.2184380739927292,0.2634908854961395,0.1468740552663803,0.26254960894584656,0.033549997955560684,1000
burst_medium,noisy_input,0,0.07231355458498001,0.02073793113231659,0.07068449258804321,0.056747570633888245,0.0854380652308464,0.1518031358718872,0.3124642074108124,0.24547149240970612,0.5458821058273315,0.6997756361961365,0.3124642074108124,0.9049723148345947,0.015600000508129597,1000
burst_medium,ddpm_sdedit_t1,1,0.11828116327524185,0.030903609469532967,0.1141529530286789,0.09637117385864258,0.13746145367622375,0.1660001575946808,0.29647567868232727,0.2329026609659195,0.5106663703918457,0.654226541519165,0.29647567868232727,0.845109760761261,0.010999999940395355,1000
burst_medium,ddpm_sdedit_t3,3,0.1866835355758667,0.06240423396229744,0.1767803430557251,0.13766375184059143,0.226570263504982,0.2223946899175644,0.27998945116996765,0.21827280521392822,0.46716248989105225,0.5969217419624329,0.27998945116996765,0.7674490809440613,0.012149999849498272,1000
burst_medium,ddpm_sdedit_t5,5,0.2598167657852173,0.09761662781238556,0.24640434980392456,0.1867237389087677,0.32003045082092285,0.29599547386169434,0.2628948986530304,0.20295986533164978,0.4225391447544098,0.5372716188430786,0.2628948986530304,0.6884169578552246,0.012049999088048935,1000
burst_medium,ddpm_sdedit_t10,10,0.4354513883590698,0.18919828534126282,0.4191495180130005,0.27999526262283325,0.5642744898796082,0.48637646436691284,0.2214900106191635,0.17002838850021362,0.33040139079093933,0.4108167290687561,0.2214900106191635,0.5105720162391663,0.019849998876452446,1000
burst_medium,ddpm_sdedit_t20,20,0.7196503281593323,0.3156810998916626,0.7043342590332031,0.4588938355445862,0.9461858868598938,0.8004111051559448,0.16390997171401978,0.1271405667066574,0.23790353536605835,0.2880777418613434,0.16390997171401978,0.31236281991004944,0.03440000116825104,1000
