trajectory_id,ADE_noisy,ADE_cond,ADE_e1,ADE_high_noisy,ADE_high_cond,ADE_high_e1,ADE_low_noisy,ADE_low_cond,ADE_low_e1,num_high_conf_frames,num_low_conf_frames,confidence_min,confidence_mean,confidence_max,delta_min,delta_mean,delta_max
0,0.05268967151641846,0.06381252408027649,0.04243692010641098,0.017055265605449677,0.07597758620977402,0.030556026846170425,0.09686053544282913,0.07026723772287369,0.060663577169179916,1,3,0.10501863062381744,0.3954402208328247,0.72056645154953,0.017055265605449677,0.05268967151641846,0.11728402227163315
1,0.06313766539096832,0.0379650704562664,0.03919503837823868,0.010320230387151241,0.011157450266182423,0.006817495450377464,0.09588796645402908,0.04933899641036987,0.056417908519506454,1,9,0.11583871394395828,0.3547978401184082,0.8201207518577576,0.010320230387151241,0.06313766539096832,0.1121806725859642
2,0.051779210567474365,0.0864875465631485,0.05497022345662117,nan,nan,nan,0.0864109918475151,0.07666266709566116,0.06520827114582062,0,4,0.12657110393047333,0.39542341232299805,0.6726654171943665,0.020635250955820084,0.051779210567474365,0.10756941884756088
3,0.05588671565055847,0.04602774232625961,0.043264240026474,0.01507896650582552,0.0035606424789875746,0.010784382000565529,0.09038323163986206,0.0626409575343132,0.0632915049791336,1,6,0.11940876394510269,0.3792046010494232,0.7484559416770935,0.01507896650582552,0.05588671565055847,0.11060097813606262
4,0.05658530071377754,0.04014184698462486,0.03381287679076195,nan,nan,nan,0.08568474650382996,0.047689639031887054,0.049519654363393784,0,9,0.11391182243824005,0.3909185230731964,0.6499897241592407,0.022419868037104607,0.05658530071377754,0.11305364966392517
5,0.06796588748693466,0.04236813634634018,0.042620763182640076,nan,nan,nan,0.0934062972664833,0.04885360598564148,0.05392812564969063,0,10,0.07363218069076538,0.31244486570358276,0.5657177567481995,0.02964656427502632,0.06796588748693466,0.135762020945549
6,0.056925155222415924,0.06543301790952682,0.048745863139629364,0.01491218525916338,0.03893617168068886,0.002310634357854724,0.0891481339931488,0.07987073808908463,0.07919203490018845,1,6,0.07479242980480194,0.37795451283454895,0.7508583664894104,0.01491218525916338,0.056925155222415924,0.13494835793972015
7,0.06172262877225876,0.04933571070432663,0.04409349709749222,0.009815961122512817,0.03462212160229683,0.005937636364251375,0.09043209999799728,0.055296558886766434,0.05798833444714546,4,10,0.07666589319705963,0.3797871470451355,0.9195386171340942,0.004365499597042799,0.06172262877225876,0.13366082310676575
8,0.06060759350657463,0.05269606038928032,0.04360158368945122,0.01323804073035717,0.03529088571667671,0.016585949808359146,0.10874484479427338,0.06845779716968536,0.06696800142526627,2,7,0.04815293848514557,0.3994525372982025,0.8049647808074951,0.01129098515957594,0.06060759350657463,0.1578644961118698
9,0.0659550279378891,0.08199115097522736,0.06847292184829712,nan,nan,nan,0.08281178027391434,0.09783799201250076,0.08884739875793457,0,12,0.13671201467514038,0.3153071105480194,0.6649775505065918,0.021233467385172844,0.0659550279378891,0.10355837643146515
