source,condition,t_start,ADE,noisy_ADE,ADE_delta,ADE_relative_improvement_pct,RMSE,acceleration,classification
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_gaussian_full_summary.csv,gaussian_medium,1,0.061277151107788,0.0625665709376335,-0.0012894198298454979,2.0608766159340814,0.068434827029705,0.2277239561080932,small_U_shaped_sweet_spot
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_gaussian_full_summary.csv,gaussian_medium,2,0.0608118139207363,0.0625665709376335,-0.0017547570168972015,2.80462392392632,0.0679935812950134,0.2240153104066848,small_U_shaped_sweet_spot
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_gaussian_full_summary.csv,gaussian_medium,3,0.0609506219625473,0.0625665709376335,-0.0016159489750861983,2.582767364215916,0.0682562887668609,0.2198110520839691,small_U_shaped_sweet_spot
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_gaussian_full_summary.csv,gaussian_medium,5,0.0630929544568061,0.0625665709376335,0.0005263835191725991,-0.8413175139441466,0.0708462446928024,0.2109026163816452,small_U_shaped_sweet_spot
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_scout_results.csv,burst_medium,1,0.0786899849772453,0.0756298527121543,0.003060132265090998,-4.046196251019818,,0.3112004697322845,monotonic_worse
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_scout_results.csv,burst_medium,2,0.0828046128153801,0.0756298527121543,0.007174760103225791,-9.486677344900807,,0.3074846565723419,monotonic_worse
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_scout_results.csv,burst_medium,3,0.0883640199899673,0.0756298527121543,0.012734167277813,-16.83748787172571,,0.3035456538200378,monotonic_worse
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_scout_results.csv,burst_medium,5,0.0996739789843559,0.0756298527121543,0.024044126272201594,-31.791845957591715,,0.2955376207828522,monotonic_worse
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_scout_results.csv,gaussian_medium,1,0.0597804337739944,0.0608727559447288,-0.0010923221707344055,1.7944352178275145,,0.2222840189933776,small_U_shaped_sweet_spot
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_scout_results.csv,gaussian_medium,2,0.0594958551228046,0.0608727559447288,-0.0013769008219242027,2.261932781841519,,0.2184758335351944,small_U_shaped_sweet_spot
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_scout_results.csv,gaussian_medium,3,0.0600138865411281,0.0608727559447288,-0.0008588694036006997,1.4109257750388948,,0.2142545729875564,small_U_shaped_sweet_spot
outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_scout_results.csv,gaussian_medium,5,0.0621545687317848,0.0608727559447288,0.001281812787055997,-2.1057249128326907,,0.2052668780088424,small_U_shaped_sweet_spot
outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,burst_medium,1,0.1182811632752418,0.07231355458498,0.0459676086902618,-63.56707114465312,0.1660001575946808,0.2964756786823272,monotonic_worse
outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,burst_medium,3,0.1866835355758667,0.07231355458498,0.1143699809908867,-158.15842776264535,0.2223946899175644,0.2799894511699676,monotonic_worse
outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,burst_medium,5,0.2598167657852173,0.07231355458498,0.18750321120023727,-259.2919298136437,0.2959954738616943,0.2628948986530304,monotonic_worse
outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,burst_medium,10,0.4354513883590698,0.07231355458498,0.3631378337740898,-502.1711847221461,0.4863764643669128,0.2214900106191635,monotonic_worse
outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,burst_medium,20,0.7196503281593323,0.07231355458498,0.6473367735743523,-895.1804088314148,0.8004111051559448,0.1639099717140197,monotonic_worse
outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,gaussian_medium,1,0.0947800576686859,0.0623734146356582,0.0324066430330277,-51.955858473236724,0.1053253635764122,0.2312793880701065,monotonic_worse
outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,gaussian_medium,3,0.1675668358802795,0.0623734146356582,0.1051934212446213,-168.65105407341827,0.1856957972049713,0.2166593074798584,monotonic_worse
outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,gaussian_medium,5,0.2474422007799148,0.0623734146356582,0.1850687861442566,-296.71100616392226,0.2744972109794616,0.2036013901233673,monotonic_worse
outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,gaussian_medium,10,0.4315388202667236,0.0623734146356582,0.36916540563106537,-591.8633888932827,0.4787166714668274,0.1768485754728317,monotonic_worse
outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,gaussian_medium,20,0.7196543216705322,0.0623734146356582,0.6572809070348741,-1053.7837488523737,0.798598051071167,0.1468740552663803,monotonic_worse
