degradation,method,ADE_noisy,ADE_cond,ADE_e1,ADE_e2,improves_vs_e1,ADE_gain_vs_e1,N_high_frames,ADE_noisy_high,ADE_e1_high,ADE_e2_high,high_conf_no_harm_pass_1p05,high_conf_no_harm_ratio,N_low_frames,ADE_noisy_low,ADE_cond_low,ADE_e1_low,ADE_e2_low,conditional_useful_low,low_conf_preservation_pass,motion_usage_ratio,noisy_reversion_gap,bias_offset_error
gaussian_medium,V1_abs_anchor_smooth,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04993055388331413,False,-0.001670103520154953,334,0.014083261601626873,0.015238317660987377,0.019757775589823723,False,0.4311377245508982,1489,0.0964696928858757,0.06828348338603973,0.06923709064722061,0.06715819239616394,True,True,1.3547843276901914,-0.012636017054319382,
gaussian_medium,V2_uniform_cond_motion,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.039722271263599396,True,0.008538179099559784,334,0.014083261601626873,0.015238317660987377,0.015872042626142502,False,0.4880239520958084,1489,0.0964696928858757,0.06828348338603973,0.06923709064722061,0.05542726814746857,True,True,1.0251676760104622,-0.02284429967403412,
gaussian_medium,V3_conf_mod_cond_motion,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.04173331707715988,True,0.006527133285999298,334,0.014083261601626873,0.015238317660987377,0.0177430659532547,False,0.4491017964071856,1489,0.0964696928858757,0.06828348338603973,0.06923709064722061,0.05693439394235611,True,True,1.06645154844328,-0.020833253860473633,
drift_medium,V1_abs_anchor_smooth,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.031610678881406784,False,-0.008338533341884613,581,0.00240786443464458,0.003634951775893569,0.007599093485623598,False,0.19793459552495696,1604,0.029400285333395004,0.04001295939087868,0.03612328693270683,0.04810883104801178,False,True,3.0102096201047455,0.013962654396891594,
drift_medium,V2_uniform_cond_motion,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.021082639694213867,True,0.002189505845308304,581,0.00240786443464458,0.003634951775893569,0.0067962585017085075,False,0.1549053356282272,1604,0.029400285333395004,0.04001295939087868,0.03612328693270683,0.03185755014419556,False,True,1.4337423306243209,0.003434615209698677,
drift_medium,V3_conf_mod_cond_motion,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.022298984229564667,True,0.0009731613099575043,581,0.00240786443464458,0.003634951775893569,0.007091681472957134,False,0.17555938037865748,1604,0.029400285333395004,0.04001295939087868,0.03612328693270683,0.032633114606142044,False,True,1.619878214449455,0.004650959745049477,
burst_medium,V1_abs_anchor_smooth,0.07475546002388,0.09188491106033325,0.07392223179340363,0.03926774859428406,True,0.03465448319911957,351,0.003384432988241315,0.01127510704100132,0.01430676132440567,False,0.2706552706552707,1576,0.17479737102985382,0.15386362373828888,0.14881478250026703,0.06563922017812729,True,True,2.5849143641523087,-0.03548771142959595,
burst_medium,V2_uniform_cond_motion,0.07475546002388,0.09188491106033325,0.07392223179340363,0.05417540669441223,True,0.019746825098991394,351,0.003384432988241315,0.01127510704100132,0.010821077041327953,False,0.1794871794871795,1576,0.17479737102985382,0.15386362373828888,0.14881478250026703,0.115015909075737,True,True,1.2850201395794318,-0.020580053329467773,
burst_medium,V3_conf_mod_cond_motion,0.07475546002388,0.09188491106033325,0.07392223179340363,0.05555544048547745,True,0.018366791307926178,351,0.003384432988241315,0.01127510704100132,0.013206892646849155,False,0.20797720797720798,1576,0.17479737102985382,0.15386362373828888,0.14881478250026703,0.11538628488779068,True,True,1.3730666282933894,-0.019200019538402557,
bias_medium,V1_abs_anchor_smooth,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.19117645919322968,False,-0.003532111644744873,220,0.04233614355325699,0.0419577918946743,0.04933737963438034,False,0.5954545454545455,1560,0.2880081236362457,0.2841569781303406,0.2846246063709259,0.289760559797287,True,True,3.0506953179395047,0.002180829644203186,0.18899554014205933
bias_medium,V2_uniform_cond_motion,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.18943050503730774,False,-0.001786157488822937,220,0.04233614355325699,0.0419577918946743,0.044287558645009995,True,0.6,1560,0.2880081236362457,0.2841569781303406,0.2846246063709259,0.2882646322250366,True,True,1.480128797951988,0.00043487548828125,0.18899554014205933
bias_medium,V3_conf_mod_cond_motion,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.18975558876991272,False,-0.0021112412214279175,220,0.04233614355325699,0.0419577918946743,0.04724642261862755,False,0.6,1560,0.2880081236362457,0.2841569781303406,0.2846246063709259,0.28832003474235535,True,True,1.7200262068924237,0.0007599592208862305,0.18899554014205933
jump_medium,V1_abs_anchor_smooth,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.2540943920612335,False,-0.007830485701560974,986,0.0,0.0,0.009281485341489315,False,0.0,1339,0.4298751950263977,0.3908238410949707,0.39922380447387695,0.4057011902332306,True,True,1.7771681223244167,-0.009274035692214966,
