degradation,trajectory_id,delta0_auto,confidence_min,confidence_mean,confidence_max,ADE_noisy_input,RMSE_noisy_input,smooth_noisy_input,ADE_stage3_cond_residual_t20,RMSE_stage3_cond_residual_t20,smooth_stage3_cond_residual_t20,ADE_formal_e1_linear_gate,RMSE_formal_e1_linear_gate,smooth_formal_e1_linear_gate,ADE_V1_abs_anchor_smooth,RMSE_V1_abs_anchor_smooth,smooth_V1_abs_anchor_smooth,ADE_V2_uniform_cond_motion,RMSE_V2_uniform_cond_motion,smooth_V2_uniform_cond_motion,ADE_V3_conf_mod_cond_motion,RMSE_V3_conf_mod_cond_motion,smooth_V3_conf_mod_cond_motion
gaussian_medium,0,0.0588282532989978,0.13619489967823029,0.43690991401672363,0.7483262419700623,0.05268967151641846,0.057725291699171066,0.2897612452507019,0.06381252408027649,0.06639068573713303,0.21989911794662476,0.0409952774643898,0.04734199866652489,0.24548089504241943,0.03386441618204117,0.038470350205898285,0.17551234364509583,0.025656256824731827,0.027930818498134613,0.20047733187675476,0.027466868981719017,0.029934832826256752,0.19369062781333923
gaussian_medium,1,0.0588282532989978,0.14853742718696594,0.3933515250682831,0.8390962481498718,0.06313766539096832,0.07085802406072617,0.23532892763614655,0.0379650704562664,0.04468533769249916,0.15305553376674652,0.040338966995477676,0.0471324659883976,0.16652528941631317,0.038169197738170624,0.04186262935400009,0.11116297543048859,0.03218257054686546,0.03732113912701607,0.13491638004779816,0.03396550193428993,0.038283005356788635,0.13164712488651276
gaussian_medium,2,0.0588282532989978,0.16064901649951935,0.43747273087501526,0.7041448950767517,0.051779210567474365,0.05571683496236801,0.5456907153129578,0.0864875465631485,0.08882305026054382,0.5363771915435791,0.05211956053972244,0.05740566551685333,0.5500926375389099,0.08230538666248322,0.09735431522130966,0.20286664366722107,0.036590006202459335,0.04264524206519127,0.4087498188018799,0.04621831327676773,0.052699845284223557,0.3616834878921509
gaussian_medium,3,0.0588282532989978,0.15258008241653442,0.42007189989089966,0.773892879486084,0.05588671565055847,0.061272185295820236,0.1787411868572235,0.04602774232625961,0.05165836587548256,0.1123284101486206,0.04363993555307388,0.04893670976161957,0.13509182631969452,0.040218234062194824,0.04599452763795853,0.10633708536624908,0.036138612776994705,0.040680766105651855,0.10913467407226562,0.036979056894779205,0.04151320457458496,0.10865006595849991
gaussian_medium,4,0.0588282532989978,0.14634950459003448,0.42990151047706604,0.6831046938896179,0.05658530071377754,0.06404129415750504,0.18481223285198212,0.04014184698462486,0.044533051550388336,0.07848189771175385,0.03454447537660599,0.04188651591539383,0.11094748973846436,0.03299323096871376,0.03675337880849838,0.07855359464883804,0.02511211857199669,0.02886980213224888,0.07487800717353821,0.02723355032503605,0.03081950917840004,0.07485458999872208
gaussian_medium,5,0.0588282532989978,0.0994829460978508,0.35289597511291504,0.6041389107704163,0.06796588748693466,0.07432424277067184,0.19284379482269287,0.04236813634634018,0.04817959666252136,0.11510854214429855,0.04348347336053848,0.04757409170269966,0.12998804450035095,0.04811667650938034,0.05244717746973038,0.10090559720993042,0.04056299850344658,0.04340173676609993,0.10769057273864746,0.04159398004412651,0.04439449682831764,0.10657916963100433
gaussian_medium,6,0.0588282532989978,0.10086846351623535,0.41851502656936646,0.7760900259017944,0.056925155222415924,0.06360159814357758,0.5076237320899963,0.06543301790952682,0.0674363449215889,0.49896419048309326,0.04790840297937393,0.05515851080417633,0.5011084079742432,0.08834033459424973,0.10208148509263992,0.19673968851566315,0.04464109614491463,0.050316475331783295,0.3820364475250244,0.05411887913942337,0.06002870947122574,0.3376538157463074
gaussian_medium,7,0.0588282532989978,0.10310044139623642,0.4158605635166168,0.9284789562225342,0.06172262877225876,0.07102378457784653,0.26687777042388916,0.04933571070432663,0.05229898542165756,0.23468169569969177,0.044600363820791245,0.05081481114029884,0.23966296017169952,0.05531634762883186,0.06832930445671082,0.10032480210065842,0.04165732488036156,0.04915603622794151,0.18157848715782166,0.044517882168293,0.05282434821128845,0.1647108942270279
gaussian_medium,8,0.0588282532989978,0.06832490116357803,0.4357633590698242,0.8253635168075562,0.06060759350657463,0.0739072784781456,0.21436388790607452,0.05269606038928032,0.05716980621218681,0.15597695112228394,0.043488286435604095,0.05034732073545456,0.15981999039649963,0.043253906071186066,0.04885152727365494,0.1288062036037445,0.04140215367078781,0.04769377410411835,0.14290305972099304,0.041120097041130066,0.04704960063099861,0.13846942782402039
gaussian_medium,9,0.0588282532989978,0.1719844788312912,0.3560740351676941,0.6970208287239075,0.0659550279378891,0.07036367803812027,0.21286244690418243,0.08199115097522736,0.08889990299940109,0.16698835790157318,0.06715764105319977,0.07748348265886307,0.18348328769207,0.03730731084942818,0.04155317321419716,0.07519102841615677,0.04468626156449318,0.04683348536491394,0.1332722306251526,0.04295884817838669,0.04539948329329491,0.12352150678634644
gaussian_medium,10,0.0588282532989978,0.06706225872039795,0.45584630966186523,0.9077031016349792,0.05687336251139641,0.06923065334558487,0.19099214673042297,0.04006509482860565,0.043936312198638916,0.09934727847576141,0.030523929744958878,0.03891410678625107,0.12074168026447296,0.0369759239256382,0.042762890458106995,0.09622012823820114,0.02611617185175419,0.03130938485264778,0.09562399238348007,0.02866322360932827,0.0333709754049778,0.09308645874261856
gaussian_medium,11,0.0588282532989978,0.04049459099769592,0.372004896402359,0.8919970393180847,0.06904856115579605,0.08011011779308319,0.5131312012672424,0.06759251654148102,0.09318486601114273,0.5095935463905334,0.0631004199385643,0.08418340235948563,0.5068913102149963,0.09165258705615997,0.10602854937314987,0.1913502812385559,0.051709629595279694,0.06408986449241638,0.3919646441936493,0.059356290847063065,0.0691230297088623,0.3528609275817871
gaussian_medium,12,0.0588282532989978,0.05229340121150017,0.3951840102672577,0.8116623163223267,0.06322519481182098,0.07269512861967087,0.485584557056427,0.064051553606987,0.07921559363603592,0.46361973881721497,0.04749017208814621,0.059172242879867554,0.46270498633384705,0.0759214535355568,0.0846097394824028,0.16108685731887817,0.03978612646460533,0.043186966329813004,0.35100430250167847,0.04602820798754692,0.049724727869033813,0.3103218674659729
gaussian_medium,13,0.0588282532989978,0.07216227799654007,0.31438297033309937,0.7843782901763916,0.07754329591989517,0.08461974561214447,0.19106023013591766,0.06316633522510529,0.06978357583284378,0.13431881368160248,0.06370525807142258,0.07052111625671387,0.15115365386009216,0.04937106743454933,0.05476396903395653,0.07914083451032639,0.058673858642578125,0.0651346817612648,0.11646705865859985,0.057163845747709274,0.06364308297634125,0.1110747903585434
gaussian_medium,14,0.0588282532989978,0.0879104733467102,0.3879883885383606,0.8925455212593079,0.0635475218296051,0.07099167257547379,0.20630769431591034,0.06373920291662216,0.0668603926897049,0.13846896588802338,0.05401288717985153,0.05993546172976494,0.15600617229938507,0.04798078536987305,0.05174681544303894,0.12335553765296936,0.043363772332668304,0.04766954481601715,0.13027068972587585,0.04421989619731903,0.048507168889045715,0.12921129167079926
gaussian_medium,15,0.0588282532989978,0.11608981341123581,0.3883607089519501,0.712628185749054,0.06149406358599663,0.06745760887861252,0.21535451710224152,0.039401378482580185,0.044689033180475235,0.12998610734939575,0.03728118911385536,0.04257769137620926,0.14838558435440063,0.03523634001612663,0.03905803710222244,0.1076710969209671,0.030065840110182762,0.03407706320285797,0.1178223118185997,0.03145933523774147,0.035278014838695526,0.11551440507173538
gaussian_medium,16,0.0588282532989978,0.1162424236536026,0.46390143036842346,0.7832028865814209,0.0525021068751812,0.06145070493221283,0.2163444459438324,0.061116188764572144,0.07073570042848587,0.17418202757835388,0.04677599295973778,0.055819351226091385,0.18303877115249634,0.0385730005800724,0.046980492770671844,0.08102329075336456,0.03369729965925217,0.03940356895327568,0.13865125179290771,0.035080280154943466,0.040786467492580414,0.12950874865055084
gaussian_medium,17,0.0588282532989978,0.15680256485939026,0.35557085275650024,0.6631419062614441,0.06533661484718323,0.06932801753282547,0.2079191654920578,0.05183650180697441,0.05945059657096863,0.144174262881279,0.04835721105337143,0.05355224013328552,0.1509189009666443,0.04185454919934273,0.04766078293323517,0.11335200071334839,0.038866929709911346,0.04337434098124504,0.13038352131843567,0.039125848561525345,0.0436415933072567,0.1261049509048462
gaussian_medium,18,0.0588282532989978,0.15783262252807617,0.38126644492149353,0.7538869380950928,0.06372842937707901,0.07014530897140503,0.2788524627685547,0.028750766068696976,0.033864911645650864,0.2503584027290344,0.03537692502140999,0.03884828835725784,0.2523204982280731,0.05919734388589859,0.07014907896518707,0.11864110082387924,0.03847981244325638,0.04325123131275177,0.19726049900054932,0.041684068739414215,0.047400228679180145,0.1763465404510498
gaussian_medium,19,0.0588282532989978,0.08973056823015213,0.39819246530532837,0.8472055792808533,0.06326358020305634,0.07194865494966507,0.6057263016700745,0.039473675191402435,0.046271421015262604,0.5633355379104614,0.03849839046597481,0.0449238158762455,0.5606966614723206,0.09083624929189682,0.10556262731552124,0.20406581461429596,0.046733178198337555,0.05307178944349289,0.42796555161476135,0.056790489703416824,0.06415260583162308,0.37843143939971924
gaussian_medium,20,0.0588282532989978,0.0716409906744957,0.42071500420570374,0.7362550497055054,0.05830741673707962,0.06681666523218155,0.17428869009017944,0.050200313329696655,0.0529547818005085,0.10072247684001923,0.04456886649131775,0.05026840418577194,0.12075231969356537,0.04038476198911667,0.044880446046590805,0.10277028381824493,0.03566910699009895,0.040287405252456665,0.10027062147855759,0.03650137037038803,0.04088622331619263,0.10101091116666794
gaussian_medium,21,0.0588282532989978,0.1008630320429802,0.36361631751060486,0.8951252102851868,0.06869306415319443,0.07604878395795822,0.18855586647987366,0.05760329216718674,0.06707394123077393,0.11567097902297974,0.054802846163511276,0.06387461721897125,0.13168872892856598,0.05319640040397644,0.0571550577878952,0.09488889575004578,0.05107886344194412,0.055122051388025284,0.10720540583133698,0.0520138144493103,0.05600633844733238,0.10396529734134674
gaussian_medium,22,0.0588282532989978,0.11340551823377609,0.37346017360687256,0.6655171513557434,0.06361999362707138,0.06911365687847137,0.20391307771205902,0.05225623399019241,0.05939711257815361,0.1436210721731186,0.05019853636622429,0.057709768414497375,0.15926557779312134,0.043514665216207504,0.04835563153028488,0.07473381608724594,0.04399138316512108,0.04917999356985092,0.11836253106594086,0.04401988536119461,0.048838160932064056,0.11328016966581345
gaussian_medium,23,0.0588282532989978,0.10770981013774872,0.35359933972358704,0.8498972058296204,0.0694975033402443,0.07637134194374084,0.4925385117530823,0.05019613355398178,0.05653093382716179,0.4490990936756134,0.04271330684423447,0.050844963639974594,0.43960264325141907,0.08255167305469513,0.09363645315170288,0.13864821195602417,0.043735817074775696,0.048398517072200775,0.33850711584091187,0.048970866948366165,0.05324287340044975,0.3099674582481384
gaussian_medium,24,0.0588282532989978,0.12225981801748276,0.392742782831192,0.7626882791519165,0.06091035529971123,0.06678153574466705,0.18575327098369598,0.04738569259643555,0.052896302193403244,0.12729224562644958,0.04558560252189636,0.05003972724080086,0.1398058384656906,0.04033644497394562,0.0454845204949379,0.07580474764108658,0.03944775462150574,0.04317175969481468,0.10479133576154709,0.03916775435209274,0.04330240190029144,0.0980340912938118
gaussian_medium,25,0.0588282532989978,0.1688496172428131,0.4005521833896637,0.7163403630256653,0.06001255661249161,0.06595594435930252,0.21038880944252014,0.06074228137731552,0.06530517339706421,0.14923331141471863,0.0458194762468338,0.05459686741232872,0.16385458409786224,0.03510872274637222,0.03864476457238197,0.11374177038669586,0.03761700168251991,0.041132278740406036,0.13532255589962006,0.036793019622564316,0.04016520828008652,0.13135117292404175
gaussian_medium,26,0.0588282532989978,0.09655272960662842,0.38944345712661743,0.7742607593536377,0.06416813284158707,0.07222946733236313,0.20306536555290222,0.06685081869363785,0.07431847602128983,0.11472206562757492,0.05318518728017807,0.06192465126514435,0.14004553854465485,0.04227214679121971,0.04663919284939766,0.08644838631153107,0.03956014662981033,0.04383246973156929,0.1015225350856781,0.0403350405395031,0.04417671263217926,0.09900350868701935
gaussian_medium,27,0.0588282532989978,0.08935822546482086,0.4592958390712738,0.8524538278579712,0.053119100630283356,0.06218366324901581,0.21528460085391998,0.04533408209681511,0.048764992505311966,0.1453051120042801,0.035329464823007584,0.0424363873898983,0.16341373324394226,0.03340824693441391,0.039084985852241516,0.09803847223520279,0.031583406031131744,0.03876670449972153,0.12605386972427368,0.032612595707178116,0.03938222676515579,0.12217828631401062
gaussian_medium,28,0.0588282532989978,0.1782686561346054,0.37083375453948975,0.6746059060096741,0.06145323067903519,0.06438960134983063,0.3556481599807739,0.036296699196100235,0.04718577489256859,0.3344006836414337,0.039174485951662064,0.04741556569933891,0.33444222807884216,0.06749766319990158,0.07448689639568329,0.12890365719795227,0.04654655233025551,0.05074213445186615,0.2557496130466461,0.04971734806895256,0.05364246666431427,0.23213906586170197
gaussian_medium,29,0.0588282532989978,0.2690649926662445,0.49316829442977905,0.8866147994995117,0.04525135084986687,0.049853064119815826,0.20522312819957733,0.02443968877196312,0.028141163289546967,0.19512157142162323,0.028435558080673218,0.03153442218899727,0.19746732711791992,0.044100455939769745,0.05425495281815529,0.09751973301172256,0.02896035648882389,0.034520335495471954,0.154269739985466,0.03330652415752411,0.039605263620615005,0.13845089077949524
gaussian_medium,30,0.0588282532989978,0.1858246624469757,0.41514235734939575,0.783703088760376,0.05629705265164375,0.06097611039876938,0.17874988913536072,0.05338059738278389,0.058337267488241196,0.1447344273328781,0.05104653909802437,0.05580420419573784,0.14876261353492737,0.03471381217241287,0.037358712404966354,0.0773591697216034,0.041225455701351166,0.045065756887197495,0.11972354352474213,0.04050306975841522,0.0439005009829998,0.11222879588603973
gaussian_medium,31,0.0588282532989978,0.1459871232509613,0.36861452460289,0.7071321606636047,0.06441095471382141,0.0694565698504448,0.19208639860153198,0.042734645307064056,0.04533084109425545,0.09227979183197021,0.03970509022474289,0.044766440987586975,0.11458100378513336,0.042420174926519394,0.04516712203621864,0.08772045373916626,0.030564799904823303,0.03400836139917374,0.08793573826551437,0.03290823847055435,0.035995062440633774,0.08650533109903336
