degradation,method,conditional_source,N_trajectories,delta0_auto,selected_alpha0,selected_beta,selected_sigma0,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75,RMSE_mean,RMSE_std,smooth_acc_rms_mean,smooth_acc_rms_std,win_rate_vs_noisy,win_rate_vs_stage3_cond,win_rate_vs_formal_e1,motion_usage_ratio,noisy_reversion_gap,bias_offset_error
gaussian_medium,noisy_input,archived_original,200,0.0588282532989978,0.5,0.05,1.0,0.06256657134741545,0.007723502393778212,0.06269949674606323,0.042232804000377655,0.08243260532617569,0.057302757166326046,0.06738557666540146,0.06978799451142549,0.008084759959307826,0.2611900069564581,0.11554207507516223,1.0,0.27,0.075,,0.0,
gaussian_medium,stage3_cond_residual_t20,archived_original,200,0.0588282532989978,0.5,0.05,1.0,0.05569540362805128,0.016248208078876503,0.054266996681690216,0.02222782000899315,0.11192576587200165,0.04400283098220825,0.06538769230246544,0.06175982628017664,0.017118860284000278,0.20175429802387954,0.133281552207929,0.73,1.0,0.175,,-0.006871171295642853,
gaussian_medium,formal_e1_linear_gate,archived_original,200,0.0588282532989978,0.5,0.05,1.0,0.048260452654212714,0.010380068028860757,0.04763861745595932,0.026641855016350746,0.0742424875497818,0.04037840384989977,0.05533562134951353,0.05540073438547552,0.01201016678743289,0.21503765609115363,0.12675550509927513,0.925,0.825,1.0,,-0.014306120574474335,
gaussian_medium,V1_abs_anchor_smooth,archived_original,200,0.0588282532989978,0.5,0.05,1.0,0.049930556192994115,0.015879868198757766,0.04414200037717819,0.028798077255487442,0.10960408300161362,0.039050367660820484,0.05478193983435631,0.056832365915179255,0.01923436325919354,0.1108501147478819,0.038251330668261724,0.815,0.705,0.595,1.3547843276901914,-0.012636017054319382,
gaussian_medium,V2_uniform_cond_motion,archived_original,200,0.0588282532989978,0.5,0.05,1.0,0.03972227104939521,0.00768148295403476,0.04013019613921642,0.021717358380556107,0.059429191052913666,0.03367145266383886,0.04486972466111183,0.04483003969304264,0.008510764956978478,0.1665409143269062,0.09610201329974896,1.0,0.895,0.885,1.0251676760104622,-0.02284429967403412,
gaussian_medium,V3_conf_mod_cond_motion,archived_original,200,0.0588282532989978,0.5,0.05,1.0,0.041733316872268916,0.007997459128013378,0.04153457097709179,0.023626208305358887,0.0654713436961174,0.03546828031539917,0.04700511693954468,0.04684341290034354,0.0090033671662414,0.1556992181763053,0.08332679997555412,0.99,0.87,0.845,1.06645154844328,-0.020833253860473633,
drift_medium,noisy_input,archived_original,200,0.0156782567501068,0.5,0.05,1.0,0.01764802380464971,0.006858701927017938,0.016565647907555103,0.005397857632488012,0.04755106940865517,0.012692087097093463,0.02109011448919773,0.019893229990266263,0.007550204747783463,0.17735303912311792,0.1444605195431318,1.0,0.9,0.7,,0.0,
drift_medium,stage3_cond_residual_t20,archived_original,200,0.0156782567501068,0.5,0.05,1.0,0.031590759456157684,0.013206040482042243,0.0292643578723073,0.009934687986969948,0.07471559941768646,0.021158004645258188,0.03951755166053772,0.035275070904754104,0.014546020012279358,0.17216169304214418,0.14721236659467327,0.1,1.0,0.005,,0.01394273154437542,
drift_medium,formal_e1_linear_gate,archived_original,200,0.0156782567501068,0.5,0.05,1.0,0.023272145786322654,0.01130550849881661,0.021687733009457588,0.005584058351814747,0.05609063431620598,0.013992024352774024,0.029976731166243553,0.027089523207396268,0.013220446118745914,0.1735934672690928,0.14649243735500278,0.3,0.995,1.0,,0.005624121055006981,
drift_medium,V1_abs_anchor_smooth,archived_original,200,0.0156782567501068,0.5,0.05,1.0,0.03161068115849048,0.020320126819647635,0.023740007542073727,0.0075106630101799965,0.09248073399066925,0.01646033488214016,0.042347599752247334,0.038271182016469535,0.024861908670956084,0.08460663207340985,0.045724180443334504,0.005,0.59,0.405,3.0102096201047455,0.013962654396891594,
