degradation,Formal_E1_ADE,V1_ADE,V2_selected_ADE,V3_ADE,V1_rel_change_vs_E1,V1_improves_vs_E1,V1_ADE_ratio_vs_E1,V1_smooth_acc_rms,V1_motion_usage_ratio,V1_noisy_reversion_gap,V1_high_ADE,V1_low_ADE,V1_C2_pass_1p05,V1_C3_low_pass,V2_rel_change_vs_E1,V2_improves_vs_E1,V2_ADE_ratio_vs_E1,V2_smooth_acc_rms,V2_motion_usage_ratio,V2_noisy_reversion_gap,V2_high_ADE,V2_low_ADE,V2_C2_pass_1p05,V2_C3_low_pass,V3_rel_change_vs_E1,V3_improves_vs_E1,V3_ADE_ratio_vs_E1,V3_smooth_acc_rms,V3_motion_usage_ratio,V3_noisy_reversion_gap,V3_high_ADE,V3_low_ADE,V3_C2_pass_1p05,V3_C3_low_pass,noisy_high_ADE,Formal_E1_high_ADE,C2_threshold_1p05_noisy_high,selected_V2_C2_margin,V1_bias_offset_error,V2_bias_offset_error,V3_bias_offset_error
gaussian_medium,0.0482604526542127,0.0499305561929941,0.0397222710493952,0.0417333168722689,0.03460604795292177,False,1.0346060479529218,0.1108501147478819,1.3547843276901914,-0.0126360170543193,0.0197577755898237,0.0671581923961639,False,True,-0.17691880484407752,True,0.8230811951559225,0.1665409143269062,1.0251676760104622,-0.0228442996740341,0.0158720426261425,0.0554272681474685,False,True,-0.13524812601139247,True,0.8647518739886075,0.1556992181763053,1.06645154844328,-0.0208332538604736,0.0177430659532547,0.0569343939423561,False,True,0.0140832605580715,0.0152383172563221,0.014787423585975077,-0.0010846190401674217,,,
drift_medium,0.0232721457863226,0.0316106811584904,0.0210826403275132,0.0222989824879914,0.35830539429967345,False,1.3583053942996735,0.0846066320734098,3.0102096201047455,0.0139626543968915,0.0075990934856235,0.0481088310480117,False,True,-0.09408266340855442,True,0.9059173365914456,0.1399861159455031,1.4337423306243209,0.0034346152096986,0.0067962585017085,0.0318575501441955,False,True,-0.04181665529541079,True,0.9581833447045892,0.1316262717545032,1.619878214449455,0.0046509597450494,0.0070916814729571,0.032633114606142,False,True,0.0024078645594754,0.0036349518398117,0.00252825778744917,-0.00426800071425933,,,
burst_medium,0.0739222307410091,0.0392677486222237,0.0541754022380337,0.0555554407928138,-0.4687964874896623,True,0.5312035125103377,0.088699497776106,2.5849143641523087,-0.0354877114295959,0.0143067613244056,0.0656392201781272,False,True,-0.26712977009797745,True,0.7328702299020226,0.2655713853985071,1.2850201395794318,-0.0205800533294677,0.0108210770413279,0.115015909075737,False,True,-0.2484609807372351,True,0.7515390192627649,0.2526331986486911,1.3730666282933894,-0.0192000195384025,0.0132068926468491,0.1153862848877906,False,True,0.0033844329565463,0.0112751078646148,0.003553654604373615,-0.007267422436954284,,,
bias_medium,0.1876443446334451,0.1911764491349458,0.1894304949324578,0.1897555925510823,0.018823399705440114,False,1.0188233997054401,0.0872553490987047,3.0506953179395047,0.0021808296442031,0.0493373796343803,0.289760559797287,False,True,0.009518806988304762,False,1.0095188069883048,0.1404325780179351,1.480128797951988,0.0004348754882812,0.0442875586450099,0.2882646322250366,True,True,0.011251327194333749,False,1.0112513271943337,0.1310271927062422,1.7200262068924237,0.0007599592208862,0.0472464226186275,0.2883200347423553,False,True,0.042336142825132,0.0419577880635518,0.0444529499663886,0.00016539132137870227,0.1889955401420593,0.1889955401420593,0.1889955401420593
jump_medium,0.2462638985924422,0.2540943944081664,0.2524413072876632,0.2528101878985762,0.03179717311583463,False,1.0317971731158346,0.1545195277780294,1.777168122324417,-0.0092740356922149,0.0092814853414893,0.4057011902332306,False,True,0.02508450784109595,False,1.025084507841096,0.2180848216637969,1.1423327749507464,-0.0109271109104156,0.0106369284912943,0.4037415087223053,False,True,0.026582415626286604,False,1.0265824156262866,0.2077044796198606,1.2233943866746737,-0.0105582475662231,0.0099082645028829,0.4043898582458496,False,True,0.0,0.0,0.0,-0.0106369284912943,,,
combined_medium,0.1942038802988827,0.1933827268332243,0.1900177237391472,0.190899310670793,-0.004228306171816021,True,0.995771693828184,0.1179725331254303,1.286917181558389,-0.005681037902832,0.0497104041278362,0.2925128638744354,False,True,-0.021555473316459683,True,0.9784445266835403,0.168857757281512,0.9971017597495369,-0.009046047925949,0.0491461940109729,0.2898056209087372,False,True,-0.01701598146753769,True,0.9829840185324623,0.1595302547700703,1.0240131462722435,-0.0081644505262374,0.0494703948497772,0.2900800108909607,False,True,0.044971121691071,0.0466195109252143,0.04721967777562455,-0.001926516235348348,,,
