degradation,method,confidence_bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
gaussian_medium,noisy_input,high,334,0.014083260558071563,0.004760466517190648,0.014847654849290848,0.0016955116298049688,0.020977450534701347,0.010835865279659629,0.01817986322566867
gaussian_medium,noisy_input,mid,2177,0.046816306528376504,0.013633796246372306,0.04701489582657814,0.020996328443288803,0.07079875469207764,0.03567871078848839,0.05810961127281189
gaussian_medium,noisy_input,low,1489,0.09646969591814691,0.02066272577507897,0.09200888127088547,0.07085633277893066,0.19743014872074127,0.0800308883190155,0.10734082013368607
gaussian_medium,stage3_cond_residual_t20,high,334,0.04417739396644366,0.02721289560911999,0.04004107043147087,0.002704634563997388,0.1522614061832428,0.022586079314351082,0.06040470115840435
gaussian_medium,stage3_cond_residual_t20,mid,2177,0.048852670337678844,0.02712653963787851,0.044759027659893036,0.0012107033981010318,0.1879103034734726,0.02906077541410923,0.06403913348913193
gaussian_medium,stage3_cond_residual_t20,low,1489,0.06828348056236226,0.03467143366215673,0.06551266461610794,0.004111028276383877,0.23924212157726288,0.04302865266799927,0.08935236185789108
gaussian_medium,formal_e1_linear_gate,high,334,0.015238317256322142,0.008353647372929464,0.01462451322004199,0.001018577953800559,0.042129404842853546,0.008956501493230462,0.020368427503854036
gaussian_medium,formal_e1_linear_gate,mid,2177,0.03897941186936952,0.019784942867534884,0.03669390454888344,0.0008204734767787158,0.14442692697048187,0.02446834184229374,0.05115699768066406
gaussian_medium,formal_e1_linear_gate,low,1489,0.06923709337160497,0.03126234588573226,0.06729498505592346,0.003310434753075242,0.23086407780647278,0.04804984852671623,0.08761590719223022
gaussian_medium,V1_abs_anchor_smooth,high,334,0.01975777628308742,0.015492842059535555,0.01625417172908783,0.0003570147091522813,0.08381729573011398,0.00997768621891737,0.02333839237689972
gaussian_medium,V1_abs_anchor_smooth,mid,2177,0.04277656358235923,0.024926461073797503,0.037129148840904236,0.0015961902681738138,0.18537183105945587,0.0266802329570055,0.050612956285476685
gaussian_medium,V1_abs_anchor_smooth,low,1489,0.06715819259115374,0.03788443406029927,0.059232402592897415,0.0021212578285485506,0.28734222054481506,0.04287448897957802,0.07768060266971588
gaussian_medium,V2_uniform_cond_motion,high,334,0.015872043000135436,0.009704802851770654,0.01466574426740408,0.0005235017742961645,0.06402307003736496,0.008940814761444926,0.019998444709926844
gaussian_medium,V2_uniform_cond_motion,mid,2177,0.03263969761863835,0.015530716346769403,0.03121577762067318,0.0009885522304102778,0.1047605499625206,0.0213386919349432,0.042249467223882675
gaussian_medium,V2_uniform_cond_motion,low,1489,0.05542726623603687,0.02309524957767847,0.053523190319538116,0.0017949575558304787,0.16717499494552612,0.03936758637428284,0.0687878206372261
gaussian_medium,V3_conf_mod_cond_motion,high,334,0.01774306558762694,0.012596556741146481,0.015239790081977844,0.00035596208181232214,0.07238110154867172,0.009031352354213595,0.0222932449541986
gaussian_medium,V3_conf_mod_cond_motion,mid,2177,0.03501688917818812,0.01696947677088112,0.03283705189824104,0.0013001473853364587,0.12769939005374908,0.023298362269997597,0.044155463576316833
gaussian_medium,V3_conf_mod_cond_motion,low,1489,0.05693439578420443,0.02347271442846379,0.05472974851727486,0.0019999088253825903,0.1724376231431961,0.040951088070869446,0.07043179869651794
drift_medium,noisy_input,high,581,0.0024078645594754673,0.0020331835174819137,0.0027626536320894957,0.0,0.005584052763879299,0.0,0.0043183923698961735
drift_medium,noisy_input,mid,1815,0.012140532533738238,0.0037304230508114883,0.012010060250759125,0.005616143811494112,0.018874481320381165,0.008930315729230642,0.015145177952945232
drift_medium,noisy_input,low,1604,0.02940028666302636,0.008862306312728564,0.027104380540549755,0.018880711868405342,0.07006075233221054,0.02254828903824091,0.03382834047079086
drift_medium,stage3_cond_residual_t20,high,581,0.014949390903851063,0.015574137266407684,0.012716878205537796,0.0,0.08419439941644669,0.0,0.023401999846100807
drift_medium,stage3_cond_residual_t20,mid,1815,0.029474742319043623,0.0181393463721993,0.026011589914560318,0.0007593577611260116,0.128067746758461,0.015789618715643883,0.039394594728946686
drift_medium,stage3_cond_residual_t20,low,1604,0.040012958021184195,0.022483546496759724,0.036488788202404976,0.0016541415825486183,0.12080714851617813,0.023310313001275063,0.05265734624117613
drift_medium,formal_e1_linear_gate,high,581,0.003634951839811792,0.004025562176554503,0.002766376594081521,0.0,0.019421786069869995,0.0,0.005988985300064087
drift_medium,formal_e1_linear_gate,mid,1815,0.01820106151200749,0.01188676798885357,0.015413007698953152,0.00029370421543717384,0.07831995189189911,0.009653431363403797,0.024091933853924274
drift_medium,formal_e1_linear_gate,low,1604,0.0361232849847098,0.020386386831090075,0.03284551575779915,0.0006339671090245247,0.11599201709032059,0.02077369438484311,0.04741179756820202
drift_medium,V1_abs_anchor_smooth,high,581,0.007599093840580126,0.013519541026839903,0.0033766659907996655,4.8708046961110085e-05,0.08761034905910492,0.0010365149937570095,0.007072547450661659
drift_medium,V1_abs_anchor_smooth,mid,1815,0.02471684908318608,0.026421450586692364,0.014822497963905334,0.0005133577506057918,0.1414761245250702,0.00970446690917015,0.02382843568921089
drift_medium,V1_abs_anchor_smooth,low,1604,0.04810883325366117,0.03621071142083105,0.033564019948244095,0.0014834501780569553,0.2090090811252594,0.023800098337233067,0.059449728578329086
drift_medium,V2_uniform_cond_motion,high,581,0.00679625882520685,0.006037697317193244,0.005079309921711683,0.00015472527593374252,0.04078415036201477,0.0032230650540441275,0.007942664436995983
drift_medium,V2_uniform_cond_motion,mid,1815,0.016133566470107975,0.010496752903527787,0.013862328603863716,0.0004231140192132443,0.07257720082998276,0.009065487887710333,0.019961287267506123
drift_medium,V2_uniform_cond_motion,low,1604,0.03185755117698236,0.014448297215026487,0.028743702918291092,0.0031825113110244274,0.10826851427555084,0.022100662346929312,0.038945479318499565
drift_medium,V3_conf_mod_cond_motion,high,581,0.0070916821372357846,0.010077249929594754,0.0038025316316634417,0.00017142968135885894,0.06810233741998672,0.002044587628915906,0.0071120792999863625
drift_medium,V3_conf_mod_cond_motion,mid,1815,0.01803424211221198,0.013731917733541975,0.014144220389425755,0.0003617233596742153,0.07996052503585815,0.009291557595133781,0.020902245305478573
drift_medium,V3_conf_mod_cond_motion,low,1604,0.03263311307481606,0.015087427038695601,0.029222737066447735,0.0004986670101061463,0.1095929965376854,0.022200129460543394,0.04028714541345835
burst_medium,noisy_input,high,351,0.0033844329565463314,0.0011811905565715065,0.003593557747080922,9.825579036260024e-05,0.005006195046007633,0.002589566516689956,0.004384332103654742
