variant,alpha0,beta,sigma0,degradation,conditional_source,ADE_noisy,ADE_cond,ADE_e1,ADE_e2,improves_vs_e1,ADE_gain_vs_e1,six_ADE_improved_count,mean_ADE_gain_vs_e1_across_6,mean_ADE_e2_across_6
V1_abs_anchor_smooth,0.0,0.01,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.059394340962171555,False,-0.011133890599012375,2,0.0029418508832653365,0.12598597910255194
V1_abs_anchor_smooth,0.0,0.01,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.018330028280615807,True,0.0049421172589063644,2,0.0029418508832653365,0.12598597910255194
V1_abs_anchor_smooth,0.0,0.01,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.028923235833644867,True,0.04499899595975876,2,0.0029418508832653365,0.12598597910255194
V1_abs_anchor_smooth,0.0,0.01,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.18904109299182892,False,-0.0013967454433441162,2,0.0029418508832653365,0.12598597910255194
V1_abs_anchor_smooth,0.0,0.01,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.26216042041778564,False,-0.015896514058113098,2,0.0029418508832653365,0.12598597910255194
V1_abs_anchor_smooth,0.0,0.01,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19806675612926483,False,-0.0038628578186035156,2,0.0029418508832653365,0.12598597910255194
V1_abs_anchor_smooth,0.0,0.01,1.0,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.05432569980621338,False,-0.006065249443054199,2,0.0033176693444450698,0.1256101606413722
V1_abs_anchor_smooth,0.0,0.01,1.0,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.022355003282427788,True,0.0009171422570943832,2,0.0033176693444450698,0.1256101606413722
V1_abs_anchor_smooth,0.0,0.01,1.0,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.03170615807175636,True,0.04221607372164726,2,0.0033176693444450698,0.1256101606413722
V1_abs_anchor_smooth,0.0,0.01,1.0,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.1893937736749649,False,-0.0017494261264801025,2,0.0033176693444450698,0.1256101606413722
V1_abs_anchor_smooth,0.0,0.01,1.0,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.2596432566642761,False,-0.013379350304603577,2,0.0033176693444450698,0.1256101606413722
V1_abs_anchor_smooth,0.0,0.01,1.0,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19623707234859467,False,-0.0020331740379333496,2,0.0033176693444450698,0.1256101606413722
V1_abs_anchor_smooth,0.0,0.05,0.5,gaussian_medium,archived_original,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.053432803601026535,False,-0.005172353237867355,1,0.0033113559087117514,0.12561647407710552
V1_abs_anchor_smooth,0.0,0.05,0.5,drift_medium,archived_original,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.023411955684423447,False,-0.00013981014490127563,1,0.0033113559087117514,0.12561647407710552
V1_abs_anchor_smooth,0.0,0.05,0.5,burst_medium,archived_original,0.07475546002388,0.09188491106033325,0.07392223179340363,0.032467301934957504,True,0.04145492985844612,1,0.0033113559087117514,0.12561647407710552
V1_abs_anchor_smooth,0.0,0.05,0.5,bias_medium,archived_original,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.18952929973602295,False,-0.001884952187538147,1,0.0033113559087117514,0.12561647407710552
V1_abs_anchor_smooth,0.0,0.05,0.5,jump_medium,matched_protocol_recomputed,0.2633684277534485,0.24652285873889923,0.24626390635967255,0.259024053812027,False,-0.012760147452354431,1,0.0033113559087117514,0.12561647407710552
V1_abs_anchor_smooth,0.0,0.05,0.5,combined_medium,matched_protocol_recomputed,0.1990637630224228,0.197429358959198,0.19420389831066132,0.19583342969417572,False,-0.0016295313835144043,1,0.0033113559087117514,0.12561647407710552
