condition,t_start,confidence_bin,sample_count,cosine_mean,cosine_median,fraction_cosine_gt_0,fraction_cosine_gt_0p5,fraction_cosine_lt_0,magnitude_ratio_mean,magnitude_ratio_median
gaussian_medium,1,high,1647,0.06979648768901825,0.05368015915155411,0.5191256830601093,0.34972677595628415,0.4408014571948998,0.8190020322799683,0.5215434432029724
gaussian_medium,1,mid,10970,0.18602880835533142,0.2932155132293701,0.5936189608021878,0.430355515041021,0.36608933454876935,0.2025076001882553,0.16201530396938324
gaussian_medium,1,low,7383,0.28585708141326904,0.471623033285141,0.653799268590004,0.4886902343220913,0.30448327238250034,0.0964561328291893,0.08277635276317596
gaussian_medium,2,high,1647,0.071741484105587,0.06775666773319244,0.5209471766848816,0.3570127504553734,0.43897996357012753,1.3779091835021973,0.8721932768821716
gaussian_medium,2,mid,10970,0.2053246945142746,0.3461989164352417,0.6072014585232453,0.44202370100273475,0.35250683682771194,0.34965792298316956,0.2761381268501282
gaussian_medium,2,low,7383,0.316718190908432,0.5373659133911133,0.6768251388324529,0.5161858323174862,0.2814574021400515,0.166830912232399,0.14304675161838531
gaussian_medium,3,high,1647,0.07515056431293488,0.08729631453752518,0.5294474802671524,0.3588342440801457,0.4304796599878567,1.9757566452026367,1.2794663906097412
gaussian_medium,3,mid,10970,0.22304321825504303,0.38054096698760986,0.621330902461258,0.4538742023701003,0.3383773928896992,0.5042439103126526,0.3973458409309387
gaussian_medium,3,low,7383,0.33738964796066284,0.579023540019989,0.6864418258160639,0.5340647433292699,0.2718407151564405,0.2432369440793991,0.20893777906894684
drift_medium,1,high,1903,0.06847719848155975,0.16607241332530975,0.5496584340514976,0.3673147661586968,0.4503415659485024,0.8524559140205383,0.5589816570281982
drift_medium,1,mid,9209,0.0884365662932396,0.17758673429489136,0.5545661852535563,0.38788142034965795,0.4454338147464437,0.2751859128475189,0.2300080806016922
drift_medium,1,low,7888,0.1589190810918808,0.30147093534469604,0.595841784989858,0.42925963488843816,0.404158215010142,0.14654745161533356,0.13009080290794373
drift_medium,2,high,1903,0.09204282611608505,0.19304542243480682,0.5570152390961639,0.3883342091434577,0.44298476090383604,1.3599258661270142,0.8797793388366699
drift_medium,2,mid,9209,0.13062159717082977,0.26496773958206177,0.5810620045607557,0.41481159735041806,0.4189379954392442,0.4399706721305847,0.3668033480644226
drift_medium,2,low,7888,0.19708317518234253,0.37202075123786926,0.6230983772819473,0.45182555780933065,0.3769016227180527,0.2356288880109787,0.21225795149803162
drift_medium,3,high,1903,0.11353033035993576,0.22171194851398468,0.5712033631108776,0.3998949027850762,0.42879663688912245,1.875651240348816,1.2115180492401123
drift_medium,3,mid,9209,0.14773468673229218,0.3041510283946991,0.5911608209360408,0.4287110435443588,0.40883917906395917,0.6039574146270752,0.5018394589424133
drift_medium,3,low,7888,0.2141091525554657,0.4162319302558899,0.6296906693711968,0.4683062880324544,0.3703093306288032,0.32396847009658813,0.28835225105285645
burst_medium,1,high,1905,0.01933269202709198,0.0,0.47821522309711284,0.3249343832020997,0.47664041994750656,5.3947343826293945,2.8737728595733643
burst_medium,1,mid,10225,0.05111419036984444,0.024399952962994576,0.5086552567237164,0.3421026894865526,0.44381418092909536,1.426120638847351,0.9234566688537598
burst_medium,1,low,7870,0.23204463720321655,0.4127783179283142,0.6278271918678526,0.4696315120711563,0.3416772554002541,0.3604191839694977,0.10817153751850128
burst_medium,2,high,1905,0.03304106369614601,0.0,0.49343832020997375,0.32860892388451446,0.46141732283464565,9.08818244934082,4.748189449310303
burst_medium,2,mid,10225,0.0609576590359211,0.035540640354156494,0.5122738386308069,0.3488508557457213,0.4401955990220049,2.4405384063720703,1.5495285987854004
burst_medium,2,low,7870,0.24817264080047607,0.4483429789543152,0.6376111817026684,0.4780177890724269,0.33189326556543836,0.6174185276031494,0.18431532382965088
burst_medium,3,high,1905,0.03506731614470482,0.007642182055860758,0.5018372703412074,0.3375328083989501,0.45301837270341205,13.024210929870605,6.962700843811035
burst_medium,3,mid,10225,0.0677710473537445,0.05685482546687126,0.5199022004889976,0.35599022004889974,0.4325672371638142,3.5041961669921875,2.2116763591766357
burst_medium,3,low,7870,0.2585110664367676,0.4689340889453888,0.6439644218551461,0.4880559085133418,0.3255400254129606,0.8910065293312073,0.2697969675064087
bias_medium,1,high,1620,0.04881621152162552,0.020978573709726334,0.5030864197530864,0.3592592592592593,0.45555555555555555,0.19703015685081482,0.14722011983394623
bias_medium,1,mid,10840,0.022169005125761032,0.0,0.4938191881918819,0.31808118081180814,0.4656826568265683,0.05029844865202904,0.04161473736166954
bias_medium,1,low,7540,0.023015256971120834,0.0,0.49615384615384617,0.3246684350132626,0.46405835543766577,0.022136088460683823,0.01887153834104538
bias_medium,2,high,1620,0.02517712116241455,0.0,0.47901234567901235,0.34814814814814815,0.47962962962962963,0.30902379751205444,0.23506930470466614
bias_medium,2,mid,10840,0.01023040059953928,0.0,0.48966789667896676,0.30996309963099633,0.4698339483394834,0.07885870337486267,0.06497202813625336
bias_medium,2,low,7540,0.038130711764097214,0.029494957998394966,0.5096816976127321,0.3376657824933687,0.45053050397877986,0.034760549664497375,0.03003271296620369
bias_medium,3,high,1620,0.006003425922244787,0.0,0.48641975308641977,0.3345679012345679,0.4722222222222222,0.44276514649391174,0.32277393341064453
bias_medium,3,mid,10840,-0.0003586561360862106,0.0,0.4800738007380074,0.30691881918819186,0.4794280442804428,0.10585034638643265,0.08711440861225128
bias_medium,3,low,7540,0.03770599141716957,0.01169285736978054,0.5037135278514588,0.3383289124668435,0.45649867374005304,0.04679135978221893,0.040410012006759644
jump_medium,1,high,0,,,,,,,
jump_medium,1,mid,7799,0.339253306388855,0.6249386668205261,0.6999615335299397,0.5505834081292473,0.30003846647006027,0.047257743775844574,0.0397200770676136
jump_medium,1,low,7069,0.4975753128528595,0.7682820558547974,0.7979912293110766,0.6677040599801952,0.20200877068892348,0.0352962464094162,0.030685005709528923
jump_medium,2,high,0,,,,,,,
