condition,oracle_variant,ADE_noisy,ADE_fused_t1_tau07_gamma2,ADE_fused_best_tau07_gamma2,ADE_oracle,RMSE_oracle,high_conf_ADE_oracle,mid_conf_ADE_oracle,low_conf_ADE_oracle,improvement_vs_noisy,gap_vs_fused_t1,gap_vs_fused_best,oracle_gap_ratio_t1,oracle_gap_ratio_best,remaining_gain_vs_noisy_t1
gaussian_medium,oracle_A_framewise_best,0.062373414635658264,0.061417315155267715,0.06064354255795479,0.054129064083099365,0.06261204183101654,0.011370936408638954,0.0391884446144104,0.0858670100569725,0.008244350552558899,0.00728825107216835,0.006514478474855423,0.11866769255124697,0.10742245917823447,0.884029739602255
gaussian_medium,oracle_B_confidence_constrained_framewise,0.062373414635658264,0.061417315155267715,0.06064354255795479,0.055953942239284515,0.064359650015831,0.013773074373602867,0.04117031767964363,0.08732984960079193,0.006419472396373749,0.0054633729159832,0.004689600318670273,0.08895492911357931,0.07733057999025363,0.8510626074300697
gaussian_medium,oracle_C_trajectory_best_tstart,0.062373414635658264,0.061417315155267715,0.06064354255795479,0.05883476510643959,0.06692026555538177,0.01729937270283699,0.043668296188116074,0.0906355232000351,0.0035386495292186737,0.002582550048828125,0.0018087774515151978,0.04204921759115062,0.029826381758397708,0.7298123274158621
drift_medium,oracle_A_framewise_best,0.03562352806329727,0.03514675423502922,0.03514675423502922,0.030394794419407845,0.03783126547932625,0.003926074132323265,0.020477596670389175,0.051714032888412476,0.005228733643889427,0.004751959815621376,0.004751959815621376,0.1352033756472826,0.1352033756472826,0.9088165776382138
drift_medium,oracle_B_confidence_constrained_framewise,0.03562352806329727,0.03514675423502922,0.03514675423502922,0.03195682913064957,0.039481133222579956,0.00482790544629097,0.022170644253492355,0.05336609110236168,0.003666698932647705,0.003189925104379654,0.003189925104379654,0.09076016189285542,0.09076016189285542,0.8699719183315181
drift_medium,oracle_C_trajectory_best_tstart,0.03562352806329727,0.03514675423502922,0.03514675423502922,0.03175218775868416,0.03882348909974098,0.005443796515464783,0.022157764062285423,0.052635595202445984,0.0038713403046131134,0.0033945664763450623,0.0033945664763450623,0.09658264469160704,0.09658264469160704,0.8768452807675098
burst_medium,oracle_A_framewise_best,0.07231354713439941,0.07149259746074677,0.07149259746074677,0.06642963737249374,0.14694254100322723,0.003112648380920291,0.009408705867826939,0.15583980083465576,0.00588390976190567,0.005062960088253021,0.005062960088253021,0.07081796253147545,0.07081796253147545,0.8604754819715724
burst_medium,oracle_B_confidence_constrained_framewise,0.07231354713439941,0.07149259746074677,0.07149259746074677,0.0721212700009346,0.14858989417552948,0.0033015089575201273,0.017439134418964386,0.15982477366924286,0.00019227713346481323,-0.0006286725401878357,-0.0006286725401878357,-0.008793533351939133,-0.008793533351939133,-3.2696167706436237
burst_medium,oracle_C_trajectory_best_tstart,0.07231354713439941,0.07149259746074677,0.07149259746074677,0.0717298835515976,0.15554846823215485,0.004717406816780567,0.01125790923833847,0.16651828587055206,0.0005836635828018188,-0.00023728609085083008,-0.00023728609085083008,-0.003319030211220298,-0.003319030211220298,-0.40654599300467203
bias_medium,oracle_A_framewise_best,0.1871226578950882,0.18705998361110687,0.18705998361110687,0.1825895458459854,0.20720526576042175,0.03641313686966896,0.1329718828201294,0.28532978892326355,0.004533112049102783,0.00447043776512146,0.00447043776512146,0.02389841845819569,0.02389841845819569,0.9861741154195101
bias_medium,oracle_B_confidence_constrained_framewise,0.1871226578950882,0.18705998361110687,0.18705998361110687,0.1843622773885727,0.20868133008480072,0.04062176123261452,0.13457992672920227,0.286815881729126,0.002760380506515503,0.0026977062225341797,0.0026977062225341797,0.014421610493362626,0.014421610493362626,0.9772950563035099
bias_medium,oracle_C_trajectory_best_tstart,0.1871226578950882,0.18705998361110687,0.18705998361110687,0.18320304155349731,0.2077508568763733,0.0369940847158432,0.1335851401090622,0.28595057129859924,0.003919616341590881,0.003856942057609558,0.003856942057609558,0.020618744763861663,0.020618744763861663,0.984010097285214
jump_medium,oracle_A_framewise_best,0.26043060421943665,0.2578507959842682,0.25374510884284973,0.24456943571567535,0.29295557737350464,0.0,0.26101335883140564,0.4039815664291382,0.01586116850376129,0.013281360268592834,0.009175673127174377,0.05150792813299342,0.03616098520684032,0.8373506822932569
jump_medium,oracle_B_confidence_constrained_framewise,0.26043060421943665,0.2578507959842682,0.25374510884284973,0.24562504887580872,0.29418015480041504,0.0,0.2627093195915222,0.405097097158432,0.01480555534362793,0.012225747108459473,0.008120059967041016,0.0474140367175961,0.03200085315563642,0.8257540379072127
jump_medium,oracle_C_trajectory_best_tstart,0.26043060421943665,0.2578507959842682,0.25374510884284973,0.24810534715652466,0.29517483711242676,0.006426101550459862,0.26378482580184937,0.4062625765800476,0.012325257062911987,0.00974544882774353,0.005639761686325073,0.03779491465420224,0.02222609023694683,0.7906892958093852
combined_medium,oracle_A_framewise_best,0.20637409389019012,0.20599648356437683,0.20599648356437683,0.19860219955444336,0.2253500521183014,0.040215879678726196,0.14614905416965485,0.31233975291252136,0.007771894335746765,0.007394284009933472,0.007394284009933472,0.03589519530619877,0.03589519530619877,0.9514133479560475
combined_medium,oracle_B_confidence_constrained_framewise,0.20637409389019012,0.20599648356437683,0.20599648356437683,0.20105142891407013,0.2273888736963272,0.04521172493696213,0.1484781801700592,0.31441524624824524,0.005322664976119995,0.004945054650306702,0.004945054650306702,0.024005529437891117,0.024005529437891117,0.929056153729864
combined_medium,oracle_C_trajectory_best_tstart,0.20637409389019012,0.20599648356437683,0.20599648356437683,0.20053131878376007,0.22686341404914856,0.044390518218278885,0.14799129962921143,0.3139106035232544,0.005842775106430054,0.00546516478061676,0.00546516478061676,0.026530378995080362,0.026530378995080362,0.9353714084600435
