condition,method,aggregation,metric,status,N,mean,std,median,min,max,p05,p25,p75,p95,source_file
span10_fixed_seed42,savgol_w5_p2,,masked_RMSE,ok,1024,0.004982516172503448,0.006283141277870154,0.0030634592985734344,0.0,0.04299020394682884,7.74310974520631e-06,0.0005437744111986831,0.00660108937881887,0.017656261939555388,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,savgol_w5_p2,,endpoint_error,ok,1024,0.006802486288789919,0.009371060230185139,0.0036054461961612105,0.0,0.07892832159996033,5.143812677488334e-06,0.0006106927030486986,0.00883940001949668,0.024310547020286306,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,savgol_w5_p2,,path_length_error,ok,1024,0.003650465619557508,0.007329707855521952,0.0012853704392910004,0.0,0.08562098443508148,5.627959035336972e-06,0.00033623166382312775,0.003354220651090145,0.015884880907833555,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,savgol_w5_p2,,acceleration_error,ok,1024,0.008053385340760263,0.008022387952886104,0.004012350458651781,1.123915964740263e-07,0.04445575550198555,0.000934874580707401,0.0024015622911974788,0.013677185168489814,0.023881280235946167,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,savgol_w5_p2,,off_map_ratio,ok,1024,4.8828125e-05,0.0015617368741913556,0.0,0.0,0.05,0.0,0.0,0.0,0.0,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,savgol_w5_p2,,wall_crossing_count,ok,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,kalman_cv_dt1.0_q1e-3_r1e-2,,ADE,ok,1024,0.009031996164781564,0.00611805875723842,0.007940988056361675,0.0,0.04568646103143692,0.0009611152170691639,0.004936828510835767,0.01195658021606505,0.02007415862753987,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,kalman_cv_dt1.0_q1e-3_r1e-2,,FDE,ok,1024,0.01017925587434565,0.01181594955919915,0.007247651694342494,0.0,0.1022394597530365,8.212810898839963e-05,0.003305783204268664,0.01280971267260611,0.03145400732755659,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,kalman_cv_dt1.0_q1e-3_r1e-2,,RMSE,ok,1024,0.009281075279180762,0.006735910019576479,0.00794506585225463,0.0,0.05878916010260582,0.0013183896953705703,0.00487133301794529,0.012290700105950236,0.021121580712497225,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
span10_fixed_seed42,kalman_cv_dt1.0_q1e-3_r1e-2,,masked_ADE,ok,1024,0.02677303359551786,0.0254604009498806,0.021515383385121822,0.0,0.23479516804218292,2.086602780764224e-05,0.009630711050704122,0.03691028244793415,0.07213039733469484,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv
