degradation,conditional_source,delta0_label,delta0,gamma,trajectory_id,ADE_noisy,ADE_cond,ADE_gamma,win_vs_cond,win_vs_noisy,confidence_min,confidence_mean,confidence_max,lambda_mean,lambda_max
gaussian_medium,archived_original,default,0.0588282532989978,1,0,0.05268967151641846,0.06381252408027649,0.0409952774643898,True,True,0.13619489967823029,0.43690991401672363,0.7483262419700623,0.5630900859832764,0.8638051152229309
gaussian_medium,archived_original,default,0.0588282532989978,1,1,0.06313766539096832,0.0379650704562664,0.040338966995477676,False,True,0.14853742718696594,0.3933515250682831,0.8390962481498718,0.6066484451293945,0.8514626026153564
gaussian_medium,archived_original,default,0.0588282532989978,1,2,0.051779210567474365,0.0864875465631485,0.05211956053972244,True,False,0.16064901649951935,0.43747273087501526,0.7041448950767517,0.5625271797180176,0.8393509984016418
gaussian_medium,archived_original,default,0.0588282532989978,1,3,0.05588671565055847,0.04602774232625961,0.04363993555307388,True,True,0.15258008241653442,0.42007189989089966,0.773892879486084,0.5799281001091003,0.8474199175834656
gaussian_medium,archived_original,default,0.0588282532989978,1,4,0.05658530071377754,0.04014184698462486,0.03454447537660599,True,True,0.14634950459003448,0.42990151047706604,0.6831046938896179,0.5700985193252563,0.8536505103111267
gaussian_medium,archived_original,default,0.0588282532989978,1,5,0.06796588748693466,0.04236813634634018,0.04348347336053848,False,True,0.0994829460978508,0.35289597511291504,0.6041389107704163,0.6471039652824402,0.9005170464515686
gaussian_medium,archived_original,default,0.0588282532989978,1,6,0.056925155222415924,0.06543301790952682,0.04790840297937393,True,True,0.10086846351623535,0.41851502656936646,0.7760900259017944,0.5814849734306335,0.8991315364837646
gaussian_medium,archived_original,default,0.0588282532989978,1,7,0.06172262877225876,0.04933571070432663,0.044600363820791245,True,True,0.10310044139623642,0.4158605635166168,0.9284789562225342,0.584139347076416,0.8968995809555054
gaussian_medium,archived_original,default,0.0588282532989978,1,8,0.06060759350657463,0.05269606038928032,0.043488286435604095,True,True,0.06832490116357803,0.4357633590698242,0.8253635168075562,0.564236581325531,0.9316750764846802
gaussian_medium,archived_original,default,0.0588282532989978,1,9,0.0659550279378891,0.08199115097522736,0.06715764105319977,True,False,0.1719844788312912,0.3560740351676941,0.6970208287239075,0.6439259648323059,0.8280155062675476
gaussian_medium,archived_original,default,0.0588282532989978,1,10,0.05687336251139641,0.04006509482860565,0.030523929744958878,True,True,0.06706225872039795,0.45584630966186523,0.9077031016349792,0.5441536903381348,0.932937741279602
gaussian_medium,archived_original,default,0.0588282532989978,1,11,0.06904856115579605,0.06759251654148102,0.0631004199385643,True,True,0.04049459099769592,0.372004896402359,0.8919970393180847,0.6279951333999634,0.9595054388046265
gaussian_medium,archived_original,default,0.0588282532989978,1,12,0.06322519481182098,0.064051553606987,0.04749017208814621,True,True,0.05229340121150017,0.3951840102672577,0.8116623163223267,0.6048159599304199,0.9477065801620483
gaussian_medium,archived_original,default,0.0588282532989978,1,13,0.07754329591989517,0.06316633522510529,0.06370525807142258,False,True,0.07216227799654007,0.31438297033309937,0.7843782901763916,0.6856170892715454,0.9278377294540405
gaussian_medium,archived_original,default,0.0588282532989978,1,14,0.0635475218296051,0.06373920291662216,0.05401288717985153,True,True,0.0879104733467102,0.3879883885383606,0.8925455212593079,0.6120116114616394,0.9120895266532898
gaussian_medium,archived_original,default,0.0588282532989978,1,15,0.06149406358599663,0.039401378482580185,0.03728118911385536,True,True,0.11608981341123581,0.3883607089519501,0.712628185749054,0.6116393804550171,0.8839101791381836
gaussian_medium,archived_original,default,0.0588282532989978,1,16,0.0525021068751812,0.061116188764572144,0.04677599295973778,True,True,0.1162424236536026,0.46390143036842346,0.7832028865814209,0.5360985994338989,0.8837575912475586
gaussian_medium,archived_original,default,0.0588282532989978,1,17,0.06533661484718323,0.05183650180697441,0.04835721105337143,True,True,0.15680256485939026,0.35557085275650024,0.6631419062614441,0.6444291472434998,0.8431974649429321
gaussian_medium,archived_original,default,0.0588282532989978,1,18,0.06372842937707901,0.028750766068696976,0.03537692502140999,False,True,0.15783262252807617,0.38126644492149353,0.7538869380950928,0.6187335252761841,0.8421673774719238
gaussian_medium,archived_original,default,0.0588282532989978,1,19,0.06326358020305634,0.039473675191402435,0.03849839046597481,True,True,0.08973056823015213,0.39819246530532837,0.8472055792808533,0.6018074750900269,0.9102694392204285
gaussian_medium,archived_original,default,0.0588282532989978,1,20,0.05830741673707962,0.050200313329696655,0.04456886649131775,True,True,0.0716409906744957,0.42071500420570374,0.7362550497055054,0.5792850255966187,0.9283590316772461
gaussian_medium,archived_original,default,0.0588282532989978,1,21,0.06869306415319443,0.05760329216718674,0.054802846163511276,True,True,0.1008630320429802,0.36361631751060486,0.8951252102851868,0.6363837122917175,0.8991369605064392
gaussian_medium,archived_original,default,0.0588282532989978,1,22,0.06361999362707138,0.05225623399019241,0.05019853636622429,True,True,0.11340551823377609,0.37346017360687256,0.6655171513557434,0.6265398263931274,0.8865944743156433
gaussian_medium,archived_original,default,0.0588282532989978,1,23,0.0694975033402443,0.05019613355398178,0.04271330684423447,True,True,0.10770981013774872,0.35359933972358704,0.8498972058296204,0.6464006304740906,0.8922901749610901
gaussian_medium,archived_original,default,0.0588282532989978,1,24,0.06091035529971123,0.04738569259643555,0.04558560252189636,True,True,0.12225981801748276,0.392742782831192,0.7626882791519165,0.6072572469711304,0.877740204334259
gaussian_medium,archived_original,default,0.0588282532989978,1,25,0.06001255661249161,0.06074228137731552,0.0458194762468338,True,True,0.1688496172428131,0.4005521833896637,0.7163403630256653,0.5994478464126587,0.8311504125595093
gaussian_medium,archived_original,default,0.0588282532989978,1,26,0.06416813284158707,0.06685081869363785,0.05318518728017807,True,True,0.09655272960662842,0.38944345712661743,0.7742607593536377,0.6105565428733826,0.9034472703933716
gaussian_medium,archived_original,default,0.0588282532989978,1,27,0.053119100630283356,0.04533408209681511,0.035329464823007584,True,True,0.08935822546482086,0.4592958390712738,0.8524538278579712,0.5407041907310486,0.9106417894363403
gaussian_medium,archived_original,default,0.0588282532989978,1,28,0.06145323067903519,0.036296699196100235,0.039174485951662064,False,True,0.1782686561346054,0.37083375453948975,0.6746059060096741,0.6291661858558655,0.8217313289642334
gaussian_medium,archived_original,default,0.0588282532989978,1,29,0.04525135084986687,0.02443968877196312,0.028435558080673218,False,True,0.2690649926662445,0.49316829442977905,0.8866147994995117,0.506831705570221,0.7309349775314331
gaussian_medium,archived_original,default,0.0588282532989978,1,30,0.05629705265164375,0.05338059738278389,0.05104653909802437,True,True,0.1858246624469757,0.41514235734939575,0.783703088760376,0.5848576426506042,0.8141753673553467
gaussian_medium,archived_original,default,0.0588282532989978,1,31,0.06441095471382141,0.042734645307064056,0.03970509022474289,True,True,0.1459871232509613,0.36861452460289,0.7071321606636047,0.6313854455947876,0.8540128469467163
gaussian_medium,archived_original,default,0.0588282532989978,1,32,0.048632748425006866,0.04473453387618065,0.0405232273042202,True,True,0.1730509251356125,0.4870600700378418,0.8576429486274719,0.5129399299621582,0.8269490599632263
gaussian_medium,archived_original,default,0.0588282532989978,1,33,0.04978462681174278,0.08492304384708405,0.053757138550281525,True,False,0.17417596280574799,0.4638370871543884,0.7944836020469666,0.5361629128456116,0.8258240222930908
gaussian_medium,archived_original,default,0.0588282532989978,1,34,0.06210090592503548,0.05039157345890999,0.049201078712940216,True,True,0.16938914358615875,0.3828093409538269,0.6911175847053528,0.6171907186508179,0.8306108713150024
gaussian_medium,archived_original,default,0.0588282532989978,1,35,0.06946993619203568,0.05765770003199577,0.050358761101961136,True,True,0.07150275260210037,0.3542068600654602,0.6170388460159302,0.6457931995391846,0.9284972548484802
