degradation,conditional_source,delta0_label,delta0,gamma,ADE_noisy,ADE_cond,ADE_gamma,RMSE_gamma,ADE_gamma_high,ADE_noisy_high,ADE_cond_high,ADE_gamma_mid,ADE_gamma_low,ADE_noisy_low,ADE_cond_low,C2_high_no_harm_pass,C3_low_preservation_pass,conditional_useful_low,win_rate_vs_cond,win_rate_vs_noisy,residual_usage_ratio,noisy_reversion_gap,N_high_frames,N_mid_frames,N_low_frames
gaussian_medium,archived_original,default,0.0588282532989978,1,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.0566876120865345,0.015238317660987377,0.014083261601626873,0.04417739063501358,0.038979414850473404,0.06923709064722061,0.0964696928858757,0.06828348338603973,True,True,True,0.825,0.925,0.6296247243881226,-0.014306120574474335,334,2177,1489
gaussian_medium,archived_original,default,0.0588282532989978,2,0.06256657093763351,0.05569539964199066,0.04994942620396614,0.05697835981845856,0.013816299848258495,0.014083261601626873,0.04417739063501358,0.04018135368824005,0.07233597338199615,0.0964696928858757,0.06828348338603973,True,True,True,0.615,0.985,0.4323647916316986,-0.012617144733667374,334,2177,1489
gaussian_medium,archived_original,default,0.0588282532989978,3,0.06256657093763351,0.05569539964199066,0.05250244960188866,0.05866185575723648,0.013985595665872097,0.014083261601626873,0.04417739063501358,0.042426202446222305,0.07587425410747528,0.0964696928858757,0.06828348338603973,True,False,True,0.49,0.985,0.3129219710826874,-0.010064121335744858,334,2177,1489
gaussian_medium,archived_original,default,0.0588282532989978,4,0.06256657093763351,0.05569539964199066,0.054584041237831116,0.060421355068683624,0.014055333100259304,0.014083261601626873,0.04417739063501358,0.044018153101205826,0.07912301272153854,0.0964696928858757,0.06828348338603973,True,False,True,0.4,0.985,0.23477190732955933,-0.007982529699802399,334,2177,1489
gaussian_medium,archived_original,fixed_0.02,0.02,1,0.06256657093763351,0.05569539964199066,0.05185389146208763,0.06075725331902504,0.009418107569217682,0.00514795770868659,0.037377990782260895,0.027184827253222466,0.055064041167497635,0.06826736032962799,0.05710349604487419,False,True,True,0.98,0.825,0.9016579985618591,-0.010712679475545883,37,400,3563
gaussian_medium,archived_original,fixed_0.02,0.02,2,0.06256657093763351,0.05569539964199066,0.04973743110895157,0.059049226343631744,0.005269867833703756,0.00514795770868659,0.037377990782260895,0.019460216164588928,0.053598273545503616,0.06826736032962799,0.05710349604487419,True,True,True,0.97,0.87,0.8322080373764038,-0.012829139828681946,37,400,3563
gaussian_medium,archived_original,fixed_0.02,0.02,3,0.06256657093763351,0.05569539964199066,0.04858381301164627,0.05801383778452873,0.005085202865302563,0.00514795770868659,0.037377990782260895,0.016808532178401947,0.052602771669626236,0.06826736032962799,0.05710349604487419,True,True,True,0.95,0.885,0.7787819504737854,-0.013982757925987244,37,400,3563
gaussian_medium,archived_original,fixed_0.02,0.02,4,0.06256657093763351,0.05569539964199066,0.04798934981226921,0.057336173951625824,0.005122264847159386,0.00514795770868659,0.037377990782260895,0.016337351873517036,0.051987916231155396,0.06826736032962799,0.05710349604487419,True,True,True,0.92,0.9,0.7354997396469116,-0.014577221125364304,37,400,3563
gaussian_medium,archived_original,fixed_0.05,0.05,1,0.06256657093763351,0.05569539964199066,0.048304468393325806,0.056973714381456375,0.014069244265556335,0.01204227190464735,0.043805237859487534,0.03611956909298897,0.06403684616088867,0.08928573876619339,0.06445304304361343,False,True,True,0.88,0.915,0.6808973550796509,-0.014262102544307709,242,1821,1937
gaussian_medium,archived_original,fixed_0.05,0.05,2,0.06256657093763351,0.05569539964199066,0.048815444111824036,0.056387562304735184,0.01197200920432806,0.01204227190464735,0.043805237859487534,0.03553389012813568,0.06590466946363449,0.08928573876619339,0.06445304304361343,True,True,True,0.72,0.97,0.49982208013534546,-0.013751126825809479,242,1821,1937
