degradation,conditional_source,delta0_label,delta0,gamma,method,confidence_bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
gaussian_medium,archived_original,default,0.0588282532989978,1,noisy,high,334,0.014083260558071563,0.004760466517190648,0.014847654849290848,0.0016955116298049688,0.020977450534701347,0.010835865279659629,0.01817986322566867
gaussian_medium,archived_original,default,0.0588282532989978,1,noisy,mid,2177,0.046816306528376504,0.013633796246372306,0.04701489582657814,0.020996328443288803,0.07079875469207764,0.03567871078848839,0.05810961127281189
gaussian_medium,archived_original,default,0.0588282532989978,1,noisy,low,1489,0.09646969591814691,0.02066272577507897,0.09200888127088547,0.07085633277893066,0.19743014872074127,0.0800308883190155,0.10734082013368607
gaussian_medium,archived_original,default,0.0588282532989978,1,cond_residual_t20,high,334,0.04417739396644366,0.02721289560911999,0.04004107043147087,0.002704634563997388,0.1522614061832428,0.022586079314351082,0.06040470115840435
gaussian_medium,archived_original,default,0.0588282532989978,1,cond_residual_t20,mid,2177,0.048852670337678844,0.02712653963787851,0.044759027659893036,0.0012107033981010318,0.1879103034734726,0.02906077541410923,0.06403913348913193
gaussian_medium,archived_original,default,0.0588282532989978,1,cond_residual_t20,low,1489,0.06828348056236226,0.03467143366215673,0.06551266461610794,0.004111028276383877,0.23924212157726288,0.04302865266799927,0.08935236185789108
gaussian_medium,archived_original,default,0.0588282532989978,1,gamma_1,high,334,0.015238317256322142,0.008353647372929464,0.01462451322004199,0.001018577953800559,0.042129404842853546,0.008956501493230462,0.020368427503854036
gaussian_medium,archived_original,default,0.0588282532989978,1,gamma_1,mid,2177,0.03897941186936952,0.019784942867534884,0.03669390454888344,0.0008204734767787158,0.14442692697048187,0.02446834184229374,0.05115699768066406
gaussian_medium,archived_original,default,0.0588282532989978,1,gamma_1,low,1489,0.06923709337160497,0.03126234588573226,0.06729498505592346,0.003310434753075242,0.23086407780647278,0.04804984852671623,0.08761590719223022
gaussian_medium,archived_original,default,0.0588282532989978,2,noisy,high,334,0.014083260558071563,0.004760466517190648,0.014847654849290848,0.0016955116298049688,0.020977450534701347,0.010835865279659629,0.01817986322566867
gaussian_medium,archived_original,default,0.0588282532989978,2,noisy,mid,2177,0.046816306528376504,0.013633796246372306,0.04701489582657814,0.020996328443288803,0.07079875469207764,0.03567871078848839,0.05810961127281189
gaussian_medium,archived_original,default,0.0588282532989978,2,noisy,low,1489,0.09646969591814691,0.02066272577507897,0.09200888127088547,0.07085633277893066,0.19743014872074127,0.0800308883190155,0.10734082013368607
gaussian_medium,archived_original,default,0.0588282532989978,2,cond_residual_t20,high,334,0.04417739396644366,0.02721289560911999,0.04004107043147087,0.002704634563997388,0.1522614061832428,0.022586079314351082,0.06040470115840435
gaussian_medium,archived_original,default,0.0588282532989978,2,cond_residual_t20,mid,2177,0.048852670337678844,0.02712653963787851,0.044759027659893036,0.0012107033981010318,0.1879103034734726,0.02906077541410923,0.06403913348913193
gaussian_medium,archived_original,default,0.0588282532989978,2,cond_residual_t20,low,1489,0.06828348056236226,0.03467143366215673,0.06551266461610794,0.004111028276383877,0.23924212157726288,0.04302865266799927,0.08935236185789108
gaussian_medium,archived_original,default,0.0588282532989978,2,gamma_2,high,334,0.013816299992906275,0.004900429220124622,0.014301788061857224,0.0016783777391538024,0.025965340435504913,0.010235479567199945,0.0173209048807621
gaussian_medium,archived_original,default,0.0588282532989978,2,gamma_2,mid,2177,0.040181353944920596,0.01497192889839017,0.038054876029491425,0.004762489814311266,0.11616041511297226,0.028789939358830452,0.04966207221150398
gaussian_medium,archived_original,default,0.0588282532989978,2,gamma_2,low,1489,0.07233597567449453,0.027429923921677375,0.07026161253452301,0.002940567908808589,0.22322151064872742,0.05396055430173874,0.08776786923408508
gaussian_medium,archived_original,default,0.0588282532989978,3,noisy,high,334,0.014083260558071563,0.004760466517190648,0.014847654849290848,0.0016955116298049688,0.020977450534701347,0.010835865279659629,0.01817986322566867
gaussian_medium,archived_original,default,0.0588282532989978,3,noisy,mid,2177,0.046816306528376504,0.013633796246372306,0.04701489582657814,0.020996328443288803,0.07079875469207764,0.03567871078848839,0.05810961127281189
gaussian_medium,archived_original,default,0.0588282532989978,3,noisy,low,1489,0.09646969591814691,0.02066272577507897,0.09200888127088547,0.07085633277893066,0.19743014872074127,0.0800308883190155,0.10734082013368607
gaussian_medium,archived_original,default,0.0588282532989978,3,cond_residual_t20,high,334,0.04417739396644366,0.02721289560911999,0.04004107043147087,0.002704634563997388,0.1522614061832428,0.022586079314351082,0.06040470115840435
gaussian_medium,archived_original,default,0.0588282532989978,3,cond_residual_t20,mid,2177,0.048852670337678844,0.02712653963787851,0.044759027659893036,0.0012107033981010318,0.1879103034734726,0.02906077541410923,0.06403913348913193
gaussian_medium,archived_original,default,0.0588282532989978,3,cond_residual_t20,low,1489,0.06828348056236226,0.03467143366215673,0.06551266461610794,0.004111028276383877,0.23924212157726288,0.04302865266799927,0.08935236185789108
gaussian_medium,archived_original,default,0.0588282532989978,3,gamma_3,high,334,0.013985596332297533,0.004697595123727431,0.014752499293535948,0.0016950445715337992,0.02204352430999279,0.01073798630386591,0.0179274114780128
gaussian_medium,archived_original,default,0.0588282532989978,3,gamma_3,mid,2177,0.04242620268835762,0.012726107140790055,0.0413924865424633,0.018510842695832253,0.09797261655330658,0.03275261074304581,0.050811801105737686
gaussian_medium,archived_original,default,0.0588282532989978,3,gamma_3,low,1489,0.07587425695022955,0.023878323062855297,0.07301133126020432,0.01428566500544548,0.2162497341632843,0.0603327751159668,0.08838056027889252
gaussian_medium,archived_original,default,0.0588282532989978,4,noisy,high,334,0.014083260558071563,0.004760466517190648,0.014847654849290848,0.0016955116298049688,0.020977450534701347,0.010835865279659629,0.01817986322566867
