condition,zeta,seed,trajectory_id,t,finite,first_nonfinite_stage,L_norm,weighted_residual_norm,unweighted_residual_norm,sigma_obs_min,sigma_obs_mean,sigma_obs_max,loss_isfinite,grad_norm,grad_max_abs,grad_isfinite,x_base_norm_after_ddpm,x_base_max_abs_after_ddpm,x_base_isfinite_after_ddpm,update_norm,update_max_abs,update_to_x_ratio,x_after_norm,x_after_max_abs,x_after_isfinite,anchor_y0_x,anchor_y0_y,anchor_error,anchor_anomaly_threshold,anchor_obvious_anomaly
drift_medium,0.3,42,0,99,True,none,3.101447105407715,3.101447105407715,0.19704946875572205,0.05000000074505806,0.06254220008850098,0.06863808631896973,True,3.2458739280700684,2.2512083053588867,True,6.631767272949219,2.3315041065216064,True,0.9737622141838074,0.6753625273704529,0.1468329894741041,6.395650386810303,2.325737714767456,True,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False
drift_medium,0.3,42,0,98,True,none,4.903088569641113,4.903088569641113,0.3114452660083771,0.05000000074505806,0.06254220008850098,0.06863808631896973,True,2.723348617553711,1.2814114093780518,True,6.312723636627197,2.397691488265991,True,0.8170046210289001,0.3844234347343445,0.1294218895134914,6.4286112785339355,2.4718985557556152,True,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False
drift_medium,0.3,42,0,97,True,none,2.803236722946167,2.803236722946167,0.1815061718225479,0.05000000074505806,0.06254220008850098,0.06863808631896973,True,1.3016241788864136,0.48762941360473633,True,6.325209140777588,2.5162291526794434,True,0.3904872238636017,0.14628882706165314,0.06173506917678544,6.2711944580078125,2.482252597808838,True,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False
drift_medium,0.3,42,0,96,True,none,2.830272912979126,2.830272912979126,0.17905226349830627,0.05000000074505806,0.06254220008850098,0.06863808631896973,True,0.9912591576576233,0.5181121826171875,True,6.226272106170654,2.441941976547241,True,0.29737773537635803,0.15543365478515625,0.047761763428486995,6.255650997161865,2.439777374267578,True,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False
drift_medium,0.3,42,0,95,True,none,2.813878059387207,2.813878059387207,0.18171775341033936,0.05000000074505806,0.06254220008850098,0.06863808631896973,True,1.0091016292572021,0.5441074371337891,True,6.0874481201171875,2.5255744457244873,True,0.3027305006980896,0.1632322371006012,0.049730280196985416,6.102753639221191,2.5298640727996826,True,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False
drift_medium,0.3,42,0,94,True,none,2.531477212905884,2.531477212905884,0.16298168897628784,0.05000000074505806,0.06254220008850098,0.06863808631896973,True,0.8224274516105652,0.29359543323516846,True,6.079850196838379,2.5534932613372803,True,0.24672825634479523,0.08807863295078278,0.04058130518956821,6.040128707885742,2.502809524536133,True,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False
drift_medium,0.3,42,0,93,True,none,2.480502128601074,2.480502128601074,0.16006308794021606,0.05000000074505806,0.06254220008850098,0.06863808631896973,True,0.7178339958190918,0.32079219818115234,True,5.890080451965332,2.370619058609009,True,0.2153502106666565,0.0962376669049263,0.03656150581012258,5.911149978637695,2.3774569034576416,True,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False
drift_medium,0.3,42,0,92,True,none,2.5070948600769043,2.5070948600769043,0.16263477504253387,0.05000000074505806,0.06254220008850098,0.06863808631896973,True,1.1965504884719849,0.5562028884887695,True,5.750149250030518,2.2393760681152344,True,0.3589651584625244,0.16686087846755981,0.06242710282008017,5.646052360534668,2.2362380027770996,True,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False
drift_medium,0.3,42,0,91,True,none,2.9183576107025146,2.9183576107025146,0.18688614666461945,0.05000000074505806,0.06254220008850098,0.06863808631896973,True,1.5233838558197021,0.8585567474365234,True,5.6299943923950195,2.171556234359741,True,0.45701518654823303,0.25756704807281494,0.0811750695818608,5.709100246429443,2.155428886413574,True,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False
drift_medium,0.3,42,0,90,True,none,3.251490592956543,3.251490592956543,0.20958605408668518,0.05000000074505806,0.06254220008850098,0.06863808631896973,True,1.9394347667694092,0.8491363525390625,True,5.642196178436279,1.987788200378418,True,0.5818304419517517,0.2547409236431122,0.10312127114178107,5.63192892074585,2.0313007831573486,True,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False
