condition,zeta,seed,trajectory_id,finite,first_nonfinite_step,first_nonfinite_stage,max_grad_norm,max_update_to_x_ratio,max_x_after_max_abs,ADE,acceleration_RMS,weighted_residual_norm_last,unweighted_residual_norm_last,sigma_obs_min,sigma_obs_mean,sigma_obs_max,anchor_y0_x,anchor_y0_y,anchor_error,anchor_anomaly_threshold,anchor_obvious_anomaly,update_to_x_ratio_t99,update_to_x_ratio_t80,update_to_x_ratio_t60,update_to_x_ratio_t40,update_to_x_ratio_t20,update_to_x_ratio_t0
drift_medium,0.3,42,0,True,,none,27.265583038330078,2.2252470833329387,2.5298640727996826,2.6958236694335938,0.23909075558185577,126.0865707397461,8.253589630126953,0.05000000074505806,0.06254220008850098,0.06863808631896973,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False,0.1468329894741041,0.037098278080686185,0.14143757025768983,0.5539132249328924,0.9964267466630499,1.7043578204515524
drift_medium,0.3,42,1,True,,none,26.575803756713867,2.2110176817991443,2.558103322982788,1.482633352279663,0.15162473917007446,98.41045379638672,6.618996620178223,0.05000000074505806,0.06417844444513321,0.0697857066988945,0.19608202576637268,0.718597412109375,2.3427367210388184,3.9993181228637695,False,0.10929335524002848,0.13148756030922276,0.12634185888265723,0.27690070810269724,0.8313003848395603,1.9437731548968669
drift_medium,0.3,42,2,True,,none,27.86827850341797,2.141575045446251,2.155630588531494,2.635396957397461,0.5087011456489563,110.58696746826172,7.071186065673828,0.05000000074505806,0.0627504363656044,0.06717237830162048,0.8749801516532898,1.2508066892623901,0.6552343368530273,3.9993181228637695,False,0.09387320504594038,0.059748710366478615,0.06228293620209378,0.1990060558083638,0.956107828913394,2.063892217887376
drift_medium,1.0,42,0,True,,none,27.2254581451416,1.6509810718048936,7.837182998657227,7.084402561187744,0.9479138255119324,342.0027770996094,22.40857696533203,0.05000000074505806,0.06254220008850098,0.06863808631896973,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False,0.48944328027152006,0.4293742844868726,0.3382694934257727,0.5371077556910463,1.642518493790215,1.5149089355335246
drift_medium,1.0,42,1,True,,none,26.66832160949707,1.8673549073068887,8.800512313842773,4.3760576248168945,0.6180354356765747,442.20697021484375,29.713260650634766,0.05000000074505806,0.06417844444513321,0.0697857066988945,0.19608202576637268,0.718597412109375,2.3427367210388184,3.9993181228637695,False,0.3643111481452701,0.26745085543678937,0.6151034221705273,1.2995408882548523,1.119415344314166,1.3979827363359592
drift_medium,1.0,42,2,True,,none,27.960229873657227,2.3141679586732735,9.331546783447266,7.096027374267578,0.7034123539924622,302.97601318359375,19.374177932739258,0.05000000074505806,0.0627504363656044,0.06717237830162048,0.8749801516532898,1.2508066892623901,0.6552343368530273,3.9993181228637695,False,0.3129106954857663,0.3055602632570691,0.47500516680225546,0.8582936306248251,1.7639892540780746,2.2182410945926088
drift_medium,3.0,42,0,True,,none,56.77516555786133,5.629472231685133,90.43865203857422,14.669120788574219,1.6925666332244873,1098.96728515625,71.93522644042969,0.05000000074505806,0.06254220008850098,0.06863808631896973,1.4332839250564575,2.717742919921875,2.596112012863159,3.9993181228637695,False,1.4683299127165343,0.22926322257307544,0.1380676776285633,0.45353298204244635,1.3598770434778868,1.7328759436094672
drift_medium,3.0,42,1,True,,none,54.903564453125,5.347495023716898,73.18052673339844,19.079429626464844,2.296670436859131,800.4049072265625,53.75652313232422,0.05000000074505806,0.06417844444513321,0.0697857066988945,0.19608202576637268,0.718597412109375,2.3427367210388184,3.9993181228637695,False,1.0929334444358103,0.39203839825960457,0.15186827211190804,0.218992359914568,1.6801433609657261,1.7166866568113277
drift_medium,3.0,42,2,True,,none,66.907470703125,7.274602694481769,78.81703186035156,11.597662925720215,2.3146486282348633,1472.5928955078125,94.1728286743164,0.05000000074505806,0.0627504363656044,0.06717237830162048,0.8749801516532898,1.2508066892623901,0.6552343368530273,3.9993181228637695,False,0.9387320144615087,0.3564837881411574,0.05481778503528313,0.5842534431319667,0.8429795268559714,1.373837747566322
burst_medium,0.3,42,0,True,,none,28.5640926361084,1.7484838739032624,3.266836166381836,2.8543179035186768,0.25820690393447876,114.8182601928711,7.2105021476745605,0.05308897793292999,0.06247776746749878,0.0707106739282608,1.4228841066360474,2.725247383117676,2.60762095451355,3.9853169918060303,False,0.14590123365006824,0.047052122436509546,0.04229820450869867,0.2948895576658183,0.8466007448383724,1.726388471537782
