condition,zeta,seed,trajectory_id,t,eval_t_for_base_guided,measurement_loss_variable,guidance_update_applied_to,likelihood_norm_before_guidance,likelihood_norm_after_guidance,likelihood_delta_after_minus_before,ADE_before_guidance,ADE_after_guidance,ADE_delta_after_minus_before,acceleration_RMS_before_guidance,acceleration_RMS_after_guidance,acceleration_delta_after_minus_before,update_to_x_ratio,grad_norm,x_base_isfinite,x_guided_isfinite,loss_isfinite,grad_isfinite
drift_medium,0.0,42,0,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,4.991274833679199,4.991274833679199,0.0,2.0078470706939697,2.0078470706939697,0.0,0.18566086888313293,0.18566086888313293,0.0,0.0,3.2458739280700684,True,True,True,True
drift_medium,0.0,42,0,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,3.9866645336151123,3.9866645336151123,0.0,2.0017035007476807,2.0017035007476807,0.0,0.18565113842487335,0.18565113842487335,0.0,0.0,2.150400400161743,True,True,True,True
drift_medium,0.0,42,0,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,3.496577024459839,3.496577024459839,0.0,1.9919484853744507,1.9919484853744507,0.0,0.18141216039657593,0.18141216039657593,0.0,0.0,2.438429832458496,True,True,True,True
drift_medium,0.0,42,0,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,3.9977362155914307,3.9977362155914307,0.0,1.985934853553772,1.985934853553772,0.0,0.1777065098285675,0.1777065098285675,0.0,0.0,3.0834877490997314,True,True,True,True
drift_medium,0.0,42,0,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,7.100788116455078,7.100788116455078,0.0,2.0279831886291504,2.0279831886291504,0.0,0.17482446134090424,0.17482446134090424,0.0,0.0,7.856050491333008,True,True,True,True
drift_medium,0.0,42,0,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,9.581917762756348,9.581917762756348,0.0,2.0848758220672607,2.0848758220672607,0.0,0.16853837668895721,0.16853837668895721,0.0,0.0,24.665634155273438,True,True,True,True
drift_medium,0.3,42,0,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,4.991274833679199,4.903088569641113,-0.08818626403808594,2.0078470706939697,2.0283894538879395,0.020542383193969727,0.18566086888313293,0.1842697709798813,-0.001391097903251648,0.1468329894741041,3.2458739280700684,True,True,True,True
drift_medium,0.3,42,0,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,2.1058356761932373,2.0705463886260986,-0.03528928756713867,1.9713466167449951,1.9693266153335571,-0.0020200014114379883,0.19261829555034637,0.1935359686613083,0.0009176731109619141,0.037098278080686185,0.6700810194015503,True,True,True,True
drift_medium,0.3,42,0,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,1.8382307291030884,2.976069927215576,1.1378391981124878,1.9594202041625977,1.9375019073486328,-0.021918296813964844,0.19597487151622772,0.19952641427516937,0.0035515427589416504,0.14143757025768983,1.8476704359054565,True,True,True,True
drift_medium,0.3,42,0,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,2.336259126663208,2.525426149368286,0.18916702270507812,1.9954030513763428,1.9497038125991821,-0.045699238777160645,0.1978224515914917,0.2035595178604126,0.0057370662689208984,0.5539132249328924,3.9005954265594482,True,True,True,True
drift_medium,0.3,42,0,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,14.004768371582031,7.637493133544922,-6.367275238037109,2.0479564666748047,1.960291862487793,-0.08766460418701172,0.206318661570549,0.20634765923023224,2.899765968322754e-05,0.9964267466630499,8.674701690673828,True,True,True,True
drift_medium,0.3,42,0,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,122.7427978515625,100.6150131225586,-22.127784729003906,2.4494431018829346,2.6715102195739746,0.22206711769104004,0.23825864493846893,0.23836347460746765,0.00010482966899871826,1.7043578204515524,27.265583038330078,True,True,True,True
drift_medium,1.0,42,0,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,4.991274833679199,5.887491226196289,0.8962163925170898,2.0078470706939697,2.033792734146118,0.025945663452148438,0.18566086888313293,0.18212732672691345,-0.0035335421562194824,0.48944328027152006,3.2458739280700684,True,True,True,True
drift_medium,1.0,42,0,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,1.7146588563919067,3.3852970600128174,1.6706382036209106,1.9614194631576538,2.0049710273742676,0.04355156421661377,0.20162397623062134,0.19739995896816254,-0.004224017262458801,0.4293742844868726,2.902599334716797,True,True,True,True
drift_medium,1.0,42,0,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,3.6692237854003906,3.4027655124664307,-0.26645827293395996,1.9666557312011719,1.987567663192749,0.02091193199157715,0.1909085512161255,0.18593062460422516,-0.00497792661190033,0.3382694934257727,1.9125914573669434,True,True,True,True
drift_medium,1.0,42,0,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,7.846785545349121,11.353188514709473,3.5064029693603516,1.9815666675567627,1.9466581344604492,-0.03490853309631348,0.24894732236862183,0.24763260781764984,-0.0013147145509719849,0.5371077556910463,4.518116474151611,True,True,True,True
drift_medium,1.0,42,0,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,50.22107696533203,70.63568115234375,20.41460418701172,2.4299333095550537,1.6333461999893188,-0.7965871095657349,0.27843382954597473,0.4953872263431549,0.21695339679718018,1.642518493790215,13.232288360595703,True,True,True,True
drift_medium,1.0,42,0,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,331.87384033203125,412.1380615234375,80.26422119140625,3.7649331092834473,6.956989288330078,3.192056179046631,0.9454832077026367,0.9437713027000427,-0.0017119050025939941,1.5149089355335246,27.2254581451416,True,True,True,True
drift_medium,3.0,42,0,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,4.991274833679199,6.251786231994629,1.2605113983154297,2.0078470706939697,2.03387188911438,0.026024818420410156,0.18566086888313293,0.2133084386587143,0.02764756977558136,1.4683299127165343,3.2458739280700684,True,True,True,True
drift_medium,3.0,42,0,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,205.30902099609375,407.2436828613281,201.93466186523438,2.3573150634765625,5.943488597869873,3.5861735343933105,2.4682517051696777,2.2504217624664307,-0.21782994270324707,0.22926322257307544,12.633663177490234,True,True,True,True
drift_medium,3.0,42,0,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,80.76277923583984,102.18622589111328,21.423446655273438,2.2026352882385254,2.4138472080230713,0.2112119197845459,1.8633180856704712,1.8468611240386963,-0.016456961631774902,0.1380676776285633,4.702371120452881,True,True,True,True
drift_medium,3.0,42,0,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,57.601932525634766,75.17835235595703,17.576419830322266,1.7892297506332397,2.7599167823791504,0.9706870317459106,1.297041416168213,1.1114939451217651,-0.18554747104644775,0.45353298204244635,6.2664008140563965,True,True,True,True
drift_medium,3.0,42,0,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,161.307861328125,242.80992126464844,81.50205993652344,2.2878575325012207,4.419578552246094,2.131721019744873,1.1818357706069946,1.3631319999694824,0.1812962293624878,1.3598770434778868,12.899972915649414,True,True,True,True
drift_medium,3.0,42,0,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,1073.921142578125,1175.4710693359375,101.5499267578125,15.7836275100708,14.227180480957031,-1.5564470291137695,1.6793428659439087,1.6742403507232666,-0.00510251522064209,1.7328759436094672,27.407604217529297,True,True,True,True
drift_medium,0.0,42,1,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,3.450155019760132,3.450155019760132,0.0,1.221266508102417,1.221266508102417,0.0,0.11599020659923553,0.11599020659923553,0.0,0.0,2.4135313034057617,True,True,True,True
drift_medium,0.0,42,1,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,2.3836376667022705,2.3836376667022705,0.0,1.2316793203353882,1.2316793203353882,0.0,0.11743264645338058,0.11743264645338058,0.0,0.0,1.6115331649780273,True,True,True,True
drift_medium,0.0,42,1,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,2.0220015048980713,2.0220015048980713,0.0,1.2416951656341553,1.2416951656341553,0.0,0.11472903192043304,0.11472903192043304,0.0,0.0,1.1310299634933472,True,True,True,True
drift_medium,0.0,42,1,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,1.7206953763961792,1.7206953763961792,0.0,1.2356464862823486,1.2356464862823486,0.0,0.11167527735233307,0.11167527735233307,0.0,0.0,1.9701093435287476,True,True,True,True
drift_medium,0.0,42,1,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,3.8823935985565186,3.8823935985565186,0.0,1.2312400341033936,1.2312400341033936,0.0,0.11556544899940491,0.11556544899940491,0.0,0.0,7.462239742279053,True,True,True,True
drift_medium,0.0,42,1,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,6.249704837799072,6.249704837799072,0.0,1.2657285928726196,1.2657285928726196,0.0,0.11535090208053589,0.11535090208053589,0.0,0.0,23.38151741027832,True,True,True,True
drift_medium,0.3,42,1,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,3.450155019760132,2.548806667327881,-0.901348352432251,1.221266508102417,1.2245495319366455,0.0032830238342285156,0.11599020659923553,0.11474809050559998,-0.001242116093635559,0.10929335524002848,2.4135313034057617,True,True,True,True
drift_medium,0.3,42,1,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,1.6177371740341187,1.529746413230896,-0.08799076080322266,1.2404191493988037,1.242454171180725,0.0020350217819213867,0.11576124280691147,0.11544648557901382,-0.00031475722789764404,0.13148756030922276,2.0111706256866455,True,True,True,True
drift_medium,0.3,42,1,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,1.1411305665969849,1.1544334888458252,0.013302922248840332,1.2424837350845337,1.2382876873016357,-0.004196047782897949,0.10813884437084198,0.10789118707180023,-0.00024765729904174805,0.12634185888265723,1.3407529592514038,True,True,True,True
drift_medium,0.3,42,1,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,1.8550639152526855,1.1556235551834106,-0.6994403600692749,1.2530118227005005,1.240606665611267,-0.012405157089233398,0.1024499461054802,0.10251506417989731,6.511807441711426e-05,0.27690070810269724,2.373795747756958,True,True,True,True
drift_medium,0.3,42,1,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,8.17987060546875,8.355992317199707,0.17612171173095703,1.3087502717971802,1.192106008529663,-0.11664426326751709,0.11052042990922928,0.11348572373390198,0.002965293824672699,0.8313003848395603,7.115930557250977,True,True,True,True
drift_medium,0.3,42,1,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,95.84272766113281,116.85740661621094,21.014678955078125,2.4214859008789062,1.461806297302246,-0.9596796035766602,0.14845553040504456,0.15054596960544586,0.002090439200401306,1.9437731548968669,26.575803756713867,True,True,True,True
drift_medium,1.0,42,1,99,98,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,3.450155019760132,1.4585562944412231,-1.9915987253189087,1.221266508102417,1.2365081310272217,0.015241622924804688,0.11599020659923553,0.11383523046970367,-0.0021549761295318604,0.3643111481452701,2.4135313034057617,True,True,True,True
drift_medium,1.0,42,1,80,79,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,1.5514492988586426,2.095313787460327,0.5438644886016846,1.2397537231445312,1.231764554977417,-0.007989168167114258,0.11557591706514359,0.11577554047107697,0.00019962340593338013,0.26745085543678937,1.386227011680603,True,True,True,True
drift_medium,1.0,42,1,60,59,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,2.7201931476593018,3.088536024093628,0.36834287643432617,1.258078694343567,1.2294037342071533,-0.028674960136413574,0.10856644809246063,0.10905013978481293,0.0004836916923522949,0.6151034221705273,2.2777035236358643,True,True,True,True
drift_medium,1.0,42,1,40,39,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,10.456034660339355,20.850683212280273,10.394648551940918,1.233651041984558,1.457610845565796,0.2239598035812378,0.1199653297662735,0.15506277978420258,0.03509745001792908,1.2995408882548523,7.020400524139404,True,True,True,True
drift_medium,1.0,42,1,20,19,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,58.802589416503906,50.078216552734375,-8.724372863769531,1.0024583339691162,1.809374451637268,0.8069161176681519,0.29820507764816284,0.4727093577384949,0.17450428009033203,1.119415344314166,11.900728225708008,True,True,True,True
drift_medium,1.0,42,1,0,0,"x0_hat_abs_from_xt(x_t, eps_pred, t)",x_base_after_ddpm_step,429.9014892578125,282.3702087402344,-147.53128051757812,6.175896644592285,4.291712284088135,-1.8841843605041504,0.6096444129943848,0.6125548481941223,0.002910435199737549,1.3979827363359592,26.66832160949707,True,True,True,True
