condition,zeta,seed,trajectory_id,finite,first_nonfinite_step,first_nonfinite_stage,final_ADE,final_acceleration_RMS,final_likelihood_norm,motion_usage_ratio,noisy_ADE,formal_E1_ADE,e2_min_v2_ADE
drift_medium,0.0,42,0,True,,none,2.08590030670166,0.1684597283601761,9.581917762756348,5.421938905720259,1.9722448587417603,1.9657888412475586,1.9724117517471313
drift_medium,0.3,42,0,True,,none,2.6958236694335938,0.23909075558185577,100.6150131225586,14.039552143154484,1.9722448587417603,1.9657888412475586,1.9724117517471313
drift_medium,1.0,42,0,True,,none,7.084402561187744,0.9479138255119324,412.1380615234375,66.01156732881816,1.9722448587417603,1.9657888412475586,1.9724117517471313
drift_medium,3.0,42,0,True,,none,14.669120788574219,1.6925666332244873,1175.4710693359375,189.4443149607371,1.9722448587417603,1.9657888412475586,1.9724117517471313
drift_medium,0.0,42,1,True,,none,1.266238808631897,0.11548569053411484,6.249704837799072,2.6391583899166795,1.2455967664718628,1.2385244369506836,1.2423781156539917
drift_medium,0.3,42,1,True,,none,1.482633352279663,0.15162473917007446,116.85740661621094,14.852144846161833,1.2455967664718628,1.2385244369506836,1.2423781156539917
drift_medium,1.0,42,1,True,,none,4.3760576248168945,0.6180354356765747,282.3702087402344,42.8757150052049,1.2455967664718628,1.2385244369506836,1.2423781156539917
drift_medium,3.0,42,1,True,,none,19.079429626464844,2.296670436859131,1354.49951171875,183.01886290534972,1.2455967664718628,1.2385244369506836,1.2423781156539917
drift_medium,0.0,42,2,True,,none,1.2275749444961548,0.5272527933120728,5.827393054962158,2.1265767590322238,1.2904422283172607,1.3273341655731201,1.2883203029632568
drift_medium,0.3,42,2,True,,none,2.635396957397461,0.5087011456489563,126.17616271972656,12.30948891422267,1.2904422283172607,1.3273341655731201,1.2883203029632568
drift_medium,1.0,42,2,True,,none,7.096027374267578,0.7034123539924622,485.8841247558594,46.730711367146064,1.2904422283172607,1.3273341655731201,1.2883203029632568
drift_medium,3.0,42,2,True,,none,11.597662925720215,2.3146486282348633,924.4618530273438,105.3351153674434,1.2904422283172607,1.3273341655731201,1.2883203029632568
burst_medium,0.0,42,0,True,,none,2.118245840072632,0.1716679483652115,11.762873649597168,2.169979666644101,1.992120385169983,1.9795210361480713,1.9854352474212646
burst_medium,0.3,42,0,True,,none,2.8543179035186768,0.25820690393447876,133.02871704101562,4.751824345913582,1.992120385169983,1.9795210361480713,1.9854352474212646
burst_medium,1.0,42,0,True,,none,6.174328804016113,0.7222997546195984,374.999755859375,13.400518157680203,1.992120385169983,1.9795210361480713,1.9854352474212646
burst_medium,3.0,42,0,True,,none,21.664628982543945,2.073204517364502,1767.2017822265625,61.088078205689946,1.992120385169983,1.9795210361480713,1.9854352474212646
burst_medium,0.0,42,1,True,,none,1.2655142545700073,0.17484810948371887,10.930567741394043,2.574092183924327,1.2443805932998657,1.2347136735916138,1.2261046171188354
burst_medium,0.3,42,1,True,,none,1.5085504055023193,0.27908071875572205,126.85978698730469,3.4697178875630232,1.2443805932998657,1.2347136735916138,1.2261046171188354
burst_medium,1.0,42,1,True,,none,4.7127251625061035,0.6132216453552246,405.74334716796875,9.336716917805933,1.2443805932998657,1.2347136735916138,1.2261046171188354
