degradation,coarse_method,alpha,ADE,FDE,RMSE,masked_ADE,masked_RMSE,off_map_ratio,wall_crossing_count,coarse_ADE,coarse_masked_ADE,improvement_ADE,improvement_masked_ADE,improves_over_identity,improves_over_light_savgol
missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,0.0,0.03508628532290459,0.03900986909866333,0.028605204075574875,0.044292546808719635,0.03946357220411301,0.00016632938763063787,0.0,0.03508628532290459,0.044292546808719635,0.0,0.0,0.0,0.0
missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,0.05,0.035001106560230255,0.03900986909866333,0.028448820114135742,0.04386662691831589,0.03889422118663788,0.0001593989964793613,0.0,0.03508628532290459,0.044292546808719635,0.0024276939519364375,0.009616062319539029,1.0,0.0
missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,0.1,0.035028912127017975,0.03900986909866333,0.028404267504811287,0.04400565102696419,0.03873107209801674,0.0001593989964793613,0.0,0.03508628532290459,0.044292546808719635,0.0016352029107270097,0.006477292511411147,1.0,0.0
missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,0.25,0.03573980927467346,0.03900986909866333,0.02894032932817936,0.04756009206175804,0.040666915476322174,0.00016494330940038256,0.0,0.03508628532290459,0.044292546808719635,-0.018626193846239113,-0.07377189817396416,0.0,0.0
missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,0.5,0.038476552814245224,0.03900986909866333,0.031883738934993744,0.06124388054013252,0.05048710107803345,0.00015246860532808473,0.0,0.03508628532290459,0.044292546808719635,-0.09662657246669101,-0.3827130059740834,0.0,0.0
missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,0.75,0.0423111766576767,0.03900986909866333,0.03681504353880882,0.08041699230670929,0.06513695418834686,0.0001774180134726804,0.0,0.03508628532290459,0.044292546808719635,-0.20591781855161645,-0.8155874543406935,0.0,0.0
missing_drift,kalman_cv_dt1.0_q1e-3_r1e-2,1.0,0.04668530821800232,0.03900986909866333,0.04305655509233475,0.1022876501083374,0.08206962049007416,0.00020098134338702076,0.0,0.03508628532290459,0.044292546808719635,-0.33058566298341663,-1.3093648362572952,0.0,0.0
missing_drift,linear_interp,0.0,0.03147627040743828,0.03825400024652481,0.024237530305981636,0.028530020266771317,0.02255338616669178,9.148116319685084e-05,0.0,0.03147627040743828,0.028530020266771317,0.0,0.0,0.0,0.0
missing_drift,linear_interp,0.05,0.03160944953560829,0.03825400024652481,0.02434714138507843,0.02919589728116989,0.023136161267757416,9.148116319685084e-05,0.0,0.03147627040743828,0.028530020266771317,-0.0042310962018721684,-0.023339521254182788,0.0,0.0
missing_drift,linear_interp,0.1,0.03189292177557945,0.03825400024652481,0.02458009123802185,0.030613256618380547,0.02433658204972744,9.148116319685084e-05,0.0,0.03147627040743828,0.028530020266771317,-0.013236999261599743,-0.07301909820357046,0.0,0.0
missing_drift,linear_interp,0.25,0.03346175327897072,0.03825400024652481,0.02597702480852604,0.03845744952559471,0.03074726276099682,9.563939788761677e-05,0.0,0.03147627040743828,0.028530020266771317,-0.06307872075794733,-0.3479643255068343,0.0,0.0
missing_drift,linear_interp,0.5,0.0373520702123642,0.03825400024652481,0.030231701210141182,0.05790891870856285,0.04627252370119095,0.0001164305713414465,0.0,0.03147627040743828,0.028530020266771317,-0.18667395243679777,-1.0297538581144612,0.0,0.0
missing_drift,linear_interp,0.75,0.04182105138897896,0.03825400024652481,0.036123521625995636,0.08025386929512024,0.06399930268526077,0.0001413799794860422,0.0,0.03147627040743828,0.028530020266771317,-0.3286533267008681,-1.812962225217599,0.0,0.0
