method,method_label,missing_condition,trajectory_idx,seed_idx,case_id,population_unit,span_start,span_end,masked_ADE,masked_RMSE,endpoint_error,path_length_error,acceleration_error
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,201,0,traj201_seed0,trajectory_seed,8,11,0.0750500038266182,0.07041821628808975,0.18345634639263153,0.01942180097103119,0.026184985414147377
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,201,1,traj201_seed1,trajectory_seed,8,11,0.04620695859193802,0.04329809173941612,0.11526677012443542,0.008254319429397583,0.0251497570425272
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,201,2,traj201_seed2,trajectory_seed,8,11,0.08229146897792816,0.06855171173810959,0.16651354730129242,0.20352283120155334,0.04090510308742523
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,201,3,traj201_seed3,trajectory_seed,8,11,0.3167170584201813,0.24487651884555817,0.5126906633377075,0.39259234070777893,0.03402227535843849
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,201,4,traj201_seed4,trajectory_seed,8,11,0.3463435173034668,0.27056649327278137,0.5790579915046692,0.5398592054843903,0.039832551032304764
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,202,0,traj202_seed0,trajectory_seed,8,11,0.23867738246917725,0.19380193948745728,0.40097421407699585,0.2696250379085541,0.03099527396261692
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,202,1,traj202_seed1,trajectory_seed,8,11,0.20877203345298767,0.16955116391181946,0.3512398898601532,0.2042548954486847,0.03435976430773735
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,202,2,traj202_seed2,trajectory_seed,8,11,0.1297246217727661,0.10060330480337143,0.16234643757343292,0.07259799540042877,0.029893888160586357
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,202,3,traj202_seed3,trajectory_seed,8,11,0.07301633805036545,0.05912936106324196,0.08271248638629913,0.023705750703811646,0.03780665621161461
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,202,4,traj202_seed4,trajectory_seed,8,11,0.07752779871225357,0.06113374978303909,0.12346554547548294,0.007084161043167114,0.03309716656804085
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,203,0,traj203_seed0,trajectory_seed,8,11,0.14909666776657104,0.1224917322397232,0.23859591782093048,0.07643771171569824,0.02941693179309368
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,203,1,traj203_seed1,trajectory_seed,8,11,0.20842009782791138,0.1597740352153778,0.2903309166431427,0.16773173213005066,0.027409657835960388
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,203,2,traj203_seed2,trajectory_seed,8,11,0.043173499405384064,0.03384243696928024,0.061940718442201614,0.08541080355644226,0.03230278193950653
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,203,3,traj203_seed3,trajectory_seed,8,11,0.11524909734725952,0.08911909908056259,0.1068408414721489,0.03837147355079651,0.0313720665872097
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,203,4,traj203_seed4,trajectory_seed,8,11,0.2906220555305481,0.23336942493915558,0.4847390353679657,0.37367627024650574,0.03829636424779892
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,204,0,traj204_seed0,trajectory_seed,8,11,0.13403718173503876,0.11866248399019241,0.2958326041698456,0.3469342887401581,0.05606381595134735
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,204,1,traj204_seed1,trajectory_seed,8,11,0.46474704146385193,0.34212619066238403,0.6367050409317017,0.45898568630218506,0.05721300467848778
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,204,2,traj204_seed2,trajectory_seed,8,11,0.07958295196294785,0.0664910078048706,0.15846331417560577,0.33882203698158264,0.05071234703063965
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,204,3,traj204_seed3,trajectory_seed,8,11,0.06299008429050446,0.052260976284742355,0.04564082622528076,0.16467052698135376,0.04861166328191757
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,204,4,traj204_seed4,trajectory_seed,8,11,0.10342608392238617,0.08834414184093475,0.20654405653476715,0.3425630033016205,0.04308035969734192
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,205,0,traj205_seed0,trajectory_seed,8,11,0.3071218729019165,0.2610486149787903,0.6218487024307251,0.15923726558685303,0.04561999440193176
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,205,1,traj205_seed1,trajectory_seed,8,11,0.22162416577339172,0.1931084841489792,0.46840837597846985,0.3963364362716675,0.03990400582551956
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,205,2,traj205_seed2,trajectory_seed,8,11,0.143731951713562,0.11523841321468353,0.2683647572994232,0.20888850092887878,0.026528250426054
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,205,3,traj205_seed3,trajectory_seed,8,11,0.24290353059768677,0.20504643023014069,0.4854923486709595,0.5111846029758453,0.041400618851184845
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,205,4,traj205_seed4,trajectory_seed,8,11,0.5915969610214233,0.4401314854621887,0.7597010731697083,0.820919930934906,0.0734950378537178
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,206,0,traj206_seed0,trajectory_seed,8,11,0.37319689989089966,0.3084701895713806,0.6611088514328003,0.37609779834747314,0.049856193363666534
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,206,1,traj206_seed1,trajectory_seed,8,11,0.10935944318771362,0.0824616327881813,0.1556832641363144,0.1041717529296875,0.030654285103082657
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,206,2,traj206_seed2,trajectory_seed,8,11,0.3195652663707733,0.236899733543396,0.43618956208229065,0.40142351388931274,0.05370641499757767
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,206,3,traj206_seed3,trajectory_seed,8,11,0.2206418812274933,0.18224495649337769,0.4106435775756836,0.5836107134819031,0.043288454413414
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,206,4,traj206_seed4,trajectory_seed,8,11,0.27845147252082825,0.22451525926589966,0.46107029914855957,0.5411202311515808,0.04810840263962746
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,207,0,traj207_seed0,trajectory_seed,8,11,0.3432996869087219,0.2822730541229248,0.627585768699646,0.771711453795433,0.044029757380485535
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,207,1,traj207_seed1,trajectory_seed,8,11,0.314819872379303,0.268433153629303,0.6290777921676636,0.7922333180904388,0.046975601464509964
ddpm_v3_inpainting,DDPM v3 inpainting candidate,missing_only,207,2,traj207_seed2,trajectory_seed,8,11,0.35633206367492676,0.2900835871696472,0.6299929022789001,0.578190803527832,0.0428246445953846
