condition,zeta,finite,ADE_E3_fused,ADE_DPS,ADE_delta,ADE_improvement_percent,RMSE,acceleration_RMS,acceleration_RMS_E3_fused,acceleration_ratio_vs_E3,high_conf_ADE,mid_conf_ADE,low_conf_ADE,high_conf_ADE_E3_fused,low_conf_ADE_E3_fused,high_conf_ratio_vs_E3_fused,low_conf_ratio_vs_E3_fused,win_rate_vs_E3_fused,likelihood_before_DPS,likelihood_after_DPS,likelihood_delta,max_grad_norm,mean_grad_norm,max_update_to_x_ratio,mean_update_to_x_ratio,likelihood_increase_steps,ADE_increase_steps,nan_inf_cases
gaussian_medium,1e-05,True,0.06119450554251671,0.07295394688844681,0.0117594413459301,-19.21649932861328,0.08192355185747147,0.26581379771232605,0.2837609350681305,0.9367526173591614,0.0493602529168129,0.06190885230898857,0.09426948428153992,0.013785296119749546,0.09468258917331696,3.5806450937311953,0.995636949777315,0.264,0.3007490336894989,4.17000675201416,3.869257688522339,30.082332611083984,22.463740984598797,0.00013229838805273175,3.828883624616234e-05,6,5,0
gaussian_medium,3e-05,True,0.06119450554251671,0.07241889089345932,0.011224385350942612,-18.342145919799805,0.08134081214666367,0.26581358909606934,0.2837609350681305,0.9367519021034241,0.048632241785526276,0.061303455382585526,0.09387945383787155,0.013785296119749546,0.09468258917331696,3.5278343942030483,0.9915176027350154,0.274,0.3007490336894989,4.112832546234131,3.8120834827423096,30.082332611083984,22.404499053955078,0.0003966695803683251,0.00011456523134256713,6,5,0
gaussian_medium,0.0001,True,0.06119450554251671,0.07062289118766785,0.009428385645151138,-15.407241821289062,0.07938473671674728,0.2658129036426544,0.2837609350681305,0.9367494583129883,0.046159420162439346,0.0592651441693306,0.09258579462766647,0.013785296119749546,0.09468258917331696,3.348453291207065,0.9778544866172566,0.318,0.3007490336894989,3.9186370372772217,3.6178879737854004,30.082332611083984,22.192223866780598,0.0013190781464800239,0.0003782746838017677,5,4,0
gaussian_medium,0.0003,True,0.06119450554251671,0.06614365428686142,0.004949148744344711,-8.087570190429688,0.07451076060533524,0.2658120095729828,0.2837609350681305,0.9367462992668152,0.039781354367733,0.05414782091975212,0.08945465087890625,0.013785296119749546,0.09468258917331696,2.885781634443102,0.9447845866905801,0.44,0.3007490336894989,3.417226552963257,3.1164774894714355,30.082332611083984,21.537577946980793,0.0039239008910954,0.0011012743731650214,5,2,0
gaussian_medium,0.001,True,0.06119450554251671,0.05725695192813873,-0.0039375536143779755,6.4344892501831055,0.06484805047512054,0.26582208275794983,0.2837609350681305,0.9367818236351013,0.025958292186260223,0.04390866681933403,0.08362393826246262,0.013785296119749546,0.09468258917331696,1.8830420442743336,0.8832029097703336,0.78,0.3007490336894989,2.302975654602051,2.0022265911102295,30.082332611083984,19.005750974019367,0.012400996871292591,0.0032373574019099274,4,1,0
drift_medium,1e-05,True,0.034919753670692444,0.05039255693554878,0.015472803264856339,-44.309600830078125,0.056789010763168335,0.20834264159202576,0.2088780701160431,0.9974366426467896,0.020038532093167305,0.042540233582258224,0.07063857465982437,0.0048717232421040535,0.05861559882760048,4.113232853620159,1.2051156359860065,0.218,0.2679078280925751,3.277615785598755,3.0097079277038574,30.61834144592285,22.230672518412273,0.00024971156381070614,4.756599203877462e-05,5,6,0
drift_medium,3e-05,True,0.034919753670692444,0.04989677295088768,0.014977019280195236,-42.88982009887695,0.05623042583465576,0.2083428055047989,0.2088780701160431,0.9974374175071716,0.019750231876969337,0.041999462991952896,0.07011701911687851,0.0048717232421040535,0.05861559882760048,4.05405457072709,1.1962177392933555,0.23,0.2679078280925751,3.2236902713775635,2.955782413482666,30.59383201599121,22.178658485412598,0.0007481311913579702,0.00014237090363167226,5,6,0
drift_medium,0.0001,True,0.034919753670692444,0.048248279839754105,0.01332852616906166,-38.16901397705078,0.05437355116009712,0.20834343135356903,0.2088780701160431,0.9974403977394104,0.018783489242196083,0.04019166901707649,0.06839694082736969,0.0048717232421040535,0.05861559882760048,3.855615006997742,1.1668726788672412,0.24,0.2679078280925751,3.040618658065796,2.7727108001708984,30.50020980834961,21.992990493774414,0.0024786200374364853,0.00047072930707751465,4,5,0
drift_medium,0.0003,True,0.034919753670692444,0.044280488044023514,0.00936073437333107,-26.80641746520996,0.04990805685520172,0.20834527909755707,0.2088780701160431,0.9974492788314819,0.016371749341487885,0.0357622466981411,0.06437770277261734,0.0048717232421040535,0.05861559882760048,3.3605663802890975,1.0983032513574467,0.284,0.2679078280925751,2.5687708854675293,2.300863027572632,30.407289505004883,21.429895401000977,0.007274022325873375,0.0013771227289301653,4,4,0
drift_medium,0.001,True,0.034919753670692444,0.03750675171613693,0.0025869980454444885,-7.4084086418151855,0.04236051067709923,0.20835137367248535,0.2088780701160431,0.9974784255027771,0.011435765773057938,0.027644626796245575,0.05845492333173752,0.0048717232421040535,0.05861559882760048,2.3473759088414337,0.9972588270174372,0.35,0.2679078280925751,1.534414291381836,1.2665064334869385,29.846012115478516,19.34985097249349,0.022523004561662674,0.004143424448557198,0,2,0
