condition,zeta,t,likelihood_before_step,likelihood_after_step,likelihood_increased,ADE_before_step,ADE_after_step,ADE_increased,grad_norm_mean,grad_norm_max,update_to_x_ratio_mean,update_to_x_ratio_max,finite
gaussian_medium,1e-05,5,3.217207908630371,3.735339403152466,True,0.06119450554251671,0.06866416335105896,True,21.943025588989258,30.082332611083984,3.677757558762096e-05,0.0001095529441954568,True
gaussian_medium,1e-05,4,3.544154405593872,4.00893497467041,True,0.06866416335105896,0.07082618027925491,True,21.921119689941406,29.87972068786621,3.698900400195271e-05,0.00011931768676731735,True
gaussian_medium,1e-05,3,3.8334829807281494,4.162397384643555,True,0.07082618027925491,0.07186595350503922,True,22.363489151000977,28.932388305664062,3.807381654041819e-05,0.00012513564433902502,True
gaussian_medium,1e-05,2,3.997501850128174,4.292405128479004,True,0.07186595350503922,0.07296620309352875,True,22.542078018188477,29.020553588867188,3.863789243041538e-05,0.0001298047718591988,True
gaussian_medium,1e-05,1,4.1431169509887695,4.300088882446289,True,0.07296620309352875,0.07313752174377441,True,22.925315856933594,29.283489227294922,3.9427512092515826e-05,0.0001307558559346944,True
gaussian_medium,1e-05,0,4.175600528717041,4.213216304779053,True,0.07313752174377441,0.07288628816604614,False,23.087417602539062,29.855091094970703,3.982721682405099e-05,0.00013229838805273175,True
gaussian_medium,3e-05,5,3.217207908630371,3.7262353897094727,True,0.06119450554251671,0.06858225166797638,True,21.943025588989258,30.082332611083984,0.00011033272312488407,0.0003286588180344552,True
gaussian_medium,3e-05,4,3.534982442855835,3.991081714630127,True,0.06858225166797638,0.07065931707620621,True,21.892847061157227,29.876916885375977,0.00011082780838478357,0.0003580728662200272,True
gaussian_medium,3e-05,3,3.815415143966675,4.135468006134033,True,0.07065931707620621,0.07160884886980057,True,22.31686782836914,28.927169799804688,0.00011398449714761227,0.0003753081546165049,True
gaussian_medium,3e-05,2,3.9702699184417725,4.2561492919921875,True,0.07160884886980057,0.07261553406715393,True,22.4762020111084,29.0119686126709,0.00011557897960301489,0.00038913183379918337,True
gaussian_medium,3e-05,1,4.106444358825684,4.254428863525391,True,0.07261553406715393,0.07269774377346039,True,22.83317756652832,29.27666473388672,0.00011781029752455652,0.00039205828215926886,True
gaussian_medium,3e-05,0,4.129434585571289,4.156378746032715,True,0.07269774377346039,0.0723487138748169,False,22.964874267578125,29.844329833984375,0.00011885708227055147,0.0003966695803683251,True
gaussian_medium,0.0001,5,3.217207908630371,3.6945130825042725,True,0.06119450554251671,0.06829745322465897,True,21.943025588989258,30.082332611083984,0.00036777573404833674,0.0010955294128507376,True
gaussian_medium,0.0001,4,3.5030322074890137,3.9292314052581787,True,0.06829745322465897,0.07008375972509384,True,21.79571533203125,29.867290496826172,0.0003678202338051051,0.0011888768058270216,True
gaussian_medium,0.0001,3,3.752840757369995,4.0426411628723145,True,0.07008375972509384,0.07072772085666656,True,22.154159545898438,28.92247772216797,0.00037720578256994486,0.0012489024084061384,True
gaussian_medium,0.0001,2,3.87642240524292,4.131777286529541,True,0.07072772085666656,0.07142236083745956,True,22.238006591796875,28.9793758392334,0.0003811942005995661,0.0012954077683389187,True
gaussian_medium,0.0001,1,3.9807064533233643,4.098628044128418,True,0.07142236083745956,0.0712103322148323,False,22.50235366821289,29.252092361450195,0.0003870326036121696,0.0013051299611106515,True
gaussian_medium,0.0001,0,3.97196626663208,3.9633097648620605,False,0.0712103322148323,0.07054350525140762,False,22.520082473754883,29.806032180786133,0.00038861954817548394,0.0013190781464800239,True
gaussian_medium,0.0003,5,3.217207908630371,3.605119228363037,True,0.06119450554251671,0.06750047206878662,True,21.943025588989258,30.082332611083984,0.0011033272603526711,0.0032865884713828564,True
gaussian_medium,0.0003,4,3.413093090057373,3.7581424713134766,True,0.06750047206878662,0.06851080060005188,True,21.506855010986328,29.81618881225586,0.001089099794626236,0.0035628508776426315,True
gaussian_medium,0.0003,3,3.5799450874328613,3.790095806121826,True,0.06851080060005188,0.06837208569049835,False,21.656679153442383,28.94060516357422,0.001106197014451027,0.003746245289221406,True
gaussian_medium,0.0003,2,3.6214160919189453,3.799009323120117,True,0.06837208569049835,0.0682978555560112,False,21.515823364257812,28.8693790435791,0.001106525189243257,0.0038664734456688166,True
gaussian_medium,0.0003,1,3.6448895931243896,3.689424991607666,True,0.0682978555560112,0.06739692389965057,False,21.478328704833984,29.16965103149414,0.00110817130189389,0.003883822588250041,True
gaussian_medium,0.0003,0,3.5590288639068604,3.464569330215454,False,0.06739692389965057,0.06603442877531052,False,21.124755859375,29.657875061035156,0.001094325678423047,0.0039239008910954,True
gaussian_medium,0.001,5,3.217207908630371,3.3088831901550293,True,0.06119450554251671,0.0649120956659317,True,21.943025588989258,30.082332611083984,0.003677757689729333,0.010955294594168663,True
gaussian_medium,0.001,4,3.116211414337158,3.2315311431884766,True,0.0649120956659317,0.06384644657373428,False,20.390905380249023,29.718509674072266,0.003446301445364952,0.01185737643390894,True
gaussian_medium,0.001,3,3.0506489276885986,3.0646679401397705,True,0.06384644657373428,0.06193776801228523,False,19.79349136352539,28.648679733276367,0.0033763309475034475,0.012205386534333229,True
gaussian_medium,0.001,2,2.8938918113708496,2.918548822402954,True,0.06193776801228523,0.06049856171011925,False,18.57840347290039,28.3033390045166,0.003186761634424329,0.012400996871292591,True
gaussian_medium,0.001,1,2.7644896507263184,2.6935551166534424,False,0.06049856171011925,0.05878707021474838,False,17.444149017333984,28.652376174926758,0.0029959266539663076,0.01236769463866949,True
gaussian_medium,0.001,0,2.5643646717071533,2.351339817047119,False,0.05878707021474838,0.05700310692191124,False,15.884531021118164,28.82915687561035,0.002741066040471196,0.01211242750287056,True
drift_medium,1e-05,5,2.381631374359131,2.7022008895874023,True,0.034919753670692444,0.04394381120800972,True,20.969484329223633,29.678157806396484,4.451049608178437e-05,0.00021723790268879384,True
drift_medium,1e-05,4,2.698927640914917,2.9110846519470215,True,0.04394381120800972,0.04628680646419525,True,21.405359268188477,29.90532875061035,4.568979056784883e-05,0.00021498477144632488,True
drift_medium,1e-05,3,2.9158835411071777,3.0719728469848633,True,0.04628680646419525,0.04753509908914566,True,22.05331039428711,30.52695655822754,4.741884913528338e-05,0.0002303370420122519,True
drift_medium,1e-05,2,3.0801737308502197,3.2172141075134277,True,0.04753509908914566,0.049121469259262085,True,22.480894088745117,30.384376525878906,4.812153201783076e-05,0.00023290197714231908,True
drift_medium,1e-05,1,3.2436110973358154,3.261385679244995,True,0.049121469259262085,0.049796465784311295,True,23.02650260925293,30.518781661987305,4.92084254801739e-05,0.00024149793898686767,True
drift_medium,1e-05,0,3.2833683490753174,3.270839214324951,False,0.049796465784311295,0.05018657073378563,True,23.448484420776367,30.61834144592285,5.044685894972645e-05,0.00024971156381070614,True
drift_medium,3e-05,5,2.381631374359131,2.6943984031677246,True,0.034919753670692444,0.0438762828707695,True,20.969484329223633,29.678157806396484,0.0001335314882453531,0.0006517136353068054,True
drift_medium,3e-05,4,2.690986394882202,2.8956310749053955,True,0.0438762828707695,0.04615121707320213,True,21.381961822509766,29.90152359008789,0.00013690884225070477,0.0006452783709391952,True
drift_medium,3e-05,3,2.9001944065093994,3.048100233078003,True,0.04615121707320213,0.04731950908899307,True,22.011953353881836,30.47730255126953,0.00014197564451023936,0.0006906712660565972,True
drift_medium,3e-05,2,3.055931568145752,3.184638738632202,True,0.04731950908899307,0.04881805554032326,True,22.421899795532227,30.34928321838379,0.00014397641643881798,0.0006976655567996204,True
drift_medium,3e-05,1,3.210512638092041,3.2193825244903564,True,0.04881805554032326,0.049406036734580994,True,22.945663452148438,30.510042190551758,0.0001471505529480055,0.0007226243615150452,True
drift_medium,3e-05,0,3.2408008575439453,3.2171945571899414,False,0.049406036734580994,0.04969196021556854,True,23.340988159179688,30.59383201599121,0.00015068247739691287,0.0007481311913579702,True
drift_medium,0.0001,5,2.381631374359131,2.6672561168670654,True,0.034919753670692444,0.043642472475767136,True,20.969484329223633,29.678157806396484,0.0004451049317140132,0.002172379055991769,True
drift_medium,0.0001,4,2.6633615493774414,2.8422060012817383,True,0.043642472475767136,0.04568610340356827,True,21.303691864013672,29.88797378540039,0.0004546946147456765,0.0021432358771562576,True
drift_medium,0.0001,3,2.8459694385528564,2.965986728668213,True,0.04568610340356827,0.04658589884638786,True,21.869667053222656,30.420005798339844,0.00047008140245452523,0.002302405657246709,True
drift_medium,0.0001,2,2.972562551498413,3.073134183883667,True,0.04658589884638786,0.047791656106710434,True,22.206878662109375,30.226884841918945,0.00047522623208351433,0.002313991542905569,True
drift_medium,0.0001,1,3.097243070602417,3.0763137340545654,False,0.047791656106710434,0.04809723049402237,True,22.65716552734375,30.496864318847656,0.00048492822679691017,0.0024027242325246334,True
drift_medium,0.0001,0,3.095846652984619,3.0350685119628906,False,0.04809723049402237,0.04804789274930954,False,22.9510555267334,30.50020980834961,0.0004943404346704483,0.0024786200374364853,True
drift_medium,0.0003,5,2.381631374359131,2.5911779403686523,True,0.034919753670692444,0.042996034026145935,True,20.969484329223633,29.678157806396484,0.001335314940661192,0.00651713740080595,True
drift_medium,0.0003,4,2.585933208465576,2.6954410076141357,True,0.042996034026145935,0.04444054514169693,True,21.077152252197266,29.83123207092285,0.0013497979380190372,0.0064017088152468204,True
drift_medium,0.0003,3,2.697108507156372,2.744175910949707,True,0.04444054514169693,0.0446663498878479,True,21.451631546020508,30.264497756958008,0.001382010173983872,0.006882415618747473,True
drift_medium,0.0003,2,2.747565507888794,2.7768983840942383,True,0.0446663498878479,0.04516549035906792,True,21.554813385009766,30.03388214111328,0.001383951515890658,0.006931085605174303,True
drift_medium,0.0003,1,2.796459913253784,2.7028748989105225,False,0.04516549035906792,0.04485824704170227,False,21.779312133789062,30.407289505004883,0.0014027104480192065,0.00713162450119853,True
