geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,output_path,evaluated_windows,off_map_ratio,boundary_violation_count,infeasible_transition_count,window_violation_count,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_count,masked_segment_count,masked_infeasible_transition_rate,total_points,total_segments,obstacle_point_violation_count,obstacle_segment_crossing_count,obstacle_point_violation_rate,obstacle_segment_crossing_rate
obstacle_v1,phase1_baseline,span10_fixed_seed42,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span10_fixed_seed42/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,25430,1.1797090051120724e-05,6,188,90,0.003539127015336217,0.00038909700519485895,0.00739284309870232,126,76290,0.0016515926071569013,508600,483170,101,177,0.00019858434919386552,0.0003663306910611172
obstacle_v1,phase1_baseline,span10_fixed_seed42,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span10_fixed_seed42/linear_interp/results.npz,25430,0.0,0,0,0,0.0,0.0,0.0,0,76290,0.0,508600,483170,0,0,0.0,0.0
obstacle_v1,phase1_baseline,span10_fixed_seed42,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span10_fixed_seed42/savgol_w5_p2/results.npz,25430,0.0,0,2,2,7.864726700747149e-05,4.139329842498499e-06,7.864726700747149e-05,0,76290,0.0,508600,483170,2,2,3.932363350373575e-06,4.139329842498499e-06
obstacle_v1,phase1_baseline,span20_fixed_seed42,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_fixed_seed42/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,25430,8.454581203303185e-05,43,486,184,0.007235548564687377,0.0010058571517271354,0.019111285882815573,442,127150,0.00347620920173024,508600,483170,267,422,0.0005249705072748722,0.0008733985967671834
obstacle_v1,phase1_baseline,span20_fixed_seed42,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_fixed_seed42/linear_interp/results.npz,25430,0.0,0,1,1,3.9323633503735746e-05,2.0696649212492496e-06,3.9323633503735746e-05,1,127150,7.86472670074715e-06,508600,483170,0,1,0.0,2.0696649212492496e-06
obstacle_v1,phase1_baseline,span20_fixed_seed42,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_fixed_seed42/savgol_w5_p2/results.npz,25430,0.0,0,3,3,0.00011797090051120724,6.20899476374775e-06,0.00011797090051120724,1,127150,7.86472670074715e-06,508600,483170,2,3,3.932363350373575e-06,6.20899476374775e-06
obstacle_v1,phase1_baseline,span20_random_seed0,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed0/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,25430,6.29178136059772e-05,32,455,172,0.006763664962642548,0.0009416975391684086,0.017892253244199765,412,127150,0.0032402674007078252,508600,483170,255,405,0.0005013763271726308,0.0008382142931059462
obstacle_v1,phase1_baseline,span20_random_seed0,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed0/linear_interp/results.npz,25430,0.0,0,1,1,3.9323633503735746e-05,2.0696649212492496e-06,3.9323633503735746e-05,1,127150,7.86472670074715e-06,508600,483170,0,1,0.0,2.0696649212492496e-06
obstacle_v1,phase1_baseline,span20_random_seed0,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed0/savgol_w5_p2/results.npz,25430,0.0,0,3,3,0.00011797090051120724,6.20899476374775e-06,0.00011797090051120724,1,127150,7.86472670074715e-06,508600,483170,2,3,3.932363350373575e-06,6.20899476374775e-06
obstacle_v1,phase1_baseline,span20_random_seed1,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed1/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,25430,5.112072355485647e-05,26,398,151,0.005937868659064097,0.0008237266386572014,0.015650806134486828,342,127150,0.002689736531655525,508600,483170,225,356,0.00044239087691702714,0.000736800711964733
obstacle_v1,phase1_baseline,span20_random_seed1,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed1/linear_interp/results.npz,25430,0.0,0,2,2,7.864726700747149e-05,4.139329842498499e-06,7.864726700747149e-05,2,127150,1.57294534014943e-05,508600,483170,0,2,0.0,4.139329842498499e-06
obstacle_v1,phase1_baseline,span20_random_seed1,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed1/savgol_w5_p2/results.npz,25430,0.0,0,5,5,0.00019661816751867872,1.0348324606246249e-05,0.00019661816751867872,2,127150,1.57294534014943e-05,508600,483170,3,5,5.898545025560362e-06,1.0348324606246249e-05
obstacle_v1,phase1_baseline,span20_random_seed10,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed10/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,25430,6.881635863153755e-05,35,451,173,0.006802988596146284,0.0009334188794834116,0.017734958710184823,398,127150,0.0031301612268973653,508600,483170,246,398,0.0004836806920959497,0.0008237266386572014
obstacle_v1,phase1_baseline,span20_random_seed10,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed10/linear_interp/results.npz,25430,0.0,0,5,3,0.00011797090051120724,1.0348324606246249e-05,0.00019661816751867872,5,127150,3.9323633503735746e-05,508600,483170,2,5,3.932363350373575e-06,1.0348324606246249e-05
obstacle_v1,phase1_baseline,span20_random_seed10,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed10/savgol_w5_p2/results.npz,25430,0.0,0,8,6,0.00023594180102241448,1.6557319369993997e-05,0.00031458906802988597,5,127150,3.9323633503735746e-05,508600,483170,5,8,9.830908375933937e-06,1.6557319369993997e-05
obstacle_v1,phase1_baseline,span20_random_seed11,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed11/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,25430,3.9323633503735746e-05,20,403,159,0.0062524577270939834,0.0008340749632634476,0.015847424302005506,338,127150,0.0026582776248525366,508600,483170,231,371,0.00045418796696814785,0.0007678456857834716
obstacle_v1,phase1_baseline,span20_random_seed11,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed11/linear_interp/results.npz,25430,0.0,0,6,4,0.00015729453401494299,1.24179895274955e-05,0.00023594180102241448,6,127150,4.7188360204482896e-05,508600,483170,2,6,3.932363350373575e-06,1.24179895274955e-05
obstacle_v1,phase1_baseline,span20_random_seed11,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed11/savgol_w5_p2/results.npz,25430,0.0,0,8,6,0.00023594180102241448,1.6557319369993997e-05,0.00031458906802988597,6,127150,4.7188360204482896e-05,508600,483170,4,8,7.86472670074715e-06,1.6557319369993997e-05
obstacle_v1,phase1_baseline,span20_random_seed12,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed12/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,25430,8.847817538340543e-05,45,484,195,0.00766810853322847,0.0010017178218846368,0.0190326386158081,422,127150,0.0033189146677152967,508600,483170,247,414,0.00048564687377113645,0.0008568412773971894
obstacle_v1,phase1_baseline,span20_random_seed12,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed12/linear_interp/results.npz,25430,0.0,0,1,1,3.9323633503735746e-05,2.0696649212492496e-06,3.9323633503735746e-05,1,127150,7.86472670074715e-06,508600,483170,0,1,0.0,2.0696649212492496e-06
obstacle_v1,phase1_baseline,span20_random_seed12,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed12/savgol_w5_p2/results.npz,25430,0.0,0,4,4,0.00015729453401494299,8.278659684996998e-06,0.00015729453401494299,1,127150,7.86472670074715e-06,508600,483170,3,4,5.898545025560362e-06,8.278659684996998e-06
