metric,real_mean,gen_mean,real_std,gen_std,real_median,gen_median,real_q10,gen_q10,real_q90,gen_q90,mean_ratio_gen_over_real,std_ratio_gen_over_real
step_norm_all,0.457512,0.375792,0.329879,0.228870,0.441475,0.332230,0.000000,0.118242,0.925991,0.696684,0.821382,0.693799
avg_speed,0.457512,0.375792,0.272661,0.144120,0.418445,0.351069,0.123851,0.216692,0.877419,0.581176,0.821382,0.528567
total_length,8.692724,7.140048,5.180553,2.738271,7.950448,6.670309,2.353162,4.117153,16.670958,11.042340,0.821382,0.528567
endpoint_displacement,7.973837,5.231170,5.615133,3.426376,7.763221,4.486186,0.798311,1.440471,16.344006,10.313814,0.656042,0.610204
moving_ratio_global,0.790197,0.920333,0.243641,0.087833,0.947368,0.947368,0.421053,0.789474,1.000000,1.000000,1.164688,0.360500
propulsion_ratio,0.815223,0.683409,0.267608,0.265224,0.955607,0.751202,0.319247,0.280583,0.993510,0.970143,0.838309,0.991092
acc_rms,0.184270,0.209618,0.060043,0.032419,0.187291,0.209542,0.102252,0.167724,0.263860,0.252341,1.137554,0.539940
