strategy,oor_ratio,oor_mean_dev,oor_max_dev,endpoint_drift_mean,endpoint_drift_p95
random_start,0.508,0.6778709292411804,3.0982489585876465,1.2530912160873413,2.6627724170684814
center_start,0.326,0.5617876052856445,2.557058334350586,1.2530912160873413,2.6627724170684814
real_start,0.532,0.6825438737869263,3.1686043739318848,1.2530912160873413,2.6627724170684814
real_displacement_random_start,0.548,0.8276026844978333,2.262007713317871,1.4805415868759155,2.9102060794830322
