degradation,method,confidence_bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75,delta0_auto
burst_medium,e1_oracle_gated_residual,low,1576,0.14881477543645713,0.1456183378063733,0.094722431153059,0.001304620411247015,0.7122989296913147,0.02970362827181816,0.23565973341464996,0.014054441824555397
bias_medium,noisy_input,high,220,0.04233614282513207,0.013584644758343452,0.0481833778321743,0.018522178754210472,0.06126352772116661,0.03133554011583328,0.05310067534446716,0.17292533814907074
bias_medium,stage3_cond_residual_t20,high,220,0.04750465570779687,0.022162812378895502,0.049632685258984566,0.004089112393558025,0.0954039916396141,0.031189724802970886,0.06567448563873768,0.17292533814907074
bias_medium,e1_oracle_gated_residual,high,220,0.04195778806355189,0.014742773565160265,0.042579181492328644,0.015204801224172115,0.06798743456602097,0.03287807013839483,0.05493864230811596,0.17292533814907074
bias_medium,noisy_input,mid,2220,0.1339530876359424,0.037312928072225755,0.1341482698917389,0.0706474781036377,0.20763111114501953,0.10210229456424713,0.16677053272724152,0.17292533814907074
bias_medium,stage3_cond_residual_t20,mid,2220,0.135917606743405,0.03918599529589467,0.13437029719352722,0.038465529680252075,0.24643568694591522,0.10542456433176994,0.1631053201854229,0.17292533814907074
bias_medium,e1_oracle_gated_residual,mid,2220,0.13393345361424458,0.03730318410473037,0.13198641687631607,0.06362511217594147,0.22595353424549103,0.10410119965672493,0.16227241978049278,0.17292533814907074
bias_medium,noisy_input,low,1560,0.2880081167874428,0.06580969118287006,0.27506279945373535,0.20911908149719238,0.5542882084846497,0.24418862164020538,0.31757035851478577,0.17292533814907074
bias_medium,stage3_cond_residual_t20,low,1560,0.2841569752742847,0.06743542268040745,0.2675224542617798,0.16004259884357452,0.5624329447746277,0.23873012885451317,0.31427064538002014,0.17292533814907074
bias_medium,e1_oracle_gated_residual,low,1560,0.2846246141271713,0.06629311599954409,0.2666036784648895,0.1758112609386444,0.5621026754379272,0.24004905298352242,0.3163130134344101,0.17292533814907074
