degradation,trajectory_id,delta0_auto,ADE_noisy,ADE_cond,ADE_e1,RMSE_noisy,RMSE_cond,RMSE_e1,smooth_noisy,smooth_cond,smooth_e1,e1_wins_vs_conditional,e1_wins_vs_noisy,confidence_min,confidence_mean,confidence_max,delta_min,delta_mean,delta_max
burst_medium,9,0.014054441824555397,0.08869922906160355,0.08651797473430634,0.07607485353946686,0.2124834656715393,0.16364353895187378,0.16165407001972198,0.5835161805152893,0.48227569460868835,0.47746995091438293,True,True,3.873974864695244e-25,0.33255359530448914,0.7448529601097107,0.004139995668083429,0.08869922906160355,0.7900050282478333
burst_medium,10,0.014054441824555397,0.0895659402012825,0.1183600053191185,0.09681253135204315,0.20527975261211395,0.1876457780599594,0.18006916344165802,0.3950793147087097,0.27570486068725586,0.2719963788986206,True,False,9.878005890381426e-21,0.4014546275138855,0.8365835547447205,0.0025077180471271276,0.0895659402012825,0.6474034786224365
burst_medium,11,0.014054441824555397,0.10982935130596161,0.14909546077251434,0.12245422601699829,0.22406166791915894,0.21384002268314362,0.2060660570859909,0.7951035499572754,0.7641614675521851,0.7536769509315491,True,False,3.423392454686395e-24,0.3174673914909363,0.7967043519020081,0.0031941751949489117,0.10982935130596161,0.7593812942504883
burst_medium,12,0.014054441824555397,0.05896243453025818,0.06399836391210556,0.052190572023391724,0.1430545449256897,0.0995645821094513,0.0954354926943779,0.6569462418556213,0.5496406555175781,0.5467721223831177,True,True,1.1098751455467412e-16,0.36545735597610474,0.7401408553123474,0.004229189362376928,0.05896243453025818,0.5163196325302124
burst_medium,13,0.014054441824555397,0.11422604322433472,0.1330742985010147,0.11750388145446777,0.225262850522995,0.2025885432958603,0.19614626467227936,0.4959167242050171,0.36117613315582275,0.3669945299625397,True,False,1.3778182027173271e-19,0.25222548842430115,0.6396220326423645,0.0062806191854178905,0.11422604322433472,0.6103649735450745
burst_medium,14,0.014054441824555397,0.0889425054192543,0.08999888598918915,0.07437525689601898,0.20345120131969452,0.15713238716125488,0.15030983090400696,0.5285626649856567,0.36915621161460876,0.36524707078933716,True,True,1.451421771637029e-22,0.32800453901290894,0.6720935702323914,0.005584640894085169,0.0889425054192543,0.7067181468009949
burst_medium,15,0.014054441824555397,0.044453274458646774,0.0465780571103096,0.03792102634906769,0.08734223246574402,0.0684359073638916,0.06473314017057419,0.1820516735315323,0.11502690613269806,0.11554386466741562,True,True,6.789623085978747e-08,0.356103777885437,0.696402907371521,0.005085275508463383,0.044453274458646774,0.2319725751876831
burst_medium,16,0.014054441824555397,0.10141360759735107,0.12104544788599014,0.09358139336109161,0.22189992666244507,0.16912315785884857,0.1584055870771408,0.6073772311210632,0.4560917317867279,0.4472539722919464,True,True,5.031411298075104e-21,0.3668072819709778,0.7961452603340149,0.0032040425576269627,0.10141360759735107,0.6568847298622131
burst_medium,17,0.014054441824555397,0.12180962413549423,0.12158443033695221,0.10687877237796783,0.2459287941455841,0.20586815476417542,0.20320481061935425,0.8675382733345032,0.6913872361183167,0.6934069395065308,True,True,5.005676484401583e-23,0.3377076983451843,0.6722241640090942,0.005581910256296396,0.12180962413549423,0.7216799259185791
burst_medium,18,0.014054441824555397,0.06074003130197525,0.056429874151945114,0.04842374101281166,0.13711649179458618,0.09894581139087677,0.09599702805280685,0.4273340702056885,0.35559988021850586,0.3475211262702942,True,True,3.613452346805298e-16,0.3650161623954773,0.9891547560691833,0.0001532564201625064,0.06074003130197525,0.49972954392433167
burst_medium,19,0.014054441824555397,0.06579671800136566,0.09324416518211365,0.06732819974422455,0.14790059626102448,0.12030872702598572,0.10474830865859985,0.8392665982246399,0.7267998456954956,0.7133767008781433,True,False,5.2718237964605695e-15,0.3641570210456848,0.8885013461112976,0.0016615032218396664,0.06579671800136566,0.4620594382286072
burst_medium,20,0.014054441824555397,0.06195446848869324,0.057548195123672485,0.05053210258483887,0.12647569179534912,0.0993683934211731,0.09792396426200867,0.373771995306015,0.2666517198085785,0.2711472511291504,True,True,4.68263936740515e-14,0.3707215189933777,0.7971335053443909,0.003186606802046299,0.06195446848869324,0.4313635528087616
burst_medium,21,0.014054441824555397,0.06722058355808258,0.08594393730163574,0.06764593720436096,0.12629340589046478,0.11016467213630676,0.09834164381027222,0.3677700459957123,0.26479214429855347,0.26624539494514465,True,False,1.8236426257978167e-11,0.3092685341835022,0.7583317160606384,0.0038879418279975653,0.06722058355808258,0.34753262996673584
burst_medium,22,0.014054441824555397,0.09630994498729706,0.09035132080316544,0.08712276071310043,0.22926421463489532,0.1930110603570938,0.19268782436847687,0.34441593289375305,0.23564031720161438,0.24011003971099854,True,True,4.312589170088146e-26,0.37294965982437134,0.8077988028526306,0.002999811666086316,0.09630994498729706,0.8208591341972351
burst_medium,23,0.014054441824555397,0.06526504456996918,0.06374368816614151,0.056446950882673264,0.14453166723251343,0.13251392543315887,0.13034909963607788,0.4890812039375305,0.45573529601097107,0.4583074748516083,True,True,1.3788244513888856e-16,0.3190363049507141,0.5930938720703125,0.007342076860368252,0.06526504456996918,0.5132700204849243
burst_medium,24,0.014054441824555397,0.09439590573310852,0.07353126257658005,0.06943371146917343,0.19217263162136078,0.1373826265335083,0.13670751452445984,0.4385484457015991,0.3267204463481903,0.3305916488170624,True,True,3.977365901213038e-21,0.35828009247779846,0.8884217143058777,0.0016627635341137648,0.09439590573310852,0.6601886749267578
burst_medium,25,0.014054441824555397,0.08497774600982666,0.1126701608300209,0.09017589688301086,0.1628856211900711,0.14460210502147675,0.13445666432380676,0.3143310844898224,0.23591555655002594,0.24267084896564484,True,False,5.4889229995230566e-15,0.3654688894748688,0.9221684336662292,0.001138795050792396,0.08497774600982666,0.46149230003356934
burst_medium,26,0.014054441824555397,0.04595797881484032,0.043305810540914536,0.03461326286196709,0.08367625623941422,0.05986090749502182,0.05678091570734978,0.22320646047592163,0.13024374842643738,0.13372841477394104,True,True,1.8607453355912185e-08,0.3443091809749603,0.8169730305671692,0.002841093810275197,0.04595797881484032,0.2501648962497711
burst_medium,27,0.014054441824555397,0.044405851513147354,0.0713183730840683,0.0545908622443676,0.0901753231883049,0.10268951207399368,0.09609954059123993,0.19114987552165985,0.13433142006397247,0.15459811687469482,True,False,9.158695135624839e-09,0.3996434807777405,0.7310940027236938,0.0044020372442901134,0.044405851513147354,0.2601275146007538
