epoch,train_loss,val_loss
1,1.00229889,0.95978175
2,0.96957264,0.93505731
3,0.94271826,0.90806005
4,0.90430856,0.87636852
5,0.87561672,0.83861375
6,0.83934239,0.79291757
7,0.77477896,0.73763168
8,0.74069700,0.67251318
9,0.67035647,0.59703392
10,0.57915120,0.51107359
11,0.51072782,0.42256257
12,0.40504668,0.34361296
13,0.33444830,0.29215715
14,0.29524515,0.27173601
15,0.29227960,0.26618093
16,0.29671252,0.26316894
17,0.27620869,0.25851953
18,0.28903952,0.25658636
19,0.27550341,0.25436241
20,0.27217032,0.25182104
21,0.28407544,0.24926236
22,0.27073744,0.24704369
23,0.25283557,0.24604339
24,0.25422999,0.24395226
25,0.25897683,0.24038223
26,0.24292203,0.23839883
27,0.24521561,0.23560070
28,0.26193983,0.23442824
29,0.25793570,0.23099407
30,0.24834294,0.22894724
31,0.23964893,0.22671508
32,0.23085751,0.22441321
33,0.23254316,0.22305455
34,0.24708890,0.21977600
35,0.22836838,0.21742727
36,0.22535083,0.21737273
37,0.22283952,0.21485529
38,0.23214328,0.21249186
39,0.21323382,0.21145870
40,0.23943677,0.20993925
41,0.21973975,0.20897846
42,0.19941183,0.20686857
43,0.24402100,0.20602289
44,0.22833067,0.20527016
45,0.21471381,0.20369074
46,0.21384992,0.20236171
47,0.22194939,0.20234195
48,0.23091181,0.20148631
49,0.22148062,0.20054892
50,0.22218985,0.20014669
51,0.22333499,0.19924581
52,0.21754304,0.19805153
53,0.21450610,0.19777229
54,0.21548245,0.19744015
55,0.21165261,0.19630885
56,0.20658589,0.19722295
57,0.21385998,0.19523431
58,0.20701484,0.19439832
59,0.22015362,0.19544518
60,0.19952514,0.19403423
61,0.20228720,0.19384344
62,0.22327157,0.19273403
63,0.20676783,0.19218424
64,0.20984367,0.19213187
65,0.21230944,0.19124193
66,0.20468384,0.19131221
67,0.19323218,0.19037360
68,0.20754864,0.19018153
69,0.21686422,0.19010386
70,0.19880658,0.18956842
71,0.20190518,0.18924241
72,0.20272588,0.18894167
73,0.22252973,0.18907194
74,0.18754066,0.18775162
75,0.19943302,0.18750987
76,0.21377479,0.18688840
77,0.21765660,0.18629505
78,0.20018184,0.18597311
79,0.20232279,0.18609647
80,0.19741517,0.18602683
81,0.21570822,0.18507305
82,0.20608688,0.18468219
83,0.22362881,0.18469111
84,0.21732330,0.18388361
85,0.19293602,0.18348433
86,0.19484391,0.18341539
87,0.19190175,0.18277974
88,0.18637914,0.18328359
89,0.19781746,0.18237349
90,0.19214496,0.18219044
91,0.19568968,0.18206481
92,0.20589398,0.18201495
93,0.18665148,0.18101251
94,0.21754639,0.18070757
95,0.19593027,0.18076063
96,0.19899193,0.18014263
97,0.19451449,0.17970466
98,0.18712306,0.17931071
99,0.20909033,0.17885060
100,0.18387304,0.17860979
