condition,zeta,seed,trajectory_id,t,loss_mean,loss_isfinite,grad_norm,grad_max_abs,grad_isfinite,x_base_norm_after_ddpm,x_base_max_abs_after_ddpm,x_base_isfinite_after_ddpm,update_norm,update_max_abs,update_to_x_ratio,x_after_norm,x_after_max_abs,x_after_isfinite,first_nonfinite_stage
drift_medium,0.3,42,0,99,0.4809487760066986,True,1.0066908597946167,0.6982002258300781,True,6.631767272949219,2.3315041065216064,True,0.302007257938385,0.2094600796699524,0.04553948374669571,6.543964385986328,2.3297157287597656,True,none
drift_medium,0.3,42,0,98,1.0409144163131714,True,1.5041298866271973,0.6744136810302734,True,6.441277027130127,2.4016103744506836,True,0.4512390196323395,0.20232410728931427,0.07005427925730999,6.370673179626465,2.436385154724121,True,none
drift_medium,0.3,42,0,97,0.4030380845069885,True,0.4117392301559448,0.15480482578277588,True,6.297392845153809,2.4816863536834717,True,0.12352176755666733,0.046441450715065,0.019614747022127503,6.261511325836182,2.4634573459625244,True,none
drift_medium,0.3,42,0,96,0.5556429624557495,True,0.6905648708343506,0.2927260398864746,True,6.229394435882568,2.423750400543213,True,0.20716947317123413,0.08781781792640686,0.03325675959413694,6.237383842468262,2.4258508682250977,True,none
drift_medium,0.3,42,0,95,0.5809482932090759,True,0.7184737920761108,0.4054238796234131,True,6.078890800476074,2.5122454166412354,True,0.21554213762283325,0.12162716686725616,0.035457478131687675,6.094558238983154,2.517538547515869,True,none
drift_medium,0.3,42,0,94,0.437004417181015,True,0.6460752487182617,0.4051312208175659,True,6.0757269859313965,2.541785955429077,True,0.19382259249687195,0.12153936922550201,0.0319011359374186,6.052599906921387,2.53019642829895,True,none
drift_medium,0.3,42,0,93,0.46551933884620667,True,0.5090417265892029,0.30089282989501953,True,5.912455081939697,2.3978207111358643,True,0.15271253883838654,0.0902678519487381,0.025828955437621752,5.8919219970703125,2.402846336364746,True,none
drift_medium,0.3,42,0,92,0.3698199391365051,True,0.30800721049308777,0.1611013412475586,True,5.727600574493408,2.2648773193359375,True,0.09240216016769409,0.0483304038643837,0.016132787013670328,5.720582485198975,2.2609965801239014,True,none
drift_medium,0.3,42,0,91,0.4574078917503357,True,0.49590587615966797,0.2216205596923828,True,5.678518772125244,2.196242094039917,True,0.1487717628479004,0.0664861723780632,0.026199043944023948,5.689815998077393,2.1976468563079834,True,none
drift_medium,0.3,42,0,90,0.7150265574455261,True,0.672078549861908,0.2667730450630188,True,5.599411487579346,2.029998540878296,True,0.2016235738992691,0.08003191649913788,0.03600799375907199,5.628308296203613,2.054164409637451,True,none
drift_medium,0.3,42,0,89,0.42523545026779175,True,0.48619553446769714,0.22053110599517822,True,5.49662446975708,2.1179234981536865,True,0.14585866034030914,0.06615933775901794,0.026536042464390647,5.502438068389893,2.1257684230804443,True,none
drift_medium,0.3,42,0,88,0.5507584810256958,True,0.5624698996543884,0.29550623893737793,True,5.293885707855225,1.9919120073318481,True,0.16874097287654877,0.0886518731713295,0.031874691330440706,5.278980731964111,2.0117857456207275,True,none
drift_medium,0.3,42,0,87,0.31539514660835266,True,0.1969899833202362,0.07915735244750977,True,5.19961404800415,1.9797333478927612,True,0.05909699574112892,0.02374720759689808,0.011365650449344733,5.1800537109375,1.9710208177566528,True,none
drift_medium,0.3,42,0,86,0.40784841775894165,True,0.47354885935783386,0.22615861892700195,True,4.853403091430664,1.7431374788284302,True,0.1420646607875824,0.0678475871682167,0.02927114400169798,4.849984645843506,1.7282663583755493,True,none
drift_medium,0.3,42,0,85,0.5135008096694946,True,0.5670034885406494,0.3255937099456787,True,4.971235275268555,1.725261926651001,True,0.17010104656219482,0.09767811745405197,0.034217058164275165,4.955133438110352,1.7057708501815796,True,none
drift_medium,0.3,42,0,84,0.5373424887657166,True,0.5254390835762024,0.22278285026550293,True,4.818771839141846,1.8077104091644287,True,0.15763172507286072,0.06683485954999924,0.03271201259051517,4.828114986419678,1.8362609148025513,True,none
drift_medium,0.3,42,0,83,0.7569495439529419,True,0.9101397395133972,0.5037884712219238,True,4.855325222015381,1.9436054229736328,True,0.27304190397262573,0.15113654732704163,0.05623555405403584,4.8846869468688965,1.966033935546875,True,none
drift_medium,0.3,42,0,82,0.4182959496974945,True,0.48276883363723755,0.1796020269393921,True,5.114993095397949,2.134104013442993,True,0.14483065903186798,0.053880609571933746,0.028314927572853695,5.158821105957031,2.1465365886688232,True,none
drift_medium,0.3,42,0,81,0.29120373725891113,True,0.2598298490047455,0.1423467993736267,True,5.183422088623047,2.1185965538024902,True,0.07794895768165588,0.04270404204726219,0.015038126617689287,5.191624641418457,2.113802194595337,True,none
drift_medium,0.3,42,0,80,0.3505282998085022,True,0.3835969865322113,0.17285597324371338,True,5.250241279602051,2.0622644424438477,True,0.11507908999919891,0.05185679346323013,0.021918819320985487,5.253967761993408,2.0582175254821777,True,none
drift_medium,0.3,42,0,79,0.3343506455421448,True,0.3594225347042084,0.17647218704223633,True,5.164977073669434,2.204355478286743,True,0.10782676190137863,0.05294165760278702,0.020876522850614077,5.170030117034912,2.2132983207702637,True,none
drift_medium,0.3,42,0,78,0.297116219997406,True,0.360115647315979,0.14401549100875854,True,4.962140083312988,2.073129415512085,True,0.10803468525409698,0.0432046502828598,0.021771792702382862,4.968257904052734,2.0781233310699463,True,none
drift_medium,0.3,42,0,77,0.24405331909656525,True,0.09709038585424423,0.04424390196800232,True,5.015201568603516,2.239583730697632,True,0.02912711538374424,0.01327317114919424,0.005807765647163985,5.013200759887695,2.2334110736846924,True,none
drift_medium,0.3,42,0,76,0.4362927973270416,True,0.6592520475387573,0.38500726222991943,True,5.0427327156066895,2.094503402709961,True,0.19777563214302063,0.11550218611955643,0.039219931592029085,5.05536413192749,2.093702554702759,True,none
drift_medium,0.3,42,0,75,0.2782588303089142,True,0.20275652408599854,0.10591256618499756,True,4.945183277130127,2.073613405227661,True,0.06082696467638016,0.03177377209067345,0.012300244756887554,4.919386863708496,2.057908058166504,True,none
drift_medium,0.3,42,0,74,0.34025710821151733,True,0.26455292105674744,0.1456131935119629,True,4.875244617462158,2.159296989440918,True,0.07936587929725647,0.043683961033821106,0.01627936350372397,4.887091636657715,2.158299207687378,True,none
drift_medium,0.3,42,0,73,0.36256346106529236,True,0.4660237729549408,0.23068416118621826,True,4.73484468460083,1.9874733686447144,True,0.13980713486671448,0.06920525431632996,0.029527290582810607,4.715066909790039,1.972177267074585,True,none
drift_medium,0.3,42,0,72,0.3406760096549988,True,0.276366651058197,0.1649562120437622,True,4.591967582702637,2.069573402404785,True,0.08290999382734299,0.04948686435818672,0.018055439707291582,4.572179794311523,2.0557901859283447,True,none
drift_medium,0.3,42,0,71,0.585601270198822,True,0.7506260871887207,0.3475942611694336,True,4.676756858825684,2.0913686752319336,True,0.22518782317638397,0.10427828133106232,0.04815042346094504,4.712018966674805,2.0979745388031006,True,none
drift_medium,0.3,42,0,70,0.3101333975791931,True,0.2683410346508026,0.12811535596847534,True,4.677412986755371,1.9089549779891968,True,0.08050231635570526,0.03843460977077484,0.017210863480227115,4.678138256072998,1.9063975811004639,True,none
drift_medium,0.3,42,0,69,0.2597111165523529,True,0.2397243231534958,0.12622785568237305,True,4.655472278594971,1.9616187810897827,True,0.07191729545593262,0.03786835819482803,0.015447905422309147,4.6472883224487305,1.9662349224090576,True,none
drift_medium,0.3,42,0,68,0.36028605699539185,True,0.5026600956916809,0.307358980178833,True,4.596778392791748,1.938834309577942,True,0.150798037648201,0.09220770001411438,0.03280515716934191,4.555565357208252,1.9214951992034912,True,none
drift_medium,0.3,42,0,67,0.2748780846595764,True,0.21639928221702576,0.08437663316726685,True,4.601856231689453,1.8694133758544922,True,0.06491978466510773,0.025312991812825203,0.014107303965308796,4.587960243225098,1.8573909997940063,True,none
drift_medium,0.3,42,0,66,0.2604139447212219,True,0.21404865384101868,0.08719462156295776,True,4.545618534088135,1.8367297649383545,True,0.06421459466218948,0.02615838684141636,0.014126701169625753,4.541815757751465,1.8274545669555664,True,none
drift_medium,0.3,42,0,65,0.2525443136692047,True,0.18714098632335663,0.09393090009689331,True,4.643543243408203,1.968256950378418,True,0.05614229664206505,0.028179271146655083,0.012090400304067463,4.617981433868408,1.9543784856796265,True,none
drift_medium,0.3,42,0,64,0.3098817467689514,True,0.30335161089897156,0.13445258140563965,True,4.690470218658447,2.023658514022827,True,0.09100548923015594,0.040335774421691895,0.019402210223640567,4.679540157318115,2.005168914794922,True,none
drift_medium,0.3,42,0,63,0.2969967722892761,True,0.19623489677906036,0.07487806677818298,True,4.517542839050293,1.9197288751602173,True,0.05887047201395035,0.022463420405983925,0.013031524904435316,4.497486591339111,1.8995453119277954,True,none
drift_medium,0.3,42,0,62,0.2634032666683197,True,0.1947234719991684,0.07355007529258728,True,4.521895408630371,1.9396555423736572,True,0.05841704457998276,0.022065022960305214,0.012918707599577955,4.491743087768555,1.9175904989242554,True,none
drift_medium,0.3,42,0,61,0.32754430174827576,True,0.26925572752952576,0.09674698114395142,True,4.254919528961182,1.8101857900619507,True,0.08077672123908997,0.029024096205830574,0.018984312321129192,4.228368759155273,1.8014951944351196,True,none
drift_medium,0.3,42,0,60,0.24989542365074158,True,0.249833345413208,0.1295953392982483,True,4.339582443237305,1.7537586688995361,True,0.07495000958442688,0.038878604769706726,0.017271249150067378,4.31874942779541,1.7426447868347168,True,none
drift_medium,0.3,42,0,59,0.2956698536872864,True,0.37537577748298645,0.12841373682022095,True,4.165400505065918,1.7395575046539307,True,0.11261273175477982,0.038524121046066284,0.027035271066442306,4.117024898529053,1.7365546226501465,True,none
