degradation,seed,trajectory_id,method,ADE,RMSE,acceleration_RMS,ADE_high,ADE_mid,ADE_low,motion_usage_ratio,noisy_reversion_gap,max_update_to_x_ratio,update_to_x_ratio_t99,update_to_x_ratio_t80,update_to_x_ratio_t60,update_to_x_ratio_t40,update_to_x_ratio_t20,update_to_x_ratio_t0,win_vs_Formal_E1,win_vs_E2_Min_V2
gaussian_medium,42,0,noisy_input,1.9797999858856201,2.017963171005249,0.2897612452507019,1.9602025747299194,1.9738489389419556,2.040182113647461,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,1,noisy_input,1.2443788051605225,1.4516513347625732,0.23532892763614655,1.9653955698013306,1.386196494102478,1.0066906213760376,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,2,noisy_input,1.2857842445373535,1.3549163341522217,0.5456907153129578,0.8800608515739441,1.4145219326019287,0.9044488072395325,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,3,noisy_input,1.5947153568267822,1.6108078956604004,0.1787411868572235,1.3719037771224976,1.6148407459259033,1.5882453918457031,0.0,0.0,,,,,,,,False,True
gaussian_medium,42,4,noisy_input,1.1600511074066162,1.3076227903366089,0.18481223285198212,,1.1885948181152344,1.0934494733810425,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,5,noisy_input,1.6009622812271118,1.6903717517852783,0.19284379482269287,,1.5666029453277588,1.6353216171264648,0.0,0.0,,,,,,,,True,True
gaussian_medium,42,6,noisy_input,1.0871729850769043,1.0967483520507812,0.5076237320899963,0.8782834410667419,1.0952366590499878,1.1091558933258057,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,7,noisy_input,1.511573076248169,1.5644779205322266,0.26687777042388916,1.491292953491211,1.762050986289978,1.3257701396942139,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,8,noisy_input,2.0980224609375,2.121346950531006,0.21436388790607452,1.8916665315628052,2.18257999420166,2.0461785793304443,0.0,0.0,,,,,,,,True,True
gaussian_medium,42,9,noisy_input,2.738363742828369,2.838881015777588,0.21286244690418243,,2.6066370010375977,2.899362564086914,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,10,noisy_input,0.9217597842216492,1.0840061902999878,0.19099214673042297,1.0838637351989746,0.9647073149681091,0.6975922584533691,0.0,0.0,,,,,,,,False,True
gaussian_medium,42,11,noisy_input,2.6120076179504395,2.7578797340393066,0.5131312012672424,3.2566800117492676,2.2730872631073,3.1009175777435303,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,12,noisy_input,1.5230635404586792,1.5556178092956543,0.485584557056427,1.7809584140777588,1.4691479206085205,1.5968984365463257,0.0,0.0,,,,,,,,True,False
gaussian_medium,42,13,noisy_input,2.1841320991516113,2.1879758834838867,0.19106023013591766,2.2439701557159424,2.2197506427764893,2.1583683490753174,0.0,0.0,,,,,,,,False,False
gaussian_medium,42,14,noisy_input,2.5706067085266113,2.602491855621338,0.20630769431591034,2.8643667697906494,2.6118392944335938,2.38580584526062,0.0,0.0,,,,,,,,True,False
