degradation,zeta,seed,trajectory_id,finite,first_nonfinite_step,first_nonfinite_stage,max_grad_norm,max_update_to_x_ratio,update_to_x_ratio_t99,update_to_x_ratio_t80,update_to_x_ratio_t60,update_to_x_ratio_t40,update_to_x_ratio_t20,update_to_x_ratio_t0
gaussian_medium,0.3,42,0,True,,none,28.661575317382812,1.5199195278885875,0.06123930769761431,0.07868933492839345,0.02184905054778606,0.1095465984156356,1.0669724849225501,1.5199195278885875
gaussian_medium,0.3,42,1,True,,none,27.898971557617188,1.6319116251939523,0.1078337853356966,0.0467609501856053,0.14394583327135585,0.1146426601991697,0.46285131966626936,1.6001526809831355
gaussian_medium,0.3,42,2,True,,none,28.62882423400879,1.929783961352731,0.08837502918170217,0.03440947391940676,0.028897350121629348,0.05921497020194581,0.6703457279901512,1.8859427493964238
gaussian_medium,0.3,42,3,True,,none,27.964582443237305,1.6894322656240979,0.07464859043915463,0.03371266543452353,0.027030904457986598,0.06564227332653624,1.2460715713008566,1.6375115341018112
gaussian_medium,0.3,42,4,True,,none,28.818357467651367,1.8077470649561869,0.06166300396553269,0.02171795744371312,0.024791566882298804,0.04143096062947325,0.5286689604159263,1.8077470649561869
gaussian_medium,0.3,42,5,True,,none,27.96906280517578,1.7592806755997004,0.12086599956902336,0.046185822076669616,0.05562923292289862,0.1851283997889389,0.9503147016838823,1.7508544271456474
gaussian_medium,0.3,42,6,True,,none,28.71107292175293,1.9042913901560492,0.08196624445703209,0.04128132293212175,0.039713940717782815,0.03358715242196381,0.7341755152664029,1.8154045579867077
gaussian_medium,0.3,42,7,True,,none,28.77770233154297,1.9591721558209247,0.04217564739215864,0.12826219261064556,0.0664433409776817,0.15452211364871415,0.9390706798424518,1.407477164423692
gaussian_medium,0.3,42,8,True,,none,29.052200317382812,1.8952427777755028,0.060951853120948654,0.045578648797671324,0.0512549310777526,0.096384394366107,1.0995337002312247,1.5519415036082425
gaussian_medium,0.3,42,9,True,,none,28.135875701904297,1.830677878387971,0.10360032863258892,0.034261897987235494,0.07835436020694546,0.11727288093394198,0.49668852248976014,1.830677878387971
