degradation,method,N_samples,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75,RMSE_mean,acceleration_RMS_mean,ADE_high_mean,ADE_mid_mean,ADE_low_mean,motion_usage_ratio,noisy_reversion_gap,max_update_to_x_ratio,late_update_to_x_ratio_max,nonfinite_count,win_rate_vs_Formal_E1,win_rate_vs_E2_Min_V2
gaussian_medium,noisy_input,150,1.6031113111972808,0.5177251055538272,1.5970603227615356,0.5877410769462585,2.738363742828369,1.2337125539779663,1.9554589986801147,1.6911574721336364,0.26815917909145354,1.529894339602168,1.6277823388576507,1.5699452316761018,0.0,0.0,,,0,0.42,0.34
gaussian_medium,Formal_E1,150,1.6005616080760956,0.5179881995236982,1.5747774839401245,0.5900967717170715,2.766258955001831,1.2420669794082642,1.9400396347045898,1.688094629049301,0.22524744898080826,1.5300591500794016,1.6263399267196654,1.5634611144661903,1.0,-0.0025497031211853026,,,0,1.0,0.48
gaussian_medium,E2_Min_V2_selected,150,1.6013970851898194,0.5180724156051432,1.59693843126297,0.5848279595375061,2.7340571880340576,1.2352275848388672,1.9504258632659912,1.689216010570526,0.17366674393415452,1.5311669249360154,1.6267621672153474,1.5656194335222244,1.4742923076467835,-0.0017142260074615478,,,0,0.52,1.0
gaussian_medium,E2_DPS_zeta_0.3,150,2.272738148967425,0.8059387059301417,2.25551974773407,0.39011862874031067,4.393331050872803,1.7662655115127563,2.8123753666877747,2.4068892653783163,0.26650824715693794,2.3147673879454778,2.2994422954320908,2.250109940171242,4.075996140763803,0.6696268359820048,2.2771767275028862,2.1425210996540223,0,0.19333333333333333,0.19333333333333333
gaussian_medium,E2_DPS_zeta_1.0,150,5.681339988708496,1.2761572965162942,5.707968235015869,2.626649856567383,8.728450775146484,4.827148914337158,6.648267507553101,6.264616929690043,0.7590346250931422,5.821749528975991,5.751730923652649,5.660454367001852,13.302707112984157,4.078228693803151,3.2108305084457327,2.676906752049192,0,0.0,0.0
gaussian_medium,E2_DPS_zeta_3.0,150,16.650657653808594,3.8119522854071866,17.545591354370117,9.086156845092773,24.697359085083008,13.277735710144043,19.741158485412598,18.63313028335571,2.2616050950686137,17.569127410407958,16.83969817797343,16.54312507947286,41.25027060184543,15.04754632949829,12.084697058040875,2.770679087285897,0,0.0,0.0
drift_medium,noisy_input,150,1.6027631092071533,0.5176668664384605,1.5923997163772583,0.5806368589401245,2.7358131408691406,1.2117997407913208,1.950913667678833,1.6901948249340057,0.19189098089933396,1.419295130968094,1.5471015107631683,1.732856579298197,0.0,0.0,,,0,0.48,0.24
drift_medium,Formal_E1,150,1.601696448326111,0.5168689717516896,1.583152711391449,0.5843139886856079,2.754744529724121,1.2385244369506836,1.9357143640518188,1.6889330315589905,0.18934599459171295,1.4192225456237793,1.5463106632232666,1.7306467329346857,1.0,-0.0010666608810424804,,,0,1.0,0.5
drift_medium,E2_Min_V2_selected,150,1.6018869042396546,0.5181418329596728,1.592399537563324,0.580659031867981,2.7356467247009277,1.2128314971923828,1.9508733749389648,1.6893086230754852,0.1512858511507511,1.4192092072963716,1.5471619206666947,1.7302080441352934,2.426720834239074,-0.0008762049674987793,,,0,0.5,1.0
drift_medium,E2_DPS_zeta_0.3,150,2.1838038957118986,0.8178243523992873,2.1462204456329346,0.4682452082633972,3.9762909412384033,1.6594980955123901,2.7466925382614136,2.3099554089705148,0.2261421353618304,1.539580877025922,1.9653883600234985,2.5836108122454133,15.171402504823387,0.5810407880942027,3.2226258427951113,2.825272492135378,0,0.23333333333333334,0.22666666666666666
drift_medium,E2_DPS_zeta_1.0,150,5.575215791066488,1.2695636140495634,5.62872052192688,2.4603099822998047,8.533732414245605,4.661336779594421,6.491565465927124,6.1190470616022745,0.7240651820103328,2.5166580160458882,4.815953006744385,7.1622927410658015,55.37828608080649,3.9724527009328208,3.342184530247735,2.833652599777762,0,0.0,0.0
drift_medium,E2_DPS_zeta_3.0,150,15.443532797495523,3.9053060430358992,14.882574081420898,7.917206764221191,24.39208221435547,11.773584127426147,18.374223232269287,17.227547156016033,2.191676081816355,5.360312283237775,13.153096183935801,20.686704077461894,165.59589349211276,13.840769713719686,11.671754749672038,2.4258179975612855,0,0.0,0.0
burst_medium,noisy_input,150,1.6086769795417786,0.5142396066807235,1.5890423655509949,0.6423853635787964,2.666581392288208,1.216373324394226,1.941585898399353,1.6959438860416411,0.4607862916588783,1.5251838026977167,1.634961460828781,1.5852575242519378,0.0,0.0,,,0,0.32,0.32
burst_medium,Formal_E1,150,1.6008909225463868,0.5124443594591501,1.5854077339172363,0.6466951966285706,2.6976990699768066,1.2347136735916138,1.9391714334487915,1.6862938189506531,0.36152657866477966,1.5234891997604836,1.6294432806968688,1.5732119476795197,1.0,-0.007786056995391846,,,0,1.0,0.56
burst_medium,E2_Min_V2_selected,150,1.6036932957172394,0.5174771605598335,1.596950113773346,0.6237636208534241,2.687788963317871,1.2261046171188354,1.9280049800872803,1.6906153571605682,0.27934956654906273,1.5238149464130402,1.6346678197383882,1.5721858441829681,1.45331841591587,-0.004983683824539184,,,0,0.44,1.0
burst_medium,E2_DPS_zeta_0.3,150,2.3011765658855436,0.7855914201681928,2.2667434215545654,0.6286574602127075,4.318064212799072,1.6874284744262695,2.8185195326805115,2.4399836734930673,0.3637996989985307,2.2655021872946888,2.295966450770696,2.2818158451716104,3.451919582123787,0.6924995859464009,2.259988522303357,2.249346558021723,0,0.16666666666666666,0.17333333333333334
burst_medium,E2_DPS_zeta_1.0,150,5.6067435169219975,1.3684965304032772,5.650259494781494,2.426206350326538,8.453946113586426,4.605763912200928,6.616343259811401,6.184559426307678,0.7734215929110845,5.776782463478848,5.5209878047307335,5.613347954750061,10.50826567423122,3.9980665397644044,3.4433582358674117,2.6154936371549455,0,0.0,0.0
burst_medium,E2_DPS_zeta_3.0,150,15.942526791890462,3.7166854386408508,16.052273273468018,8.365705490112305,22.327159881591797,12.609516620635986,19.039445877075195,17.864172325134277,2.2878381260236105,15.730578267477393,15.46399382909139,16.411904249191284,31.654185463229386,14.333849782943725,10.89107883108253,2.751456812287819,0,0.0,0.0
bias_medium,noisy_input,150,1.6037593579292297,0.5355437352161135,1.5587571263313293,0.6575806140899658,2.708672523498535,1.244789719581604,2.0487074851989746,1.686445642709732,0.19168528959155082,1.6298558712005615,1.5707585828644888,1.6843972589288438,0.0,0.0,,,0,0.48,0.26
bias_medium,Formal_E1,150,1.6028246402740478,0.5340671020209673,1.5533202290534973,0.6587389707565308,2.7079598903656006,1.240584135055542,2.0499520301818848,1.6854681050777436,0.18874256074428558,1.6251853704452515,1.5695374931607928,1.6844453130449568,1.0,-0.0009347176551818847,,,0,1.0,0.5
bias_medium,E2_Min_V2_selected,150,1.6031336843967439,0.5360488471496107,1.5584400296211243,0.6574054956436157,2.707846164703369,1.2439219951629639,2.047705888748169,1.685733553171158,0.1516443944349885,1.6296701431274414,1.5699864847319467,1.6841062222208296,2.6844134810483884,-0.0006256735324859619,,,0,0.5,1.0
bias_medium,E2_DPS_zeta_0.3,150,2.2721623222033185,0.7739023446686965,2.235785484313965,0.5590155720710754,4.22081184387207,1.7476829290390015,2.7419448494911194,2.414537256161372,0.2383388071755568,2.482180118560791,2.2895683254514423,2.2136460429146174,17.766278684849087,0.6684029634793599,3.500387015473747,2.7322637236402443,0,0.16,0.16
