degradation,method,confidence_bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
gaussian_medium,noisy_input,high,246,1.5170183212655346,0.737925644783473,1.5136955976486206,0.16904406249523163,3.2566800117492676,0.9050837755203247,1.9602025747299194
gaussian_medium,noisy_input,mid,1740,1.6055008793570873,0.7407940437845517,1.5680086612701416,0.06699690222740173,3.5722880363464355,1.0509278774261475,2.104379713535309
gaussian_medium,noisy_input,low,1014,1.6198972542742653,0.7524804952789148,1.6162407994270325,0.10554774850606918,3.7036590576171875,1.066071629524231,2.122753143310547
gaussian_medium,Formal_E1,high,246,1.5169622845402577,0.7376416544377535,1.510871946811676,0.18441413342952728,3.2555105686187744,0.9012190103530884,1.9536309242248535
gaussian_medium,Formal_E1,mid,1740,1.6039541201601768,0.7392805428122712,1.5803682804107666,0.08170817047357559,3.597146511077881,1.0542064309120178,2.1024847626686096
gaussian_medium,Formal_E1,low,1014,1.6150216031488935,0.752031430614081,1.6129542589187622,0.08169866353273392,3.6375277042388916,1.05080246925354,2.1161036491394043
gaussian_medium,E2_Min_V2_selected,high,246,1.518242526890301,0.7390259607884292,1.5122487545013428,0.14194300770759583,3.2652714252471924,0.9044628143310547,1.9562878608703613
gaussian_medium,E2_Min_V2_selected,mid,1740,1.6044893806479101,0.7398010897039745,1.5725355744361877,0.08618096262216568,3.572415828704834,1.0542508661746979,2.093112051486969
gaussian_medium,E2_Min_V2_selected,low,1014,1.6162644466440352,0.7514876232584361,1.6249406337738037,0.08884132653474808,3.649184226989746,1.0489178895950317,2.127309560775757
gaussian_medium,E2_DPS_zeta_0.3,high,246,2.2234264879934185,1.1980917907877058,2.0672823190689087,0.12033592164516449,5.2702250480651855,1.2736329138278961,3.053986668586731
gaussian_medium,E2_DPS_zeta_0.3,mid,1740,2.2848059323220244,1.158167243992361,2.2001832723617554,0.05471114441752434,5.838475227355957,1.399055540561676,3.046733856201172
gaussian_medium,E2_DPS_zeta_0.3,low,1014,2.2639932713050697,1.1511691559107626,2.1944233179092407,0.09595019370317459,5.846884250640869,1.3386691212654114,3.0459684133529663
gaussian_medium,E2_DPS_zeta_1.0,high,246,5.74437655472174,3.232628083471214,5.7924675941467285,0.2897961437702179,13.479926109313965,2.999807298183441,8.217835426330566
gaussian_medium,E2_DPS_zeta_1.0,mid,1740,5.708342387182531,2.986803738938726,5.730994939804077,0.04678629711270332,13.197758674621582,3.1618428230285645,7.919521689414978
gaussian_medium,E2_DPS_zeta_1.0,low,1014,5.619711651531079,2.950704593341698,5.674939393997192,0.07185512781143188,12.537331581115723,3.159723460674286,7.815948009490967
gaussian_medium,E2_DPS_zeta_3.0,high,246,17.336589409083857,9.750285595511127,17.23181915283203,0.7566511631011963,39.794837951660156,8.24074101448059,25.238171577453613
gaussian_medium,E2_DPS_zeta_3.0,mid,1740,16.713919690855104,9.469566481143573,16.832529067993164,0.11402984708547592,38.6988639831543,9.224339485168457,24.218406200408936
gaussian_medium,E2_DPS_zeta_3.0,low,1014,16.375692101566514,9.22778183457347,16.452608108520508,0.4010314345359802,36.9521369934082,8.682207822799683,23.707168102264404
drift_medium,noisy_input,high,513,1.412876907670707,0.7152180004437391,1.322214961051941,0.1262088418006897,3.1518747806549072,0.8665683269500732,1.9200735092163086
drift_medium,noisy_input,mid,1383,1.5715967307832908,0.6949959991387831,1.5980257987976074,0.04955475777387619,3.382375717163086,1.034623622894287,2.0598835945129395
drift_medium,noisy_input,low,1104,1.7300409236113015,0.7921052005789584,1.6684041023254395,0.08376319706439972,3.7182207107543945,1.15196293592453,2.3002994060516357
drift_medium,Formal_E1,high,513,1.4128332031749145,0.7155367543735831,1.3219172954559326,0.1262088418006897,3.159703016281128,0.8684515953063965,1.9210805892944336
drift_medium,Formal_E1,mid,1383,1.5705777376712402,0.6944103404770484,1.6015558242797852,0.06115778163075447,3.409764051437378,1.0215294361114502,2.047841787338257
drift_medium,Formal_E1,low,1104,1.7284391700776052,0.7910680230214175,1.655623435974121,0.07113154977560043,3.7349724769592285,1.1596080660820007,2.2933900356292725
drift_medium,E2_Min_V2_selected,high,513,1.4122610173204488,0.7143614070677973,1.319265604019165,0.12625636160373688,3.1598260402679443,0.8680450916290283,1.9248061180114746
drift_medium,E2_Min_V2_selected,mid,1383,1.571748894120116,0.6950823382119341,1.5980077981948853,0.05830184370279312,3.382692575454712,1.029161810874939,2.0660181045532227
drift_medium,E2_Min_V2_selected,low,1104,1.7277554968655433,0.7922602945721924,1.665147304534912,0.0780339315533638,3.7013392448425293,1.142997831106186,2.2920461297035217
drift_medium,E2_DPS_zeta_0.3,high,513,1.693445894823611,1.0215684903785576,1.5567899942398071,0.049099359661340714,5.507996082305908,0.9378450512886047,2.2154877185821533
drift_medium,E2_DPS_zeta_0.3,mid,1383,2.018751946763443,1.048716783889599,1.9177322387695312,0.05451202765107155,5.60670280456543,1.20997154712677,2.7008869647979736
drift_medium,E2_DPS_zeta_0.3,low,1104,2.618423961231188,1.1578117270698391,2.563124418258667,0.07312382757663727,5.91471529006958,1.8168400526046753,3.3822442293167114
drift_medium,E2_DPS_zeta_1.0,high,513,3.4283198165992315,2.7195266698416996,2.4230294227600098,0.07389600574970245,12.1519193649292,1.4428412914276123,4.929165840148926
drift_medium,E2_DPS_zeta_1.0,mid,1383,5.362309754552052,2.8779647455133577,5.058590412139893,0.16733002662658691,12.731870651245117,3.0199239253997803,7.495555639266968
drift_medium,E2_DPS_zeta_1.0,low,1104,6.839533337634867,2.187712442559485,7.015964984893799,0.23368917405605316,11.873462677001953,5.362305760383606,8.43684720993042
drift_medium,E2_DPS_zeta_3.0,high,513,8.24345217136844,8.616044615438792,4.068136215209961,0.1262088418006897,38.974998474121094,1.7997461557388306,12.70775318145752
drift_medium,E2_DPS_zeta_3.0,mid,1383,14.608243196857899,8.312842166462158,13.679088592529297,0.3078364431858063,39.189491271972656,7.859350681304932,19.710494995117188
drift_medium,E2_DPS_zeta_3.0,low,1104,19.835604273970578,6.778490683342949,19.134453773498535,3.9827988147735596,35.716121673583984,14.97403359413147,25.44017744064331
burst_medium,noisy_input,high,261,1.4461122555979367,0.6763196698585963,1.4073113203048706,0.15582042932510376,3.270265817642212,0.8989896178245544,1.8749871253967285
burst_medium,noisy_input,mid,1635,1.6310909932222935,0.7516953368987854,1.6195865869522095,0.07806099951267242,3.4404478073120117,1.0903276205062866,2.1352694034576416
burst_medium,noisy_input,low,1104,1.61391477647197,0.7382931822772838,1.5918693542480469,0.1290203481912613,3.6853976249694824,1.0387008488178253,2.08180832862854
burst_medium,Formal_E1,high,261,1.4439225272200573,0.674309592651791,1.4034191370010376,0.1433907151222229,3.270261764526367,0.9006522297859192,1.8717595338821411
burst_medium,Formal_E1,mid,1635,1.6252784846846118,0.7437652241791488,1.6092220544815063,0.09842012077569962,3.40769624710083,1.090850591659546,2.1342878341674805
burst_medium,Formal_E1,low,1104,1.6018828425313467,0.7332359544552048,1.6058111786842346,0.0976141095161438,3.6737780570983887,1.0327359437942505,2.0917187333106995
burst_medium,E2_Min_V2_selected,high,261,1.444528810936829,0.6755483407240683,1.404827356338501,0.127677321434021,3.2627975940704346,0.9081625938415527,1.8685457706451416
burst_medium,E2_Min_V2_selected,mid,1635,1.6306334762056487,0.7512341278246112,1.6220932006835938,0.05717485025525093,3.4427947998046875,1.0904773473739624,2.131009817123413
burst_medium,E2_Min_V2_selected,low,1104,1.6014240332777896,0.7393838170027236,1.5927139520645142,0.06222737953066826,3.676752805709839,1.0373276770114899,2.1002888679504395
burst_medium,E2_DPS_zeta_0.3,high,261,2.144334147830576,1.129704139933932,2.0422465801239014,0.3315228819847107,5.399410724639893,1.1804909706115723,2.987668991088867
burst_medium,E2_DPS_zeta_0.3,mid,1635,2.3152714075344054,1.1926024008494982,2.226787805557251,0.0699475109577179,5.925017833709717,1.3848814368247986,3.0624583959579468
burst_medium,E2_DPS_zeta_0.3,low,1104,2.3173820689199087,1.1067678787815083,2.274434447288513,0.12114544957876205,6.057933330535889,1.4638627469539642,2.9777832627296448
burst_medium,E2_DPS_zeta_1.0,high,261,5.741808682851408,3.2470833011325206,5.748263359069824,0.22264647483825684,12.425740242004395,3.0395290851593018,8.407191276550293
burst_medium,E2_DPS_zeta_1.0,mid,1635,5.567749613238675,3.181504062760221,5.431107521057129,0.04431202635169029,13.018339157104492,2.76963210105896,8.033172607421875
burst_medium,E2_DPS_zeta_1.0,low,1104,5.632561346988423,2.7030634529914366,5.606010437011719,0.1404186189174652,12.951849937438965,3.661833703517914,7.5440744161605835
burst_medium,E2_DPS_zeta_3.0,high,261,15.861318681660283,9.310886467695951,16.940109252929688,0.46403712034225464,35.673622131347656,7.065491676330566,23.072294235229492
burst_medium,E2_DPS_zeta_3.0,mid,1635,15.59730295224474,9.461435616969323,15.708285331726074,0.11410503089427948,36.612796783447266,7.439461946487427,22.64406394958496
burst_medium,E2_DPS_zeta_3.0,low,1104,16.472994281842873,8.459688126590866,16.204111099243164,0.1404186189174652,35.37938690185547,10.206138610839844,22.59942054748535
bias_medium,noisy_input,high,60,1.6298559486865998,0.19459400351006625,1.6329357028007507,1.3056391477584839,2.025865316390991,1.4736794531345367,1.7417068183422089
bias_medium,noisy_input,mid,2100,1.5707585654194867,0.7819581134537199,1.4972427487373352,0.10946207493543625,3.7970964908599854,0.9675116986036301,2.094261586666107
bias_medium,noisy_input,low,840,1.6843972412603243,0.6711706885939883,1.7589003443717957,0.31363800168037415,3.196364402770996,1.0813538432121277,2.2405574321746826
bias_medium,Formal_E1,high,60,1.6251853108406067,0.19758401571622516,1.624088704586029,1.3026585578918457,2.0301661491394043,1.467673271894455,1.7399254441261292
bias_medium,Formal_E1,mid,2100,1.56953749046794,0.782271727495723,1.4948592782020569,0.10946207493543625,3.8130545616149902,0.9697747975587845,2.090484082698822
bias_medium,Formal_E1,low,840,1.6844453328422138,0.6659692100494801,1.74894118309021,0.3075314164161682,3.1765193939208984,1.0869942009449005,2.2332478761672974
bias_medium,E2_Min_V2_selected,high,60,1.6296702027320862,0.194360510441222,1.6273200511932373,1.3203551769256592,2.041274309158325,1.4842389225959778,1.7398626804351807
bias_medium,E2_Min_V2_selected,mid,2100,1.5699864930233784,0.7820160860885876,1.5014766454696655,0.10639984160661697,3.7787692546844482,0.9683713763952255,2.094473659992218
bias_medium,E2_Min_V2_selected,low,840,1.6841061859258584,0.6700177668636699,1.7684749364852905,0.3188384473323822,3.176107883453369,1.082639902830124,2.2412591576576233
