condition,variant,N,tau_high,gamma,ADE,RMSE,per_traj_ADE_mean,per_traj_ADE_std,per_traj_ADE_median,per_traj_ADE_min,per_traj_ADE_max,per_traj_ADE_p10,per_traj_ADE_p90,high_conf_ADE_y,high_conf_ADE_fused,high_conf_ADE_ratio,high_conf_no_harm_pass,low_conf_ADE_y,low_conf_ADE_fused,low_conf_improvement,low_conf_pass,acceleration_RMS_clean,acceleration_RMS_fused,acceleration_RMS_ratio,motion_usage_ratio,improvement_vs_E3_t1,relative_improvement_vs_E3_t1
gaussian_medium,V1_single_t1,1000,0.7,2.0,0.06141731142997742,0.0687270537018776,0.06141731142997742,0.007626664359122515,0.06146155670285225,0.04064327850937843,0.08444487303495407,0.05169181153178215,0.07157962769269943,0.013773074373602867,0.013773074373602867,1.0,PASS,0.10519935190677643,0.10312831401824951,0.0020710378885269165,PASS,0.20577530562877655,0.27954357862472534,1.3584893941879272,0.4081949209570538,0.0,0.0
gaussian_medium,V2_single_t2,1000,0.7,2.0,0.06064353883266449,0.06789738684892654,0.06064353883266449,0.007658429443836212,0.06050342321395874,0.04072461277246475,0.08441255986690521,0.050791170448064804,0.07060623914003372,0.013773074373602867,0.013773074373602867,1.0,PASS,0.10519935190677643,0.10144057869911194,0.0037587732076644897,PASS,0.20577530562877655,0.2777095437049866,1.3495765924453735,0.40904870344936184,0.0007737725973129272,0.012598607449342937
gaussian_medium,V3_single_t3,1000,0.7,2.0,0.05984164774417877,0.06712713092565536,0.05984164774417877,0.007746480870991945,0.059683553874492645,0.04019324854016304,0.08703804016113281,0.05002997815608978,0.07001451402902603,0.013773074373602867,0.013773074373602867,1.0,PASS,0.10519935190677643,0.09967054426670074,0.005528807640075684,PASS,0.20577530562877655,0.2757818102836609,1.3402085304260254,0.4101336825650125,0.001575663685798645,0.0256550416989422
gaussian_medium,V4_multit_confidence_bin,1000,0.7,2.0,0.0602010078728199,0.06733815371990204,0.0602010078728199,0.007632675115019083,0.059908535331487656,0.04062957316637039,0.08730524033308029,0.05066615343093872,0.07016362994909286,0.013773074373602867,0.013773074373602867,1.0,PASS,0.10519935190677643,0.09967054426670074,0.005528807640075684,PASS,0.20577530562877655,0.27661505341529846,1.3442577123641968,0.49808370372873506,0.0012163035571575165,0.019803920569275234
drift_medium,V1_single_t1,1000,0.7,2.0,0.03514675050973892,0.039584241807460785,0.03514675050973892,0.013841606676578522,0.032444506883621216,0.009984569624066353,0.09783043712377548,0.019712265580892563,0.05461569130420685,0.00482790544629097,0.00482790544629097,1.0,PASS,0.06451861560344696,0.06329237669706345,0.0012262389063835144,PASS,0.20577530562877655,0.2072746306657791,1.0072861909866333,0.4763104726912437,0.0,0.0
drift_medium,V2_single_t2,1000,0.7,2.0,0.03465542197227478,0.03895873203873634,0.03465542197227478,0.013965420424938202,0.03185915946960449,0.009831280447542667,0.10164699703454971,0.0190403051674366,0.05419497936964035,0.00482790544629097,0.00482790544629097,1.0,PASS,0.06451861560344696,0.062122244387865067,0.002396371215581894,PASS,0.20577530562877655,0.207072913646698,1.0063059329986572,0.4782617961908088,0.0004913285374641418,0.01397934461434831
drift_medium,V3_single_t3,1000,0.7,2.0,0.034238301217556,0.03844841569662094,0.034238301217556,0.014186407439410686,0.031412895768880844,0.00956788845360279,0.10236217081546783,0.018393052741885185,0.053379468619823456,0.00482790544629097,0.00482790544629097,1.0,PASS,0.06451861560344696,0.06102907285094261,0.0034895427525043488,PASS,0.20577530562877655,0.20685023069381714,1.0052237510681152,0.4787765259750288,0.0009084492921829224,0.025847319566722107
drift_medium,V4_multit_confidence_bin,1000,0.7,2.0,0.03432594612240791,0.03852827474474907,0.03432594612240791,0.013980954885482788,0.0313892662525177,0.009984569624066353,0.1023133248090744,0.019004330039024353,0.05340750142931938,0.00482790544629097,0.00482790544629097,1.0,PASS,0.06451861560344696,0.06102907285094261,0.0034895427525043488,PASS,0.20577530562877655,0.2069469839334488,1.0056939125061035,0.5674046423576428,0.0008208043873310089,0.0233536351270999
burst_medium,V1_single_t1,1000,0.7,2.0,0.07149259746074677,0.14857330918312073,0.07149259746074677,0.020609714090824127,0.0698111355304718,0.025835439562797546,0.15062007308006287,0.046917736530303955,0.09885180741548538,0.0033015089575201273,0.0033015089575201273,1.0,PASS,0.2019364833831787,0.19814521074295044,0.0037912726402282715,PASS,0.20577530562877655,0.4418436288833618,2.14721417427063,0.48155874005682553,0.0,0.0
burst_medium,V2_single_t2,1000,0.7,2.0,0.07173915207386017,0.14644098281860352,0.07173915207386017,0.02101435512304306,0.06992177665233612,0.025462860241532326,0.15066607296466827,0.046534668654203415,0.09936435520648956,0.0033015089575201273,0.0033015089575201273,1.0,PASS,0.2019364833831787,0.19622597098350525,0.005710512399673462,PASS,0.20577530562877655,0.4363690912723541,2.1206095218658447,0.48294671641281467,-0.0002465546131134033,-0.003448673315378228
burst_medium,V3_single_t3,1000,0.7,2.0,0.07257531583309174,0.14461196959018707,0.07257531583309174,0.021734459325671196,0.07086656242609024,0.025427207350730896,0.16968891024589539,0.04652567580342293,0.10135935246944427,0.0033015089575201273,0.0033015089575201273,1.0,PASS,0.2019364833831787,0.19498580694198608,0.006950676441192627,PASS,0.20577530562877655,0.4307776987552643,2.0934371948242188,0.48428013488657096,-0.0010827183723449707,-0.015144482237119668
burst_medium,V4_multit_confidence_bin,1000,0.7,2.0,0.07119223475456238,0.14435620605945587,0.07119223475456238,0.020988326519727707,0.06953030824661255,0.02550089731812477,0.1625315099954605,0.0458848774433136,0.0987631231546402,0.0033015089575201273,0.0033015089575201273,1.0,PASS,0.2019364833831787,0.19498580694198608,0.006950676441192627,PASS,0.20577530562877655,0.43086904287338257,2.093881130218506,0.6172124192084925,0.0003003627061843872,0.004201311979818623
