condition,ADE_y,ADE_t1,ADE_t2,ADE_t3,ADE_multit_bin,best_variant,high_conf_pass_t1,high_conf_pass_t2,high_conf_pass_t3,high_conf_pass_multit_bin,low_conf_pass_t1,low_conf_pass_t2,low_conf_pass_t3,low_conf_pass_multit_bin,motion_usage_ratio_t1,motion_usage_ratio_t2,motion_usage_ratio_t3,motion_usage_ratio_multit_bin,high_conf_ADE_y
gaussian_medium,0.062373414635658264,0.06141731142997742,0.06064353883266449,0.05984164774417877,0.0602010078728199,V3_single_t3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.4081949209570538,0.40904870344936184,0.4101336825650125,0.49808370372873506,0.013773074373602867
drift_medium,0.03562352806329727,0.03514675050973892,0.03465542197227478,0.034238301217556,0.03432594612240791,V3_single_t3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.4763104726912437,0.4782617961908088,0.4787765259750288,0.5674046423576428,0.00482790544629097
burst_medium,0.07231355458498001,0.07149259746074677,0.07173915207386017,0.07257531583309174,0.07119223475456238,V4_multit_confidence_bin,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.48155874005682553,0.48294671641281467,0.48428013488657096,0.6172124192084925,0.0033015089575201273
bias_medium,0.187122642993927,0.18705998361110687,0.1870337277650833,0.18703998625278473,0.18703976273536682,V2_single_t2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.40348736148054826,0.40398895115441286,0.4026882710063585,0.48509044608533003,0.04062176123261452
jump_medium,0.26043060421943665,0.2578508257865906,0.2559114694595337,0.25374510884284973,0.25490134954452515,V3_single_t3,UNINTERPRETABLE,UNINTERPRETABLE,UNINTERPRETABLE,UNINTERPRETABLE,PASS,PASS,PASS,PASS,0.4366396308987689,0.43906256456648834,0.44060223911012886,0.5003263723181428,0.0
combined_medium,0.20637410879135132,0.2059965282678604,0.2057013064622879,0.20533227920532227,0.20551294088363647,V3_single_t3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.3998209869003738,0.3996181756052407,0.39834233986024187,0.4883184289550787,0.04521172493696213
