condition,variant,confidence_bin,N_frames,frame_fraction,ADE_y,ADE_fused,ADE_improvement_y_minus_fused,ADE_fused_std,ADE_fused_median,ADE_fused_min,ADE_fused_max,ADE_fused_p10,ADE_fused_p90
gaussian_medium,V1_single_t1,high,1647,0.08235,0.013773074373602867,0.013773074373602867,0.0,0.004926548805087805,0.014575191773474216,0.00011337624164298177,0.020830601453781128,0.006520163733512163,0.019732695072889328
gaussian_medium,V1_single_t1,mid_high,3978,0.1989,0.031231479719281197,0.031017612665891647,0.00021386705338954926,0.0057158805429935455,0.0312650203704834,0.018875403329730034,0.04474519193172455,0.02298736944794655,0.03855523467063904
gaussian_medium,V1_single_t1,mid_low,9041,0.45205,0.05966285243630409,0.05886378884315491,0.0007990635931491852,0.011594122275710106,0.0579930879175663,0.03434371203184128,0.09331266582012177,0.043678466230630875,0.07512565702199936
gaussian_medium,V1_single_t1,low,5334,0.2667,0.10519935190677643,0.10312831401824951,0.0020710378885269165,0.020292293280363083,0.09861372411251068,0.06370219588279724,0.22305811941623688,0.08206872642040253,0.13107722997665405
gaussian_medium,V2_single_t2,high,1647,0.08235,0.013773074373602867,0.013773074373602867,0.0,0.004926548805087805,0.014575191773474216,0.00011337624164298177,0.020830601453781128,0.006520163733512163,0.019732695072889328
gaussian_medium,V2_single_t2,mid_high,3978,0.1989,0.031231479719281197,0.030869117006659508,0.00036236271262168884,0.005937518551945686,0.030876686796545982,0.017268843948841095,0.04942729324102402,0.022801628336310387,0.03869817405939102
gaussian_medium,V2_single_t2,mid_low,9041,0.45205,0.05966285243630409,0.05821315944194794,0.0014496929943561554,0.012126077897846699,0.057237304747104645,0.02906552515923977,0.10511261224746704,0.042896121740341187,0.07495767623186111
gaussian_medium,V2_single_t2,low,5334,0.2667,0.10519935190677643,0.10144057869911194,0.0037587732076644897,0.021266551688313484,0.09709948301315308,0.05163371190428734,0.22250092029571533,0.0790141150355339,0.13049155473709106
gaussian_medium,V3_single_t3,high,1647,0.08235,0.013773074373602867,0.013773074373602867,0.0,0.004926548805087805,0.014575191773474216,0.00011337624164298177,0.020830601453781128,0.006520163733512163,0.019732695072889328
gaussian_medium,V3_single_t3,mid_high,3978,0.1989,0.031231479719281197,0.03071032091975212,0.0005211587995290756,0.006312879268079996,0.030498823150992393,0.014185442589223385,0.05340325087308884,0.022464675828814507,0.03899804502725601
gaussian_medium,V3_single_t3,mid_low,9041,0.45205,0.05966285243630409,0.05755341053009033,0.0021094419062137604,0.01308176014572382,0.056322429329156876,0.019289862364530563,0.11567632853984833,0.04179634526371956,0.07521500438451767
gaussian_medium,V3_single_t3,low,5334,0.2667,0.10519935190677643,0.09967054426670074,0.005528807640075684,0.02293097786605358,0.09568697214126587,0.032676126807928085,0.22250092029571533,0.07513867318630219,0.1303248554468155
gaussian_medium,V4_multit_confidence_bin,high,1647,0.08235,0.013773074373602867,0.013773074373602867,0.0,0.004926548805087805,0.014575191773474216,0.00011337624164298177,0.020830601453781128,0.006520163733512163,0.019732695072889328
gaussian_medium,V4_multit_confidence_bin,mid_high,3978,0.1989,0.031231479719281197,0.031017612665891647,0.00021386705338954926,0.0057158805429935455,0.0312650203704834,0.018875403329730034,0.04474519193172455,0.02298736944794655,0.03855523467063904
gaussian_medium,V4_multit_confidence_bin,mid_low,9041,0.45205,0.05966285243630409,0.05821315944194794,0.0014496929943561554,0.012126077897846699,0.057237304747104645,0.02906552515923977,0.10511261224746704,0.042896121740341187,0.07495767623186111
gaussian_medium,V4_multit_confidence_bin,low,5334,0.2667,0.10519935190677643,0.09967054426670074,0.005528807640075684,0.02293097786605358,0.09568697214126587,0.032676126807928085,0.22250092029571533,0.07513867318630219,0.1303248554468155
drift_medium,V1_single_t1,high,2903,0.14515,0.00482790544629097,0.00482790544629097,0.0,0.00410732114687562,0.005285419523715973,0.0,0.011249609291553497,0.0,0.010245748795568943
drift_medium,V1_single_t1,mid_high,3650,0.1825,0.016814973205327988,0.016758577898144722,5.6395307183265686e-05,0.00315677747130394,0.01682041585445404,0.009854858741164207,0.025553904473781586,0.012405776418745518,0.020976966246962547
drift_medium,V1_single_t1,mid_low,7127,0.35635,0.032176632434129715,0.031954966485500336,0.00022166594862937927,0.0065285516902804375,0.031516142189502716,0.017476532608270645,0.05416660010814667,0.023582015186548233,0.04091029614210129
drift_medium,V1_single_t1,low,6320,0.316,0.06451861560344696,0.06329237669706345,0.0012262389063835144,0.017937252297997475,0.05906827747821808,0.03250141069293022,0.16148094832897186,0.04500801861286163,0.08753369748592377
drift_medium,V2_single_t2,high,2903,0.14515,0.00482790544629097,0.00482790544629097,0.0,0.00410732114687562,0.005285419523715973,0.0,0.011249609291553497,0.0,0.010245748795568943
drift_medium,V2_single_t2,mid_high,3650,0.1825,0.016814973205327988,0.016671085730195045,0.0001438874751329422,0.0033006963785737753,0.016605257987976074,0.0086826141923666,0.027911875396966934,0.01229077484458685,0.021068591624498367
drift_medium,V2_single_t2,mid_low,7127,0.35635,0.032176632434129715,0.03165862336754799,0.0005180090665817261,0.007107336539775133,0.030892403796315193,0.014456034637987614,0.05856931582093239,0.0228350181132555,0.04162042960524559
drift_medium,V2_single_t2,low,6320,0.316,0.06451861560344696,0.062122244387865067,0.002396371215581894,0.01846924051642418,0.058009274303913116,0.023916566744446754,0.16851480305194855,0.04279494658112526,0.08722753077745438
drift_medium,V3_single_t3,high,2903,0.14515,0.00482790544629097,0.00482790544629097,0.0,0.00410732114687562,0.005285419523715973,0.0,0.011249609291553497,0.0,0.010245748795568943
drift_medium,V3_single_t3,mid_high,3650,0.1825,0.016814973205327988,0.016586540266871452,0.00022843293845653534,0.00353419641032815,0.016383204609155655,0.008067461661994457,0.031429704278707504,0.012090105563402176,0.02125595510005951
drift_medium,V3_single_t3,mid_low,7127,0.35635,0.032176632434129715,0.03150076046586037,0.0006758719682693481,0.007926142774522305,0.0305926613509655,0.012070683762431145,0.06661136448383331,0.021990984678268433,0.0428154282271862
drift_medium,V3_single_t3,low,6320,0.316,0.06451861560344696,0.06102907285094261,0.0034895427525043488,0.019430233165621758,0.05750786513090134,0.016732044517993927,0.17582328617572784,0.040138665586709976,0.08730875700712204
drift_medium,V4_multit_confidence_bin,high,2903,0.14515,0.00482790544629097,0.00482790544629097,0.0,0.00410732114687562,0.005285419523715973,0.0,0.011249609291553497,0.0,0.010245748795568943
drift_medium,V4_multit_confidence_bin,mid_high,3650,0.1825,0.016814973205327988,0.016758577898144722,5.6395307183265686e-05,0.00315677747130394,0.01682041585445404,0.009854858741164207,0.025553904473781586,0.012405776418745518,0.020976966246962547
drift_medium,V4_multit_confidence_bin,mid_low,7127,0.35635,0.032176632434129715,0.03165862336754799,0.0005180090665817261,0.007107336539775133,0.030892403796315193,0.014456034637987614,0.05856931582093239,0.0228350181132555,0.04162042960524559
drift_medium,V4_multit_confidence_bin,low,6320,0.316,0.06451861560344696,0.06102907285094261,0.0034895427525043488,0.019430233165621758,0.05750786513090134,0.016732044517993927,0.17582328617572784,0.040138665586709976,0.08730875700712204
burst_medium,V1_single_t1,high,1905,0.09525,0.0033015089575201273,0.0033015089575201273,0.0,0.0011785279493778944,0.003501832252368331,2.2720239940099418e-05,0.004972890950739384,0.0015538603765890002,0.004718382377177477
burst_medium,V1_single_t1,mid_high,4159,0.20795,0.0074417851865291595,0.007741190027445555,-0.0002994048409163952,0.0026907718274742365,0.007441787514835596,0.0006401197169907391,0.02455706149339676,0.004937989171594381,0.010969960130751133
burst_medium,V1_single_t1,mid_low,7474,0.3737,0.013930641114711761,0.014845176599919796,-0.0009145354852080345,0.005777020938694477,0.01394178532063961,0.00031751280766911805,0.05220406875014305,0.009050043299794197,0.02188837341964245
burst_medium,V1_single_t1,low,6462,0.3231,0.2019364833831787,0.19814521074295044,0.0037912726402282715,0.18442906439304352,0.15970760583877563,0.0009262574603781104,1.0697340965270996,0.019782815128564835,0.467457115650177
burst_medium,V2_single_t2,high,1905,0.09525,0.0033015089575201273,0.0033015089575201273,0.0,0.0011785279493778944,0.003501832252368331,2.2720239940099418e-05,0.004972890950739384,0.0015538603765890002,0.004718382377177477
burst_medium,V2_single_t2,mid_high,4159,0.20795,0.0074417851865291595,0.008444326929748058,-0.0010025417432188988,0.0040774657391011715,0.007680854294449091,0.0003610038256738335,0.03779469430446625,0.004506513010710478,0.013624420389533043
burst_medium,V2_single_t2,mid_low,7474,0.3737,0.013930641114711761,0.016773009672760963,-0.002842368558049202,0.00890866108238697,0.014650045894086361,0.0007375329732894897,0.07732123881578445,0.008496193215250969,0.028623048216104507
burst_medium,V2_single_t2,low,6462,0.3231,0.2019364833831787,0.19622597098350525,0.005710512399673462,0.1803184300661087,0.15816153585910797,0.0007014466100372374,1.0379716157913208,0.019349712878465652,0.4585800766944885
burst_medium,V3_single_t3,high,1905,0.09525,0.0033015089575201273,0.0033015089575201273,0.0,0.0011785279493778944,0.003501832252368331,2.2720239940099418e-05,0.004972890950739384,0.0015538603765890002,0.004718382377177477
burst_medium,V3_single_t3,mid_high,4159,0.20795,0.0074417851865291595,0.00950178224593401,-0.00205999705940485,0.00558190792798996,0.00803641602396965,7.423944771289825e-05,0.05205833539366722,0.00448614964261651,0.016833610832691193
burst_medium,V3_single_t3,mid_low,7474,0.3737,0.013930641114711761,0.01949436403810978,-0.005563722923398018,0.012638517655432224,0.01577737182378769,0.0006498181610368192,0.1120666041970253,0.008418098092079163,0.03643133118748665
burst_medium,V3_single_t3,low,6462,0.3231,0.2019364833831787,0.19498580694198608,0.006950676441192627,0.17607681453227997,0.15635398030281067,0.0006010867073200643,1.0145766735076904,0.019710930064320564,0.4522916376590729
burst_medium,V4_multit_confidence_bin,high,1905,0.09525,0.0033015089575201273,0.0033015089575201273,0.0,0.0011785279493778944,0.003501832252368331,2.2720239940099418e-05,0.004972890950739384,0.0015538603765890002,0.004718382377177477
burst_medium,V4_multit_confidence_bin,mid_high,4159,0.20795,0.0074417851865291595,0.007741190027445555,-0.0002994048409163952,0.0026907718274742365,0.007441787514835596,0.0006401197169907391,0.02455706149339676,0.004937989171594381,0.010969960130751133
burst_medium,V4_multit_confidence_bin,mid_low,7474,0.3737,0.013930641114711761,0.016773009672760963,-0.002842368558049202,0.00890866108238697,0.014650045894086361,0.0007375329732894897,0.07732123881578445,0.008496193215250969,0.028623048216104507
burst_medium,V4_multit_confidence_bin,low,6462,0.3231,0.2019364833831787,0.19498580694198608,0.006950676441192627,0.17607681453227997,0.15635398030281067,0.0006010867073200643,1.0145766735076904,0.019710930064320564,0.4522916376590729
bias_medium,V1_single_t1,high,1620,0.081,0.04062176123261452,0.04062176123261452,0.0,0.014304066076874733,0.040137600153684616,0.009626968763768673,0.061573777347803116,0.01995132677257061,0.058287832885980606
bias_medium,V1_single_t1,mid_high,3700,0.185,0.09261076897382736,0.09259502589702606,1.574307680130005e-05,0.016780421137809753,0.09387101233005524,0.061587389558553696,0.12372864782810211,0.07053812593221664,0.115787073969841
bias_medium,V1_single_t1,mid_low,8960,0.448,0.1731070727109909,0.17297641932964325,0.00013065338134765625,0.033381592482328415,0.17081138491630554,0.11907833069562912,0.24488194286823273,0.12947271764278412,0.21942687034606934
bias_medium,V1_single_t1,low,5720,0.286,0.31170395016670227,0.3116997182369232,4.231929779052734e-06,0.062330082058906555,0.29071348905563354,0.23351998627185822,0.6805415153503418,0.24972543120384216,0.39791566133499146
bias_medium,V2_single_t2,high,1620,0.081,0.04062176123261452,0.04062176123261452,0.0,0.014304066076874733,0.040137600153684616,0.009626968763768673,0.061573777347803116,0.01995132677257061,0.058287832885980606
bias_medium,V2_single_t2,mid_high,3700,0.185,0.09261076897382736,0.0925401970744133,7.05718994140625e-05,0.016760140657424927,0.09340918064117432,0.06149692460894585,0.12727198004722595,0.07047710567712784,0.11529461294412613
bias_medium,V2_single_t2,mid_low,8960,0.448,0.1731070727109909,0.17301711440086365,8.99583101272583e-05,0.033446356654167175,0.170791357755661,0.11681422591209412,0.24925725162029266,0.12947510182857513,0.21975216269493103
bias_medium,V2_single_t2,low,5720,0.286,0.31170395016670227,0.31157946586608887,0.00012448430061340332,0.0626201182603836,0.29129308462142944,0.22382444143295288,0.6793650984764099,0.24918577075004578,0.39966168999671936
bias_medium,V3_single_t3,high,1620,0.081,0.04062176123261452,0.04062176123261452,0.0,0.014304066076874733,0.040137600153684616,0.009626968763768673,0.061573777347803116,0.01995132677257061,0.058287832885980606
bias_medium,V3_single_t3,mid_high,3700,0.185,0.09261076897382736,0.09257259219884872,3.8176774978637695e-05,0.01680988445878029,0.09335647523403168,0.061242640018463135,0.12790082395076752,0.07026098668575287,0.11514424532651901
bias_medium,V3_single_t3,mid_low,8960,0.448,0.1731070727109909,0.1730268895626068,8.018314838409424e-05,0.033593352884054184,0.17090162634849548,0.11473940312862396,0.25354939699172974,0.12949560582637787,0.21989047527313232
bias_medium,V3_single_t3,low,5720,0.286,0.31170395016670227,0.31156522035598755,0.00013872981071472168,0.0627858117222786,0.29273080825805664,0.21742109954357147,0.6802256107330322,0.24894732236862183,0.3994114398956299
