geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,output_path,evaluated_windows,off_map_ratio,boundary_violation_count,infeasible_transition_count,window_violation_count,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_count,masked_segment_count,masked_infeasible_transition_rate,total_points,total_segments,internal_wall_crossing_count,door_valid_crossing_count,door_crossing_valid_ratio
two_room_v1,phase1_baseline,span20_random_seed11,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed11/savgol_w5_p2/results.npz,27544,0.0,0,50,46,0.0016700551844321813,9.55409144412003e-05,0.0018152773743828057,28,137720,0.00020331106593087425,550880,523336,2504,2454,0.9800319488817891
two_room_v1,phase1_baseline,span20_random_seed12,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed12/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,8.350275922160906e-05,46,382,259,0.009403136799302934,0.0007299325863307703,0.013868719140284636,301,137720,0.002185593958756898,550880,523336,2741,2430,0.8865377599416271
two_room_v1,phase1_baseline,span20_random_seed12,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed12/linear_interp/results.npz,27544,0.0,0,26,26,0.000943944234679059,4.9681275509424154e-05,0.000943944234679059,26,137720,0.0001887888469358118,550880,523336,2491,2465,0.9895624247290244
two_room_v1,phase1_baseline,span20_random_seed12,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed12/savgol_w5_p2/results.npz,27544,0.0,0,48,44,0.001597444089456869,9.171927786355228e-05,0.0017426662794074934,25,137720,0.00018152773743828056,550880,523336,2501,2453,0.9808076769292283
two_room_v1,phase1_baseline,span20_random_seed13,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed13/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,6.35347081033982e-05,35,379,262,0.009512053441765901,0.0007242001314642983,0.013759802497821667,293,137720,0.0021275050827766484,550880,523336,2745,2423,0.8826958105646631
two_room_v1,phase1_baseline,span20_random_seed13,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed13/linear_interp/results.npz,27544,0.0,0,24,24,0.0008713331397037467,4.585963893177614e-05,0.0008713331397037467,24,137720,0.00017426662794074935,550880,523336,2491,2467,0.9903653151344841
two_room_v1,phase1_baseline,span20_random_seed13,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed13/savgol_w5_p2/results.npz,27544,0.0,0,46,43,0.0015611385419692129,8.789764128590428e-05,0.0016700551844321813,22,137720,0.0001597444089456869,550880,523336,2503,2457,0.981622053535757
two_room_v1,phase1_baseline,span20_random_seed14,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed14/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,7.261109497531223e-05,40,399,261,0.009475747894278247,0.0007624164972407784,0.01448591344757479,314,137720,0.002279988382224804,550880,523336,2794,2454,0.8783106657122405
two_room_v1,phase1_baseline,span20_random_seed14,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed14/linear_interp/results.npz,27544,0.0,0,23,23,0.0008350275922160906,4.394882064295214e-05,0.0008350275922160906,23,137720,0.00016700551844321812,550880,523336,2491,2468,0.990766760337214
two_room_v1,phase1_baseline,span20_random_seed14,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed14/savgol_w5_p2/results.npz,27544,0.0,0,52,48,0.0017426662794074934,9.936255101884831e-05,0.001887888469358118,25,137720,0.00018152773743828056,550880,523336,2503,2451,0.9792249300838993
two_room_v1,phase1_baseline,span20_random_seed15,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed15/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,6.17194307290154e-05,34,387,259,0.009403136799302934,0.0007394866777748903,0.014050246877722916,307,137720,0.0022291606157420854,550880,523336,2753,2419,0.8786778060297857
two_room_v1,phase1_baseline,span20_random_seed15,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed15/linear_interp/results.npz,27544,0.0,0,30,30,0.0010891664246296833,5.732454866472018e-05,0.0010891664246296833,30,137720,0.00021783328492593667,550880,523336,2491,2461,0.9879566439181052
two_room_v1,phase1_baseline,span20_random_seed15,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed15/savgol_w5_p2/results.npz,27544,0.0,0,54,49,0.0017789718268951496,0.00010318418759649633,0.0019604995643334303,29,137720,0.00021057217542840546,550880,523336,2504,2450,0.9784345047923323
