geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,evaluated_windows,boundary_violation_count,infeasible_transition_count,window_violation_count,masked_infeasible_transition_count,masked_segment_count,total_points,total_segments,internal_wall_crossing_count,door_valid_crossing_count,off_map_ratio,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_rate,door_crossing_valid_ratio
two_room_v1,phase1_baseline,span20_fixed_seed42,,,linear_interp,,,27544,0,24,24,24,137720,550880,523336,2491,2467,0.0,0.0008713331397037467,4.585963893177614e-05,0.0008713331397037467,0.00017426662794074935,0.9903653151344841
two_room_v1,phase1_baseline,span20_fixed_seed42,,,savgol_w5_p2,,,27544,0,49,44,24,137720,550880,523336,2504,2455,0.0,0.001597444089456869,9.36300961523763e-05,0.0017789718268951496,0.00017426662794074935,0.9804313099041534
two_room_v1,phase1_baseline,span20_random_seed0,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,33,395,266,308,137720,550880,523336,2775,2431,5.990415335463259e-05,0.009657275631716526,0.0007547732240854824,0.014340691257624164,0.0022364217252396168,0.8760360360360361
two_room_v1,phase1_baseline,span20_random_seed0,,,linear_interp,,,27544,0,28,28,28,137720,550880,523336,2491,2463,0.0,0.0010165553296543712,5.3502912087072166e-05,0.0010165553296543712,0.00020331106593087425,0.9887595343235648
two_room_v1,phase1_baseline,span20_random_seed0,,,savgol_w5_p2,,,27544,0,54,49,29,137720,550880,523336,2503,2449,0.0,0.0017789718268951496,0.00010318418759649633,0.0019604995643334303,0.00021057217542840546,0.9784258889332801
two_room_v1,phase1_baseline,span20_random_seed1,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,27,367,249,283,137720,550880,523336,2762,2439,4.901248910833575e-05,0.009040081324426373,0.0007012703119984102,0.013324135927969794,0.002054893987801336,0.8830557566980449
two_room_v1,phase1_baseline,span20_random_seed1,,,linear_interp,,,27544,0,27,27,27,137720,550880,523336,2491,2464,0.0,0.0009802497821667152,5.1592093798248164e-05,0.0009802497821667152,0.000196049956433343,0.9891609795262947
two_room_v1,phase1_baseline,span20_random_seed1,,,savgol_w5_p2,,,27544,0,50,45,25,137720,550880,523336,2502,2452,0.0,0.0016337496369445252,9.55409144412003e-05,0.0018152773743828057,0.00018152773743828056,0.9800159872102319
two_room_v1,phase1_baseline,span20_random_seed10,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,34,362,248,276,137720,550880,523336,2757,2446,6.17194307290154e-05,0.009003775776938717,0.0006917162205542902,0.013142608190531513,0.0020040662213186176,0.887196227783823
two_room_v1,phase1_baseline,span20_random_seed10,,,linear_interp,,,27544,0,32,32,32,137720,550880,523336,2491,2459,0.0,0.0011617775196049957,6.11461852423682e-05,0.0011617775196049957,0.00023235550392099912,0.9871537535126456
two_room_v1,phase1_baseline,span20_random_seed10,,,savgol_w5_p2,,,27544,0,55,50,33,137720,550880,523336,2504,2449,0.0,0.0018152773743828057,0.00010509500588532033,0.001996805111821086,0.00023961661341853036,0.978035143769968
two_room_v1,phase1_baseline,span20_random_seed11,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,18,344,241,259,137720,550880,523336,2747,2432,3.26749927388905e-05,0.008749636944525123,0.000657321491355458,0.012489108335753703,0.0018806273598605866,0.8853294503094284
two_room_v1,phase1_baseline,span20_random_seed11,,,linear_interp,,,27544,0,29,29,29,137720,550880,523336,2491,2462,0.0,0.0010528608771420273,5.5413730375896176e-05,0.0010528608771420273,0.00021057217542840546,0.988358089120835
two_room_v1,phase1_baseline,span20_random_seed11,,,savgol_w5_p2,,,27544,0,50,46,28,137720,550880,523336,2504,2454,0.0,0.0016700551844321813,9.55409144412003e-05,0.0018152773743828057,0.00020331106593087425,0.9800319488817891
two_room_v1,phase1_baseline,span20_random_seed12,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,46,382,259,301,137720,550880,523336,2741,2430,8.350275922160906e-05,0.009403136799302934,0.0007299325863307703,0.013868719140284636,0.002185593958756898,0.8865377599416271
two_room_v1,phase1_baseline,span20_random_seed12,,,linear_interp,,,27544,0,26,26,26,137720,550880,523336,2491,2465,0.0,0.000943944234679059,4.9681275509424154e-05,0.000943944234679059,0.0001887888469358118,0.9895624247290244
two_room_v1,phase1_baseline,span20_random_seed12,,,savgol_w5_p2,,,27544,0,48,44,25,137720,550880,523336,2501,2453,0.0,0.001597444089456869,9.171927786355228e-05,0.0017426662794074934,0.00018152773743828056,0.9808076769292283
two_room_v1,phase1_baseline,span20_random_seed13,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,35,379,262,293,137720,550880,523336,2745,2423,6.35347081033982e-05,0.009512053441765901,0.0007242001314642983,0.013759802497821667,0.0021275050827766484,0.8826958105646631
two_room_v1,phase1_baseline,span20_random_seed13,,,linear_interp,,,27544,0,24,24,24,137720,550880,523336,2491,2467,0.0,0.0008713331397037467,4.585963893177614e-05,0.0008713331397037467,0.00017426662794074935,0.9903653151344841
two_room_v1,phase1_baseline,span20_random_seed13,,,savgol_w5_p2,,,27544,0,46,43,22,137720,550880,523336,2503,2457,0.0,0.0015611385419692129,8.789764128590428e-05,0.0016700551844321813,0.0001597444089456869,0.981622053535757
two_room_v1,phase1_baseline,span20_random_seed14,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,40,399,261,314,137720,550880,523336,2794,2454,7.261109497531223e-05,0.009475747894278247,0.0007624164972407784,0.01448591344757479,0.002279988382224804,0.8783106657122405
two_room_v1,phase1_baseline,span20_random_seed14,,,linear_interp,,,27544,0,23,23,23,137720,550880,523336,2491,2468,0.0,0.0008350275922160906,4.394882064295214e-05,0.0008350275922160906,0.00016700551844321812,0.990766760337214
two_room_v1,phase1_baseline,span20_random_seed14,,,savgol_w5_p2,,,27544,0,52,48,25,137720,550880,523336,2503,2451,0.0,0.0017426662794074934,9.936255101884831e-05,0.001887888469358118,0.00018152773743828056,0.9792249300838993
two_room_v1,phase1_baseline,span20_random_seed15,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,34,387,259,307,137720,550880,523336,2753,2419,6.17194307290154e-05,0.009403136799302934,0.0007394866777748903,0.014050246877722916,0.0022291606157420854,0.8786778060297857
two_room_v1,phase1_baseline,span20_random_seed15,,,linear_interp,,,27544,0,30,30,30,137720,550880,523336,2491,2461,0.0,0.0010891664246296833,5.732454866472018e-05,0.0010891664246296833,0.00021783328492593667,0.9879566439181052
two_room_v1,phase1_baseline,span20_random_seed15,,,savgol_w5_p2,,,27544,0,54,49,29,137720,550880,523336,2504,2450,0.0,0.0017789718268951496,0.00010318418759649633,0.0019604995643334303,0.00021057217542840546,0.9784345047923323
two_room_v1,phase1_baseline,span20_random_seed16,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,40,349,227,277,137720,550880,523336,2750,2463,7.261109497531223e-05,0.008241359279697939,0.0006668755827995781,0.012670636073191984,0.0020113273308161486,0.8956363636363637
two_room_v1,phase1_baseline,span20_random_seed16,,,linear_interp,,,27544,0,21,21,21,137720,550880,523336,2491,2470,0.0,0.0007624164972407784,4.0127184065304127e-05,0.0007624164972407784,0.00015248329944815567,0.9915696507426737
two_room_v1,phase1_baseline,span20_random_seed16,,,savgol_w5_p2,,,27544,0,48,43,22,137720,550880,523336,2503,2455,0.0,0.0015611385419692129,9.171927786355228e-05,0.0017426662794074934,0.0001597444089456869,0.9808230123851378
two_room_v1,phase1_baseline,span20_random_seed17,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,38,392,259,309,137720,550880,523336,2781,2444,6.898054022654662e-05,0.009403136799302934,0.0007490407692190104,0.014231774615161197,0.0022436828347371478,0.8788205681409564
two_room_v1,phase1_baseline,span20_random_seed17,,,linear_interp,,,27544,0,23,23,23,137720,550880,523336,2491,2468,0.0,0.0008350275922160906,4.394882064295214e-05,0.0008350275922160906,0.00016700551844321812,0.990766760337214
two_room_v1,phase1_baseline,span20_random_seed17,,,savgol_w5_p2,,,27544,0,52,47,23,137720,550880,523336,2504,2452,0.0,0.0017063607319198373,9.936255101884831e-05,0.001887888469358118,0.00016700551844321812,0.9792332268370607
two_room_v1,phase1_baseline,span20_random_seed18,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,51,404,263,322,137720,550880,523336,2774,2445,9.257914609352308e-05,0.009548358989253557,0.0007719705886848984,0.01466744118501307,0.0023380772582050537,0.8813987022350397
two_room_v1,phase1_baseline,span20_random_seed18,,,linear_interp,,,27544,0,25,25,25,137720,550880,523336,2491,2466,0.0,0.0009076386871914028,4.777045722060015e-05,0.0009076386871914028,0.00018152773743828056,0.9899638699317543
two_room_v1,phase1_baseline,span20_random_seed18,,,savgol_w5_p2,,,27544,0,48,44,26,137720,550880,523336,2504,2456,0.0,0.001597444089456869,9.171927786355228e-05,0.0017426662794074934,0.0001887888469358118,0.9808306709265175
two_room_v1,phase1_baseline,span20_random_seed19,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,37,368,249,287,137720,550880,523336,2744,2432,6.716526285216381e-05,0.009040081324426373,0.0007031811302872342,0.01336044147545745,0.002083938425791461,0.8862973760932945
two_room_v1,phase1_baseline,span20_random_seed19,,,linear_interp,,,27544,0,27,27,27,137720,550880,523336,2491,2464,0.0,0.0009802497821667152,5.1592093798248164e-05,0.0009802497821667152,0.000196049956433343,0.9891609795262947
two_room_v1,phase1_baseline,span20_random_seed19,,,savgol_w5_p2,,,27544,0,48,43,25,137720,550880,523336,2506,2458,0.0,0.0015611385419692129,9.171927786355228e-05,0.0017426662794074934,0.00018152773743828056,0.9808459696727854
two_room_v1,phase1_baseline,span20_random_seed2,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,37,383,249,301,137720,550880,523336,2766,2437,6.716526285216381e-05,0.009040081324426373,0.0007318434046195943,0.013905024687772292,0.002185593958756898,0.881055676066522
two_room_v1,phase1_baseline,span20_random_seed2,,,linear_interp,,,27544,0,15,15,15,137720,550880,523336,2491,2476,0.0,0.0005445832123148417,2.866227433236009e-05,0.0005445832123148417,0.00010891664246296834,0.9939783219590526
