epoch,train_loss,val_loss
1,0.21898762587941023,0.14208813139695056
2,0.13261477149365256,0.12516734822913334
3,0.1229411098864993,0.1220862764093253
4,0.12070805057696078,0.11852591924178295
5,0.11801034893463279,0.11814608842609495
6,0.11771154463004582,0.1153078669383967
7,0.11469016900849406,0.11784460875241193
8,0.11489376945599086,0.11108799647392702
9,0.11478907553950102,0.11411480658783817
10,0.11404766255001628,0.11162150885112072
11,0.1115341138423527,0.11544304010112998
12,0.1131435183127728,0.11377862881164293
13,0.10916772523119866,0.11037000495364743
14,0.11262819728631965,0.10998495909296963
15,0.11227467916967199,0.11001948381329442
16,0.11125122752603146,0.11320250174669615
17,0.11047908914576657,0.11255384311441408
18,0.11046918071654747,0.11373471253895545
19,0.11011857352166514,0.10991866969744199
20,0.10964105720976698,0.10876579274961044
