condition,zeta,zeta_effective,seed,trajectory_id,no_guidance,t,loss_likelihood,loss_mean_form,loss_sum_form,loss_sum_over_mean_ratio,loss_isfinite,grad_norm,grad_max_abs,grad_isfinite,x_t_norm_before_ddpm,x_t_max_abs_before_ddpm,x_t_isfinite_before_ddpm,x_base_norm_after_ddpm,x_base_max_abs_after_ddpm,x_base_isfinite_after_ddpm,update_norm,update_max_abs,update_to_x_ratio,x_after_norm,x_after_max_abs,x_after_isfinite,first_nonfinite_stage
drift_medium,0.0,0.0,42,0,True,99,9.618975639343262,0.4809487760066986,9.618975639343262,20.0,True,20.13381576538086,13.964000701904297,True,6.747877597808838,2.2667179107666016,True,6.631767272949219,2.3315041065216064,True,0.0,0.0,0.0,6.631767272949219,2.3315041065216064,True,none
drift_medium,0.0,0.0,42,0,True,98,24.912826538085938,1.2456413507461548,24.912826538085938,20.0,True,35.961143493652344,19.812545776367188,True,6.631767272949219,2.3315041065216064,True,6.520359516143799,2.4033701419830322,True,0.0,0.0,0.0,6.520359516143799,2.4033701419830322,True,none
drift_medium,0.0,0.0,42,0,True,97,14.377079963684082,0.7188540101051331,14.377079963684082,20.0,True,21.419166564941406,14.337074279785156,True,6.520359516143799,2.4033701419830322,True,6.462879657745361,2.4493393898010254,True,0.0,0.0,0.0,6.462879657745361,2.4493393898010254,True,none
drift_medium,0.0,0.0,42,0,True,96,17.820789337158203,0.8910394906997681,17.820789337158203,20.0,True,25.571224212646484,12.380203247070312,True,6.462879657745361,2.4493393898010254,True,6.4481964111328125,2.4099957942962646,True,0.0,0.0,0.0,6.4481964111328125,2.4099957942962646,True,none
drift_medium,0.0,0.0,42,0,True,95,23.121618270874023,1.156080961227417,23.121618270874023,20.0,True,30.15781021118164,21.66259765625,True,6.4481964111328125,2.4099957942962646,True,6.2795729637146,2.4968783855438232,True,0.0,0.0,0.0,6.2795729637146,2.4968783855438232,True,none
drift_medium,0.0,0.0,42,0,True,94,21.911775588989258,1.0955888032913208,21.911775588989258,20.0,True,33.076576232910156,18.660377502441406,True,6.2795729637146,2.4968783855438232,True,6.2611083984375,2.5216968059539795,True,0.0,0.0,0.0,6.2611083984375,2.5216968059539795,True,none
drift_medium,0.0,0.0,42,0,True,93,24.727712631225586,1.2363855838775635,24.727712631225586,20.0,True,32.39140319824219,16.5970458984375,True,6.2611083984375,2.5216968059539795,True,6.142791271209717,2.389698028564453,True,0.0,0.0,0.0,6.142791271209717,2.389698028564453,True,none
drift_medium,0.0,0.0,42,0,True,92,17.101573944091797,0.8550786972045898,17.101573944091797,20.0,True,28.434059143066406,12.594131469726562,True,6.142791271209717,2.389698028564453,True,5.976944446563721,2.2523860931396484,True,0.0,0.0,0.0,5.976944446563721,2.2523860931396484,True,none
drift_medium,0.0,0.0,42,0,True,91,18.48035430908203,0.9240177273750305,18.48035430908203,20.0,True,24.668306350708008,10.243099212646484,True,5.976944446563721,2.2523860931396484,True,5.883873462677002,2.188133716583252,True,0.0,0.0,0.0,5.883873462677002,2.188133716583252,True,none
drift_medium,0.0,0.0,42,0,True,90,28.43121337890625,1.4215606451034546,28.43121337890625,20.0,True,35.31515121459961,17.331939697265625,True,5.883873462677002,2.188133716583252,True,5.780505657196045,2.0211894512176514,True,0.0,0.0,0.0,5.780505657196045,2.0211894512176514,True,none
drift_medium,0.0,0.0,42,0,True,89,23.44468879699707,1.1722344160079956,23.44468879699707,20.0,True,26.788312911987305,13.686691284179688,True,5.780505657196045,2.0211894512176514,True,5.627442359924316,2.0863637924194336,True,0.0,0.0,0.0,5.627442359924316,2.0863637924194336,True,none
drift_medium,0.0,0.0,42,0,True,88,26.756038665771484,1.3378019332885742,26.756038665771484,20.0,True,29.667627334594727,15.5762939453125,True,5.627442359924316,2.0863637924194336,True,5.382757663726807,1.9541817903518677,True,0.0,0.0,0.0,5.382757663726807,1.9541817903518677,True,none
drift_medium,0.0,0.0,42,0,True,87,13.6907377243042,0.684536874294281,13.6907377243042,20.0,True,19.977924346923828,9.028274536132812,True,5.382757663726807,1.9541817903518677,True,5.3349175453186035,2.0389087200164795,True,0.0,0.0,0.0,5.3349175453186035,2.0389087200164795,True,none
drift_medium,0.0,0.0,42,0,True,86,15.795438766479492,0.7897719144821167,15.795438766479492,20.0,True,23.229707717895508,11.103218078613281,True,5.3349175453186035,2.0389087200164795,True,5.048344135284424,1.9139653444290161,True,0.0,0.0,0.0,5.048344135284424,1.9139653444290161,True,none
drift_medium,0.0,0.0,42,0,True,85,18.811538696289062,0.9405769109725952,18.811538696289062,20.0,True,21.546295166015625,11.43365478515625,True,5.048344135284424,1.9139653444290161,True,5.182095050811768,1.9069817066192627,True,0.0,0.0,0.0,5.182095050811768,1.9069817066192627,True,none
drift_medium,0.0,0.0,42,0,True,84,22.34313201904297,1.1171566247940063,22.34313201904297,20.0,True,25.58759880065918,14.56866455078125,True,5.182095050811768,1.9069817066192627,True,5.053196430206299,1.9591931104660034,True,0.0,0.0,0.0,5.053196430206299,1.9591931104660034,True,none
drift_medium,0.0,0.0,42,0,True,83,26.844837188720703,1.342241883277893,26.844837188720703,20.0,True,24.057823181152344,13.392234802246094,True,5.053196430206299,1.9591931104660034,True,5.082430839538574,2.149599552154541,True,0.0,0.0,0.0,5.082430839538574,2.149599552154541,True,none
drift_medium,0.0,0.0,42,0,True,82,16.47917366027832,0.823958694934845,16.47917366027832,20.0,True,17.162277221679688,8.88326644897461,True,5.082430839538574,2.149599552154541,True,5.255817413330078,2.0804240703582764,True,0.0,0.0,0.0,5.255817413330078,2.0804240703582764,True,none
drift_medium,0.0,0.0,42,0,True,81,16.367128372192383,0.8183563947677612,16.367128372192383,20.0,True,17.26873207092285,8.400989532470703,True,5.255817413330078,2.0804240703582764,True,5.267045497894287,1.9908250570297241,True,0.0,0.0,0.0,5.267045497894287,1.9908250570297241,True,none
drift_medium,0.0,0.0,42,0,True,80,13.86314582824707,0.6931573152542114,13.86314582824707,20.0,True,16.013275146484375,6.353466033935547,True,5.267045497894287,1.9908250570297241,True,5.308777809143066,2.002070903778076,True,0.0,0.0,0.0,5.308777809143066,2.002070903778076,True,none
drift_medium,0.0,0.0,42,0,True,79,15.893491744995117,0.7946745753288269,15.893491744995117,20.0,True,17.610576629638672,7.213245391845703,True,5.308777809143066,2.002070903778076,True,5.2042646408081055,2.0938048362731934,True,0.0,0.0,0.0,5.2042646408081055,2.0938048362731934,True,none
drift_medium,0.0,0.0,42,0,True,78,15.88131332397461,0.7940656542778015,15.88131332397461,20.0,True,20.314821243286133,8.254344940185547,True,5.2042646408081055,2.0938048362731934,True,4.992526531219482,1.9580737352371216,True,0.0,0.0,0.0,4.992526531219482,1.9580737352371216,True,none
drift_medium,0.0,0.0,42,0,True,77,10.294158935546875,0.5147079229354858,10.294158935546875,20.0,True,12.243178367614746,4.045682907104492,True,4.992526531219482,1.9580737352371216,True,5.039341926574707,2.123814821243286,True,0.0,0.0,0.0,5.039341926574707,2.123814821243286,True,none
drift_medium,0.0,0.0,42,0,True,76,19.3839111328125,0.969195544719696,19.3839111328125,20.0,True,24.545482635498047,11.920608520507812,True,5.039341926574707,2.123814821243286,True,5.090262413024902,1.9890167713165283,True,0.0,0.0,0.0,5.090262413024902,1.9890167713165283,True,none
drift_medium,0.0,0.0,42,0,True,75,11.136551856994629,0.5568276047706604,11.136551856994629,20.0,True,15.073317527770996,7.427890777587891,True,5.090262413024902,1.9890167713165283,True,4.919355869293213,1.973214030265808,True,0.0,0.0,0.0,4.919355869293213,1.973214030265808,True,none
drift_medium,0.0,0.0,42,0,True,74,12.003927230834961,0.600196361541748,12.003927230834961,20.0,True,14.461692810058594,6.587949752807617,True,4.919355869293213,1.973214030265808,True,4.857773303985596,2.07818341255188,True,0.0,0.0,0.0,4.857773303985596,2.07818341255188,True,none
drift_medium,0.0,0.0,42,0,True,73,15.730735778808594,0.7865368127822876,15.730735778808594,20.0,True,19.37295913696289,11.970848083496094,True,4.857773303985596,2.07818341255188,True,4.754586696624756,1.911197543144226,True,0.0,0.0,0.0,4.754586696624756,1.911197543144226,True,none
drift_medium,0.0,0.0,42,0,True,72,16.83431053161621,0.8417155146598816,16.83431053161621,20.0,True,16.46849822998047,8.918102264404297,True,4.754586696624756,1.911197543144226,True,4.671118259429932,2.011695623397827,True,0.0,0.0,0.0,4.671118259429932,2.011695623397827,True,none
drift_medium,0.0,0.0,42,0,True,71,26.148283004760742,1.307414174079895,26.148283004760742,20.0,True,20.004972457885742,9.273635864257812,True,4.671118259429932,2.011695623397827,True,4.705376625061035,2.0498082637786865,True,0.0,0.0,0.0,4.705376625061035,2.0498082637786865,True,none
drift_medium,0.0,0.0,42,0,True,70,20.43239974975586,1.0216200351715088,20.43239974975586,20.0,True,17.716472625732422,6.886524200439453,True,4.705376625061035,2.0498082637786865,True,4.674209117889404,1.8536113500595093,True,0.0,0.0,0.0,4.674209117889404,1.8536113500595093,True,none
drift_medium,0.0,0.0,42,0,True,69,20.628984451293945,1.0314491987228394,20.628984451293945,20.0,True,18.526329040527344,9.764808654785156,True,4.674209117889404,1.8536113500595093,True,4.637426853179932,1.710619568824768,True,0.0,0.0,0.0,4.637426853179932,1.710619568824768,True,none
drift_medium,0.0,0.0,42,0,True,68,12.372093200683594,0.6186046600341797,12.372093200683594,20.0,True,15.597103118896484,7.497554779052734,True,4.637426853179932,1.710619568824768,True,4.6454081535339355,1.729487419128418,True,0.0,0.0,0.0,4.6454081535339355,1.729487419128418,True,none
