condition,trajectory_id,t,eps,L_zero,L_minus,L_plus,delta_L_minus,delta_L_plus,ADE_zero,ADE_minus,ADE_plus,accel_zero,accel_minus,accel_plus,grad_norm,x_norm,update_norm_minus,update_norm_plus,update_to_x_ratio_minus,update_to_x_ratio_plus,finite_minus,finite_plus
gaussian_medium,0,1,1e-07,1.2651230096817017,1.2650530338287354,1.265202522277832,-6.99758529663086e-05,7.95125961303711e-05,0.05306968092918396,0.05306943133473396,0.053069960325956345,0.3071552515029907,0.3071551024913788,0.30715522170066833,27.61773109436035,7.439870834350586,2.761773109436035e-06,2.761773109436035e-06,3.7121250770702855e-07,3.7121250770702855e-07,True,True
gaussian_medium,0,1,1e-06,1.2651230096817017,1.2643622159957886,1.2658836841583252,-0.0007607936859130859,0.0007606744766235352,0.05306968092918396,0.053067080676555634,0.05307229608297348,0.3071552515029907,0.3071551024913788,0.30715519189834595,27.61773109436035,7.439870834350586,2.761773109436035e-05,2.761773109436035e-05,3.7121250770702858e-06,3.7121250770702858e-06,True,True
gaussian_medium,0,1,1e-05,1.2651230096817017,1.2574986219406128,1.2727543115615845,-0.007624387741088867,0.0076313018798828125,0.05306968092918396,0.05304364487528801,0.053095899522304535,0.3071552515029907,0.30715519189834595,0.30715513229370117,27.61773109436035,7.439870834350586,0.00027617731094360356,0.00027617731094360356,3.712125077070286e-05,3.712125077070286e-05,True,True
gaussian_medium,0,1,0.0001,1.2651230096817017,1.1891638040542603,1.3416739702224731,-0.0759592056274414,0.07655096054077148,0.05306968092918396,0.052816618233919144,0.053339868783950806,0.3071552515029907,0.30715540051460266,0.30715492367744446,27.61773109436035,7.439870834350586,0.0027617731094360352,0.0027617731094360352,0.0003712125077070286,0.0003712125077070286,True,True
gaussian_medium,0,1,0.001,1.2651230096817017,0.5712970495223999,2.04606556892395,-0.6938259601593018,0.7809425592422485,0.05306968092918396,0.05114148184657097,0.05705151706933975,0.3071552515029907,0.30715829133987427,0.30715212225914,27.61773109436035,7.439870834350586,0.027617731094360352,0.027617731094360352,0.0037121250770702856,0.0037121250770702856,True,True
gaussian_medium,0,1,0.01,1.2651230096817017,6.917569160461426,9.295537948608398,5.652446150779724,8.030414938926697,0.05306968092918396,0.09392939507961273,0.13369783759117126,0.3071552515029907,0.3071931004524231,0.30713915824890137,27.61773109436035,7.439870834350586,0.27617731094360354,0.27617731094360354,0.03712125077070286,0.03712125077070286,True,True
gaussian_medium,0,3,1e-07,2.258833646774292,2.258759021759033,2.2589030265808105,-7.462501525878906e-05,6.937980651855469e-05,0.05671757459640503,0.05671689659357071,0.05671814829111099,0.3021518886089325,0.3021518588066101,0.3021519184112549,27.082324981689453,7.457982540130615,2.708232498168945e-06,2.708232498168945e-06,3.6313205127470726e-07,3.6313205127470726e-07,True,True
gaussian_medium,0,3,1e-06,2.258833646774292,2.258099317550659,2.259566307067871,-0.0007343292236328125,0.0007326602935791016,0.05671757459640503,0.05671127885580063,0.056723810732364655,0.3021518886089325,0.30215176939964294,0.3021518588066101,27.082324981689453,7.457982540130615,2.7082324981689453e-05,2.7082324981689453e-05,3.6313205127470726e-06,3.6313205127470726e-06,True,True
gaussian_medium,0,3,1e-05,2.258833646774292,2.2515041828155518,2.266169309616089,-0.007329463958740234,0.007335662841796875,0.05671757459640503,0.056655146181583405,0.05678017809987068,0.3021518886089325,0.3021516799926758,0.30215197801589966,27.082324981689453,7.457982540130615,0.00027082324981689455,0.00027082324981689455,3.631320512747073e-05,3.631320512747073e-05,True,True
gaussian_medium,0,3,0.0001,2.258833646774292,2.185676336288452,2.33235764503479,-0.07315731048583984,0.07352399826049805,0.05671757459640503,0.05610136315226555,0.05735164135694504,0.3021518886089325,0.3021507263183594,0.30215296149253845,27.082324981689453,7.457982540130615,0.0027082324981689454,0.0027082324981689454,0.0003631320512747073,0.0003631320512747073,True,True
