condition,variant,low_conf_ADE_y,low_conf_ADE_fused,low_conf_improvement,low_conf_pass_status
gaussian_medium,multit,0.1051993519067764,0.0996705442667007,0.0055288076400756,PASS
gaussian_medium,t1,0.1051993519067764,0.1031283140182495,0.0020710378885269,PASS
gaussian_medium,t2,0.1051993519067764,0.1014405786991119,0.0037587732076644,PASS
gaussian_medium,t3,0.1051993519067764,0.0996705442667007,0.0055288076400756,PASS
drift_medium,multit,0.0645186156034469,0.0610290728509426,0.0034895427525043,PASS
drift_medium,t1,0.0645186156034469,0.0632923766970634,0.0012262389063835,PASS
drift_medium,t2,0.0645186156034469,0.062122244387865,0.0023963712155818,PASS
drift_medium,t3,0.0645186156034469,0.0610290728509426,0.0034895427525043,PASS
burst_medium,multit,0.2019364833831787,0.194985806941986,0.0069506764411926,PASS
burst_medium,t1,0.2019364833831787,0.1981452107429504,0.0037912726402282,PASS
burst_medium,t2,0.2019364833831787,0.1962259709835052,0.0057105123996734,PASS
burst_medium,t3,0.2019364833831787,0.194985806941986,0.0069506764411926,PASS
bias_medium,multit,0.3117039501667022,0.3115652203559875,0.0001387298107147,PASS
bias_medium,t1,0.3117039501667022,0.3116997182369232,4.231929779052734e-06,PASS
bias_medium,t2,0.3117039501667022,0.3115794658660888,0.0001244843006134,PASS
bias_medium,t3,0.3117039501667022,0.3115652203559875,0.0001387298107147,PASS
jump_medium,multit,0.454885870218277,0.4405713677406311,0.0143145024776458,PASS
jump_medium,t1,0.454885870218277,0.4492788910865783,0.0056069791316986,PASS
jump_medium,t2,0.454885870218277,0.4451663494110107,0.0097195208072662,PASS
jump_medium,t3,0.454885870218277,0.4405713677406311,0.0143145024776458,PASS
combined_medium,multit,0.3483329713344574,0.34589284658432,0.0024401247501373,PASS
combined_medium,t1,0.3483329713344574,0.3474182784557342,0.0009146928787231,PASS
combined_medium,t2,0.3483329713344574,0.3466629683971405,0.0016700029373168,PASS
combined_medium,t3,0.3483329713344574,0.34589284658432,0.0024401247501373,PASS
