condition,ADE_t1,ADE_t2,ADE_t3,ADE_multit_bin,best_variant,t3_minus_t2,t3_minus_t1,multit_minus_t3,t3_improves_over_t1,t3_improves_over_t2,multit_improves_over_all_single_t
gaussian_medium,0.0614173114299774,0.0606435388326644,0.0598416477441787,0.0602010078728199,t3,-0.000801891088485697,-0.0015756636857987005,0.00035936012864119793,True,True,False
drift_medium,0.0351467505097389,0.0346554219722747,0.034238301217556,0.0343259461224079,t3,-0.00041712075471869725,-0.0009084492921829015,8.764490485189957e-05,True,True,False
burst_medium,0.0714925974607467,0.0717391520738601,0.0725753158330917,0.0711922347545623,multit_bin,0.0008361637592315951,0.0010827183723449985,-0.0013830810785293995,False,False,True
bias_medium,0.1870599836111068,0.1870337277650833,0.1870399862527847,0.1870397627353668,t2,6.25848770138826e-06,-1.9997358322088044e-05,-2.2351741790771484e-07,True,False,False
jump_medium,0.2578508257865906,0.2559114694595337,0.2537451088428497,0.2549013495445251,t3,-0.0021663606166840155,-0.0041057169437409,0.001156240701675415,True,True,False
combined_medium,0.2059965282678604,0.2057013064622879,0.2053322792053222,0.2055129408836364,t3,-0.0003690272569656927,-0.0006642490625382025,0.00018066167831418123,True,True,False
