method,condition,metric,N,mean,std,median,min,max,p05,p25,p75,p95,source_file
kalman_cv_dt1.0_q1e-3_r1e-2,span10_fixed_seed42,ADE,36073,0.0063203847967088,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span10_fixed_seed42,FDE,36073,0.0065427497029304,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span10_fixed_seed42,RMSE,36073,0.0082186963409185,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span10_fixed_seed42,masked_ADE,36073,0.0195986405014991,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span10_fixed_seed42,masked_RMSE,36073,0.0201790239661932,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span10_fixed_seed42,off_map_ratio,36073,1.1088625842042525e-05,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span10_fixed_seed42,wall_crossing_count,36073,0,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_fixed_seed42,ADE,36073,0.009910425171256,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_fixed_seed42,FDE,36073,0.006445366423577,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
kalman_cv_dt1.0_q1e-3_r1e-2,span20_fixed_seed42,RMSE,36073,0.0158005412667989,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
