method,ADE_mean,ADE_std,delta_vs_noisy_pct,improved_fraction,wilcoxon_p,smooth_mean
noisy_input,0.0625665709376335,0.0077235023491084,0.0,0.0,,0.231923297047615
linear_interp,0.0625665709376335,0.0077235023491084,0.0,0.0,,0.231923297047615
savgol_w5_p2,0.0656057670712471,0.0328150391578674,4.857539878033,0.72,0.0233573685326845,0.0929298847913742
kalman_cv,0.0850017145276069,0.0281151682138443,35.85803609460521,0.235,1.0,0.1051858738064765
uncond_sdedit_t2,0.0608118139207363,0.0083935027942061,-2.80462392392632,0.765,1.6748602016999211e-13,0.2240153104066848
cond_residual_t20,0.0556953996419906,0.0162482094019651,-10.982176572361782,0.73,5.3349935580371266e-11,0.1619591861963272
