trajectory_id,ADE_noisy,ADE_cond,ADE_improvement_noisy_minus_cond,offset_noisy_x,offset_noisy_y,offset_cond_x,offset_cond_y,offset_norm_noisy,offset_norm_cond,offset_norm_improvement,offset_norm_rel_improvement,global_correction_cosine,global_correction_ratio,shape_centered_ADE_noisy,shape_centered_ADE_cond,shape_centered_ADE_improvement
0,0.16255590319633484,0.17902818322181702,-0.016472280025482178,0.0457075834274292,-0.15599755942821503,0.05150341987609863,-0.17116260528564453,0.16255590319633484,0.17874349653720856,-0.016187593340873718,-0.09958170354366302,-0.9967992901802063,0.09987235814332962,5.5134297127779064e-08,0.012813988141715527,-0.012813933193683624
1,0.10812220722436905,0.09521837532520294,0.012903831899166107,0.03663443773984909,0.10172677040100098,0.03409033641219139,0.08767540752887726,0.10812223702669144,0.09406980127096176,0.014052435755729675,0.1299680471420288,0.986162543296814,0.132070854306221,2.2518202413834842e-08,0.016009371727705002,-0.01600934937596321
2,0.21743659675121307,0.27563387155532837,-0.058197274804115295,0.21689438819885254,0.01534577738493681,0.27463358640670776,-0.02052098885178566,0.21743658185005188,0.27539920806884766,-0.057962626218795776,-0.2665725648403168,-0.810092568397522,0.31260767579078674,1.680690964178666e-08,0.019627731293439865,-0.019627714529633522
3,0.11595632135868073,0.12342647463083267,-0.007470153272151947,-0.0686798095703125,-0.0934288501739502,-0.08536572754383087,-0.08859006315469742,0.11595631390810013,0.12302644550800323,-0.007070131599903107,-0.06097237393260002,-0.3444455564022064,0.1498267650604248,0.0,0.01572013460099697,-0.01572013460099697
4,0.1976463496685028,0.17775128781795502,0.01989506185054779,-0.07543738931417465,0.18268351256847382,-0.06243821233510971,0.16617067158222198,0.19764630496501923,0.1775140017271042,0.02013230323791504,0.10186025500297546,0.9623481035232544,0.10632917284965515,6.548373931991591e-08,0.018807295709848404,-0.01880723051726818
5,0.10102866590023041,0.10375215858221054,-0.002723492681980133,-0.09996557235717773,0.014617672190070152,-0.10274245589971542,-0.00393199035897851,0.10102866590023041,0.10281766951084137,-0.001789003610610962,-0.017707880586385727,-0.003398546716198325,0.18565383553504944,1.545995509388831e-08,0.016393277794122696,-0.016393262892961502
6,0.20763102173805237,0.21704383194446564,-0.009412810206413269,-0.04614377021789551,0.2024385929107666,-0.051263291388750076,0.210750013589859,0.20763099193572998,0.21689511835575104,-0.009264126420021057,-0.04461822658777237,-0.946699857711792,0.04701414331793785,1.1920929132713809e-08,0.011668159626424313,-0.011668147519230843
7,0.2243618220090866,0.20723295211791992,0.017128869891166687,0.08559839427471161,0.20739126205444336,0.0797966793179512,0.1911637783050537,0.22436180710792542,0.207149937748909,0.01721186935901642,0.07671479135751724,0.9988444447517395,0.07681088149547577,6.075502057001358e-08,0.013174970634281635,-0.013174910098314285
8,0.102228082716465,0.12270946800708771,-0.02048138529062271,0.07295726984739304,-0.0716087818145752,0.09430062025785446,-0.0778731256723404,0.102228082716465,0.12229812145233154,-0.020070038735866547,-0.19632607698440552,-0.8820575475692749,0.21758858859539032,1.2665987370041876e-08,0.013735642656683922,-0.013735629618167877
9,0.12708108127117157,0.12660977244377136,0.0004713088274002075,-0.08626662939786911,-0.09331488609313965,-0.10682201385498047,-0.06609797477722168,0.12708106637001038,0.12561801075935364,0.0014630556106567383,0.011512774042785168,0.17684321105480194,0.2683873176574707,1.3411044719191523e-08,0.016396012157201767,-0.016395999118685722
10,0.1291222870349884,0.1443648636341095,-0.015242576599121094,-0.12389254570007324,0.03637588024139404,-0.13288982212543488,0.05593196302652359,0.1291223019361496,0.1441807597875595,-0.015058457851409912,-0.11662166565656662,-0.6569633483886719,0.16671423614025116,2.2351742678949904e-09,0.00883999839425087,-0.00883999653160572
11,0.12199655920267105,0.13984672725200653,-0.01785016804933548,0.015702247619628906,-0.12098179012537003,-0.007941603660583496,-0.13898763060569763,0.12199652940034866,0.13921433687210083,-0.017217807471752167,-0.14113359153270721,-0.49842342734336853,0.24360834062099457,1.1175870895385742e-08,0.017596233636140823,-0.017596222460269928
12,0.14866036176681519,0.13406164944171906,0.01459871232509613,-0.14568471908569336,-0.02959495782852173,-0.13184338808059692,-0.021004818379878998,0.148660346865654,0.13350611925125122,0.015154227614402771,0.10193859785795212,0.9376384615898132,0.10958050191402435,0.0,0.014954069629311562,-0.014954069629311562
