condition,zeta,ADE_mean_over_seeds,ADE_std_over_seeds,E3_fused_ADE,ADE_delta_vs_E3_fused,ADE_improvement_percent_vs_E3,high_conf_ADE,E3_fused_high_conf_ADE,high_conf_ratio_vs_E3,acceleration_RMS,E3_fused_acceleration_RMS,acceleration_ratio_vs_E3,likelihood_before,likelihood_after,likelihood_decreased,nan_inf_cases
bias_medium,0.3,0.9250309268633524,0.022903437552898937,0.18705998361110687,0.7379709283510844,-394.51032177275766,0.9612606366475424,0.04062176123261452,23.66368683876175,0.23029703895250955,0.20567038655281067,1.11973844563848,0.19650842249393463,72.23241933186848,False,0
bias_medium,1.0,2.944676717122396,0.06744652046939088,0.18705998361110687,2.7576168378194175,-1474.1884823663338,3.2008492946624756,0.04062176123261452,78.79641841064657,0.3323198656241099,0.20567038655281067,1.6157885984172984,0.19650842249393463,237.02641805013022,False,0
bias_medium,3.0,9.200140317281088,0.16591757024083692,0.18705998361110687,9.013079961140951,-4818.28350440143,10.052141825358072,0.04062176123261452,247.45706538414143,0.5839508771896362,0.20567038655281067,2.83925599099165,0.19650842249393463,741.7060139973959,False,0
burst_medium,0.3,0.9871498346328735,0.01262891553164266,0.07149259746074677,0.9156572222709656,-1280.772093467259,1.0014010469118755,0.0033015089575201273,303.31616839351574,0.4298948546250661,0.4418436288833618,0.9729570067842939,0.635937511920929,78.36108144124348,False,0
burst_medium,1.0,3.047988494237264,0.043472346294672524,0.07149259746074677,2.9764958222707114,-4163.362365468358,3.123958428700765,0.0033015089575201273,946.2214002433826,0.49867751200993854,0.4418436288833618,1.1286289524423125,0.635937511920929,243.85164896647134,False,0
burst_medium,3.0,9.358302116394043,0.13375740421719937,0.07149259746074677,9.286809921264648,-12989.889651207943,9.593883514404297,0.0033015089575201273,2905.908673230007,0.7022883296012878,0.4418436288833618,1.5894499404147306,0.635937511920929,747.4873250325521,False,0
combined_medium,0.3,0.9553852677345276,0.003490297387553482,0.2059965282678604,0.7493887543678284,-363.7870724171747,0.9281050761540731,0.04521172493696213,20.527973162893318,0.29153714577356976,0.280832439661026,1.0381177691774663,0.2857791781425476,73.96837870279948,False,0
combined_medium,1.0,2.951047976811727,0.02600215781438703,0.2059965282678604,2.745051463445028,-1332.5717047883616,2.9747164249420166,0.04521172493696213,65.79524291739828,0.36954785386721295,0.280832439661026,1.3159015899775304,0.2857791781425476,235.73116556803384,False,0
combined_medium,3.0,9.288535753885904,0.09438584753359491,0.2059965282678604,9.082539240519205,-4409.073930512013,9.45802116394043,0.04521172493696213,209.19399065458293,0.6176918546358744,0.280832439661026,2.19950321758216,0.2857791781425476,744.7412923177084,False,0
drift_medium,0.3,0.9252327481905619,0.022449182470930362,0.03514675050973892,0.8900859753290812,-2532.484468042604,0.4156335691610972,0.00482790544629097,86.08983207829951,0.22933010260264078,0.2072746306657791,1.1064070015033587,0.2692013382911682,72.84130350748698,False,0
drift_medium,1.0,2.9714574813842773,0.06826540665384336,0.03514675050973892,2.9363107681274414,-8354.430177153667,1.3322560389836628,0.00482790544629097,275.94907435628556,0.3245555063088735,0.2072746306657791,1.5658235900186184,0.2692013382911682,233.71741231282553,False,0
drift_medium,3.0,9.27418295542399,0.1808229904906457,0.03514675050973892,9.239036242167154,-26287.028163113337,4.176405111948649,0.00482790544629097,865.0552829606813,0.5581286152203878,0.2072746306657791,2.6927010480136606,0.2692013382911682,727.0758056640625,False,0
gaussian_medium,0.3,0.923167089621226,0.011029230929979527,0.06141731142997742,0.8617498079935709,-1403.1056686252691,0.919041653474172,0.013773074373602867,66.72741528467925,0.2897881269454956,0.27954360842704773,1.0366473001335725,0.3115575313568115,73.92449696858723,False,0
gaussian_medium,1.0,2.9336725870768228,0.038477480850164315,0.06141731142997742,2.872255245844523,-4676.621637730816,2.903605858484904,0.013773074373602867,210.81755457952676,0.3687680860360463,0.27954360842704773,1.31917910093188,0.3115575313568115,235.70966593424478,False,0
gaussian_medium,3.0,9.294615745544434,0.13679231163844938,0.06141731142997742,9.233198165893555,-15033.543831760417,9.240286827087402,0.013773074373602867,670.8950069126982,0.6166060169537863,0.27954360842704773,2.205759668136721,0.3115575313568115,746.605224609375,False,0
jump_medium,0.3,1.0393329858779907,0.010252646144869369,0.2578508257865906,0.7814821600914001,-303.07529855971507,0.4725084900856018,0.0,472508490085.6018,0.34832080205281574,0.35251474380493164,0.9881027905192055,0.43521007895469666,82.93531799316406,False,0
jump_medium,1.0,3.2941160996754966,0.030984014519519,0.2578508257865906,3.036265214284261,-1177.52784565517,1.5133633613586426,0.0,1513363361358.6426,0.4253440499305725,0.35251474380493164,1.2065993193349718,0.43521007895469666,264.2381286621094,False,0
jump_medium,3.0,10.166657129923502,0.08570252336211462,0.2578508257865906,9.908806482950846,-3842.8445105457618,4.676390806833903,0.0,4676390806833.903,0.6441861987113953,0.35251474380493164,1.8274021442571593,0.43521007895469666,811.2883504231771,False,0
