seed,zeta,t,loss_mean,loss_before_guidance_sum,grad_norm_mean,grad_norm_max,update_to_x_ratio_mean,update_to_x_ratio_max,x_after_isfinite,loss_isfinite,grad_isfinite,condition
42,0.3,5,3.2213516235351562,3221.3515625,22.063621520996094,32.34800338745117,1.1375436782836914,3.7213807106018066,True,True,True,gaussian_medium
42,0.3,4,182.86375427246094,182863.75,28.791805267333984,31.413312911987305,0.9577521085739136,2.1376655101776123,True,True,True,gaussian_medium
42,0.3,3,66.08097839355469,66080.9765625,28.613027572631836,31.620223999023438,1.3019819259643555,3.3201241493225098,True,True,True,gaussian_medium
42,0.3,2,181.1566619873047,181156.65625,28.94903564453125,31.08283233642578,0.9687807559967041,2.2428207397460938,True,True,True,gaussian_medium
42,0.3,1,71.0262680053711,71026.265625,29.022951126098633,31.175199508666992,1.306182622909546,3.418959617614746,True,True,True,gaussian_medium
42,0.3,0,183.0998992919922,183099.90625,29.150217056274414,31.28499984741211,0.9680803418159485,2.1792221069335938,True,True,True,gaussian_medium
43,0.3,5,3.2095980644226074,3209.59814453125,21.84596061706543,31.907690048217773,1.1211665868759155,3.7346205711364746,True,True,True,gaussian_medium
43,0.3,4,180.5976104736328,180597.609375,28.810184478759766,32.497764587402344,0.9647758603096008,2.327960252761841,True,True,True,gaussian_medium
43,0.3,3,68.26953125,68269.53125,28.60657501220703,32.08148193359375,1.2940247058868408,3.5324478149414062,True,True,True,gaussian_medium
43,0.3,2,178.82196044921875,178821.953125,28.92786979675293,31.604272842407227,0.9711424708366394,2.461916208267212,True,True,True,gaussian_medium
43,0.3,1,73.11499786376953,73115.0,29.020431518554688,31.15329933166504,1.299363136291504,3.3114817142486572,True,True,True,gaussian_medium
43,0.3,0,180.9589385986328,180958.9375,29.144121170043945,31.396942138671875,0.9708060026168823,2.3686630725860596,True,True,True,gaussian_medium
44,0.3,5,3.2872207164764404,3287.220703125,22.12837028503418,30.779136657714844,1.1419882774353027,3.941913366317749,True,True,True,gaussian_medium
44,0.3,4,182.81649780273438,182816.5,28.714258193969727,32.20880889892578,0.9446892738342285,2.186272382736206,True,True,True,gaussian_medium
44,0.3,3,65.28263854980469,65282.640625,28.511507034301758,31.732006072998047,1.3013813495635986,4.0946197509765625,True,True,True,gaussian_medium
44,0.3,2,180.9193572998047,180919.359375,28.9505672454834,31.123355865478516,0.960911750793457,2.304367780685425,True,True,True,gaussian_medium
44,0.3,1,71.25039672851562,71250.3984375,29.012083053588867,31.333030700683594,1.3089485168457031,4.010143280029297,True,True,True,gaussian_medium
44,0.3,0,182.78224182128906,182782.234375,29.148344039916992,31.413623809814453,0.9605686068534851,2.296164035797119,True,True,True,gaussian_medium
42,1.0,5,3.2213516235351562,3221.3515625,22.063621520996094,32.34800338745117,3.7918121814727783,12.404603004455566,True,True,True,gaussian_medium
42,1.0,4,608.8260498046875,608826.0625,28.097156524658203,30.269704818725586,1.28200101852417,3.2933828830718994,True,True,True,gaussian_medium
42,1.0,3,202.1479949951172,202148.0,28.125518798828125,31.488588333129883,2.896574020385742,7.600017070770264,True,True,True,gaussian_medium
42,1.0,2,606.688720703125,606688.75,28.602102279663086,30.691011428833008,1.3256160020828247,3.2750301361083984,True,True,True,gaussian_medium
42,1.0,1,224.42372131347656,224423.71875,28.94110870361328,31.133604049682617,2.8918228149414062,6.735700607299805,True,True,True,gaussian_medium
42,1.0,0,619.1231079101562,619123.125,29.041400909423828,31.145214080810547,1.333164095878601,3.2256319522857666,True,True,True,gaussian_medium
43,1.0,5,3.2095980644226074,3209.59814453125,21.84596061706543,31.907690048217773,3.737222194671631,12.448734283447266,True,True,True,gaussian_medium
43,1.0,4,601.6729736328125,601673.0,28.132823944091797,30.402324676513672,1.3091180324554443,3.790508508682251,True,True,True,gaussian_medium
43,1.0,3,210.0722198486328,210072.21875,28.113176345825195,32.70294952392578,2.8705482482910156,8.177367210388184,True,True,True,gaussian_medium
43,1.0,2,598.199951171875,598199.9375,28.5926456451416,30.714080810546875,1.3560129404067993,4.794366359710693,True,True,True,gaussian_medium
43,1.0,1,232.49996948242188,232499.96875,28.94643783569336,30.860187530517578,2.865527629852295,7.8552327156066895,True,True,True,gaussian_medium
43,1.0,0,611.1666259765625,611166.625,29.04084014892578,31.150100708007812,1.3639875650405884,4.6749701499938965,True,True,True,gaussian_medium
44,1.0,5,3.2872207164764404,3287.220703125,22.12837028503418,30.779136657714844,3.806627035140991,13.139710426330566,True,True,True,gaussian_medium
44,1.0,4,609.0062255859375,609006.25,28.059619903564453,30.479244232177734,1.282699465751648,4.033228397369385,True,True,True,gaussian_medium
44,1.0,3,200.54539489746094,200545.390625,27.942893981933594,31.37689971923828,2.9299466609954834,7.7161478996276855,True,True,True,gaussian_medium
44,1.0,2,601.9037475585938,601903.75,28.59164810180664,30.994190216064453,1.3448125123977661,3.8464484214782715,True,True,True,gaussian_medium
44,1.0,1,228.8650665283203,228865.0625,28.941469192504883,30.951801300048828,2.9226574897766113,6.983649730682373,True,True,True,gaussian_medium
44,1.0,0,614.6495971679688,614649.625,29.04167366027832,31.21563148498535,1.354189395904541,3.836735248565674,True,True,True,gaussian_medium
42,3.0,5,3.2213516235351562,3221.3515625,22.063621520996094,32.34800338745117,11.375435829162598,37.21380615234375,True,True,True,gaussian_medium
42,3.0,4,1817.826171875,1817826.125,28.056337356567383,30.27904510498047,1.3635225296020508,4.972591400146484,True,True,True,gaussian_medium
42,3.0,3,600.3040771484375,600304.0625,27.736713409423828,30.567249298095703,3.803959369659424,9.285782814025879,True,True,True,gaussian_medium
42,3.0,2,1786.3909912109375,1786391.0,28.574085235595703,30.705657958984375,1.4362187385559082,4.83296012878418,True,True,True,gaussian_medium
42,3.0,1,699.2212524414062,699221.25,28.820133209228516,30.99300765991211,3.6135494709014893,9.083677291870117,True,True,True,gaussian_medium
42,3.0,0,1817.9912109375,1817991.25,29.031850814819336,31.146106719970703,1.4511516094207764,4.706240653991699,True,True,True,gaussian_medium
43,3.0,5,3.2095980644226074,3209.59814453125,21.84596061706543,31.907690048217773,11.211666107177734,37.3462028503418,True,True,True,gaussian_medium
43,3.0,4,1796.5701904296875,1796570.25,28.068134307861328,30.100828170776367,1.3854155540466309,4.85633659362793,True,True,True,gaussian_medium
43,3.0,3,622.2520751953125,622252.0625,27.657196044921875,30.30239486694336,3.7337560653686523,13.348130226135254,True,True,True,gaussian_medium
43,3.0,2,1756.987548828125,1756987.5,28.56167984008789,30.636831283569336,1.46970796585083,5.160731315612793,True,True,True,gaussian_medium
43,3.0,1,727.5049438476562,727504.9375,28.820199966430664,30.76287841796875,3.545259714126587,8.223856925964355,True,True,True,gaussian_medium
43,3.0,0,1789.763427734375,1789763.375,29.028072357177734,31.1556339263916,1.4841541051864624,4.973626613616943,True,True,True,gaussian_medium
44,3.0,5,3.2872207164764404,3287.220703125,22.12837028503418,30.779136657714844,11.419880867004395,39.41912841796875,True,True,True,gaussian_medium
44,3.0,4,1819.21728515625,1819217.25,28.012115478515625,30.243764877319336,1.374618649482727,5.971998691558838,True,True,True,gaussian_medium
44,3.0,3,594.8928833007812,594892.875,27.531322479248047,30.883495330810547,3.871490716934204,10.877912521362305,True,True,True,gaussian_medium
44,3.0,2,1771.1907958984375,1771190.75,28.54587173461914,30.72487449645996,1.464944839477539,5.402071475982666,True,True,True,gaussian_medium
44,3.0,1,711.5903930664062,711590.375,28.809051513671875,30.87626075744629,3.658837080001831,8.925997734069824,True,True,True,gaussian_medium
44,3.0,0,1804.6492919921875,1804649.25,29.030126571655273,31.16778564453125,1.4813008308410645,5.0269083976745605,True,True,True,gaussian_medium
42,0.3,5,2.4177751541137695,2417.775146484375,20.950292587280273,31.041690826416016,1.4208621978759766,7.680157661437988,True,True,True,drift_medium
42,0.3,4,166.56307983398438,166563.078125,27.95677947998047,32.57952117919922,1.0831317901611328,3.0903663635253906,True,True,True,drift_medium
42,0.3,3,68.63245391845703,68632.453125,27.92637825012207,33.139442443847656,1.4257677793502808,6.517159938812256,True,True,True,drift_medium
42,0.3,2,166.95660400390625,166956.609375,28.212257385253906,32.61390686035156,1.0876669883728027,3.204017400741577,True,True,True,drift_medium
42,0.3,1,72.76556396484375,72765.5625,28.225250244140625,32.789947509765625,1.4288136959075928,6.426440715789795,True,True,True,drift_medium
42,0.3,0,168.21783447265625,168217.828125,28.35572624206543,32.72877502441406,1.0894032716751099,3.2760796546936035,True,True,True,drift_medium
43,0.3,5,2.4484329223632812,2448.432861328125,21.101987838745117,31.476585388183594,1.4207367897033691,7.355962753295898,True,True,True,drift_medium
43,0.3,4,167.740234375,167740.234375,27.949586868286133,34.314125061035156,1.0966557264328003,5.601241111755371,True,True,True,drift_medium
43,0.3,3,67.3351821899414,67335.1796875,27.912078857421875,33.345375061035156,1.423692226409912,5.9760518074035645,True,True,True,drift_medium
43,0.3,2,168.0859832763672,168085.984375,28.202632904052734,32.661312103271484,1.0952520370483398,4.408012390136719,True,True,True,drift_medium
43,0.3,1,71.4727783203125,71472.78125,28.213815689086914,32.97834396362305,1.4349701404571533,6.485023021697998,True,True,True,drift_medium
43,0.3,0,169.34584045410156,169345.84375,28.352937698364258,32.72101974487305,1.0950490236282349,3.8805723190307617,True,True,True,drift_medium
44,0.3,5,2.4628822803497314,2462.88232421875,21.377233505249023,30.838869094848633,1.45740807056427,8.039677619934082,True,True,True,drift_medium
44,0.3,4,170.4683074951172,170468.3125,27.97974967956543,33.416412353515625,1.0551161766052246,3.401049852371216,True,True,True,drift_medium
44,0.3,3,64.69750213623047,64697.50390625,27.95050048828125,33.51954650878906,1.4680296182632446,5.931815147399902,True,True,True,drift_medium
44,0.3,2,170.914306640625,170914.3125,28.176528930664062,32.78314208984375,1.0556399822235107,3.440761089324951,True,True,True,drift_medium
44,0.3,1,68.41278076171875,68412.78125,28.215396881103516,32.758445739746094,1.476134181022644,6.110522747039795,True,True,True,drift_medium
44,0.3,0,172.4329833984375,172432.984375,28.349563598632812,32.7886962890625,1.0578618049621582,3.480428457260132,True,True,True,drift_medium
42,1.0,5,2.4177751541137695,2417.775146484375,20.950292587280273,31.041690826416016,4.736207008361816,25.60052490234375,True,True,True,drift_medium
42,1.0,4,556.056640625,556056.625,27.356735229492188,31.793668746948242,1.3573037385940552,5.663424968719482,True,True,True,drift_medium
42,1.0,3,213.493408203125,213493.40625,27.427684783935547,32.48570251464844,2.7223830223083496,9.850696563720703,True,True,True,drift_medium
42,1.0,2,556.9194946289062,556919.5,27.847097396850586,32.11985397338867,1.4001497030258179,5.850956916809082,True,True,True,drift_medium
