condition,seed,zeta,N,ADE,RMSE,acceleration_RMS,high_conf_ADE,mid_conf_ADE,low_conf_ADE,E3_fused_ADE,E3_fused_acceleration_RMS,E3_fused_high_conf_ADE,E3_fused_mid_conf_ADE,E3_fused_low_conf_ADE,win_rate_vs_E3_fused,ADE_delta_vs_E3_fused,ADE_ratio_vs_E3_fused,high_conf_delta_vs_E3_fused,high_conf_ratio_vs_E3_fused,acceleration_ratio_vs_E3_fused,likelihood_norm_before_DPS,likelihood_norm_after_DPS,likelihood_delta_after_minus_before,likelihood_decreased,update_to_x_ratio,finite,nan_inf_cases
gaussian_medium,42,0.3,1000,0.9138773083686829,1.0295268297195435,0.2901206612586975,0.8897184729576111,0.9194368124008179,0.9110062122344971,0.06141731142997742,0.27954360842704773,0.013773074373602867,0.04587410017848015,0.09514060616493225,0.0,0.8524600267410278,14.879799842834473,0.8759453985840082,64.59839312730521,1.0378369092941284,0.3115575313568115,73.13017272949219,72.81861877441406,False,3.7213807106018066,True,0
gaussian_medium,43,0.3,1000,0.9386628270149231,1.057886004447937,0.2892099618911743,0.9437722563743591,0.9484120607376099,0.9230372905731201,0.06141731142997742,0.27954360842704773,0.013773074373602867,0.04587410017848015,0.09514060616493225,0.0,0.8772455453872681,15.28335952758789,0.9299991820007563,68.52299136517912,1.0345790386199951,0.3115575313568115,75.20743560791016,74.89588165283203,False,3.7346205711364746,True,0
gaussian_medium,44,0.3,1000,0.916961133480072,1.0332012176513672,0.290033757686615,0.9236342310905457,0.9200809597969055,0.9108368158340454,0.06141731142997742,0.27954360842704773,0.013773074373602867,0.04587410017848015,0.09514060616493225,0.0,0.855543851852417,14.930010795593262,0.9098611567169428,67.06086136155339,1.03752601146698,0.3115575313568115,73.43588256835938,73.12432861328125,False,4.0946197509765625,True,0
gaussian_medium,42,1.0,1000,2.8846328258514404,3.2541205883026123,0.3677598834037781,2.8049871921539307,2.9073822498321533,2.8685972690582275,0.06141731142997742,0.27954360842704773,0.013773074373602867,0.04587410017848015,0.09514060616493225,0.0,2.8232154846191406,46.96774673461914,2.791214117780328,203.65730381372947,1.3155725002288818,0.3115575313568115,231.5721435546875,231.26058959960938,False,12.404603004455566,True,0
gaussian_medium,43,1.0,1000,2.9786155223846436,3.3634541034698486,0.3695235550403595,2.9888007640838623,3.00905442237854,2.93111515045166,0.06141731142997742,0.27954360842704773,0.013773074373602867,0.04587410017848015,0.09514060616493225,0.0,2.9171981811523438,48.49797821044922,2.9750276897102594,217.0031674127981,1.321881651878357,0.3115575313568115,239.48284912109375,239.17129516601562,False,12.448734283447266,True,0
gaussian_medium,44,1.0,1000,2.9377694129943848,3.3159589767456055,0.36902081966400146,2.917029619216919,2.958542585372925,2.9115307331085205,0.06141731142997742,0.27954360842704773,0.013773074373602867,0.04587410017848015,0.09514060616493225,0.0,2.876352071762085,47.83292007446289,2.903256544843316,211.79219251205276,1.3200831413269043,0.3115575313568115,236.07400512695312,235.762451171875,False,13.139710426330566,True,0
gaussian_medium,42,3.0,1000,9.130471229553223,10.29601764678955,0.6170464158058167,8.933218955993652,9.199310302734375,9.072189331054688,0.06141731142997742,0.27954360842704773,0.013773074373602867,0.04587410017848015,0.09514060616493225,0.0,9.069053649902344,148.66282653808594,8.91944588162005,648.6002118099964,2.2073349952697754,0.3115575313568115,732.9415283203125,732.6299438476562,False,37.21380615234375,True,0
gaussian_medium,43,3.0,1000,9.465348243713379,10.681349754333496,0.6096235513687134,9.511007308959961,9.566652297973633,9.304640769958496,0.06141731142997742,0.27954360842704773,0.013773074373602867,0.04587410017848015,0.09514060616493225,0.0,9.4039306640625,154.1153106689453,9.497234234586358,690.5507841581485,2.180781602859497,0.3115575313568115,760.7261352539062,760.41455078125,False,37.3462028503418,True,0
gaussian_medium,44,3.0,1000,9.2880277633667,10.47799015045166,0.6231480836868286,9.276634216308594,9.34565258026123,9.204947471618652,0.06141731142997742,0.27954360842704773,0.013773074373602867,0.04587410017848015,0.09514060616493225,0.0,9.22661018371582,151.22817993164062,9.26286114193499,673.5340247699497,2.2291624546051025,0.3115575313568115,746.1480102539062,745.83642578125,False,39.41912841796875,True,0
drift_medium,42,0.3,1000,0.9479013681411743,1.0721540451049805,0.2291848063468933,0.4326472580432892,0.9054526686668396,1.187086582183838,0.03514675050973892,0.2072746306657791,0.00482790544629097,0.024494698271155357,0.058740872889757156,0.0,0.9127545952796936,26.969816207885742,0.4278193525969982,89.61386316620383,1.105705976486206,0.2692013382911682,74.66276550292969,74.39356231689453,False,7.680157661437988,True,0
