condition,version,version_available,zeta,seed,trajectory_id,t,likelihood_before_guidance,likelihood_after_guidance,likelihood_delta_after_minus_before,ADE_before_guidance,ADE_after_guidance,ADE_delta_after_minus_before,acceleration_RMS_before_guidance,acceleration_RMS_after_guidance,acceleration_delta_after_minus_before,update_to_x_ratio,grad_norm,loss_isfinite,grad_isfinite,before_isfinite,after_isfinite
drift_medium,A_current_post_base_update,True,0.3,42,0,99,4.991274833679199,4.903088569641113,-0.08818626403808594,2.0078470706939697,2.0283894538879395,0.020542383193969727,0.18566086888313293,0.1842697709798813,-0.001391097903251648,0.1468329894741041,3.2458739280700684,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,0,80,2.1058356761932373,2.0705463886260986,-0.03528928756713867,1.9713466167449951,1.9693266153335571,-0.0020200014114379883,0.19261829555034637,0.1935359686613083,0.0009176731109619141,0.037098278080686185,0.6700810194015503,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,0,60,1.8382307291030884,2.976069927215576,1.1378391981124878,1.9594202041625977,1.9375019073486328,-0.021918296813964844,0.19597487151622772,0.19952641427516937,0.0035515427589416504,0.14143757025768983,1.8476704359054565,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,0,40,2.336259126663208,2.525426149368286,0.18916702270507812,1.9954030513763428,1.9497038125991821,-0.045699238777160645,0.1978224515914917,0.2035595178604126,0.0057370662689208984,0.5539132249328924,3.9005954265594482,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,0,20,14.004768371582031,7.637493133544922,-6.367275238037109,2.0479564666748047,1.960291862487793,-0.08766460418701172,0.206318661570549,0.20634765923023224,2.899765968322754e-05,0.9964267466630499,8.674701690673828,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,0,0,122.7427978515625,100.6150131225586,-22.127784729003906,2.4494431018829346,2.6715102195739746,0.22206711769104004,0.23825864493846893,0.23836347460746765,0.00010482966899871826,1.7043578204515524,27.265583038330078,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,0,99,4.991274833679199,5.887491226196289,0.8962163925170898,2.0078470706939697,2.033792734146118,0.025945663452148438,0.18566086888313293,0.18212732672691345,-0.0035335421562194824,0.48944328027152006,3.2458739280700684,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,0,80,1.7146588563919067,3.3852970600128174,1.6706382036209106,1.9614194631576538,2.0049710273742676,0.04355156421661377,0.20162397623062134,0.19739995896816254,-0.004224017262458801,0.4293742844868726,2.902599334716797,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,0,60,3.6692237854003906,3.4027655124664307,-0.26645827293395996,1.9666557312011719,1.987567663192749,0.02091193199157715,0.1909085512161255,0.18593062460422516,-0.00497792661190033,0.3382694934257727,1.9125914573669434,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,0,40,7.846785545349121,11.353188514709473,3.5064029693603516,1.9815666675567627,1.9466581344604492,-0.03490853309631348,0.24894732236862183,0.24763260781764984,-0.0013147145509719849,0.5371077556910463,4.518116474151611,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,0,20,50.22107696533203,70.63568115234375,20.41460418701172,2.4299333095550537,1.6333461999893188,-0.7965871095657349,0.27843382954597473,0.4953872263431549,0.21695339679718018,1.642518493790215,13.232288360595703,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,0,0,331.87384033203125,412.1380615234375,80.26422119140625,3.7649331092834473,6.956989288330078,3.192056179046631,0.9454832077026367,0.9437713027000427,-0.0017119050025939941,1.5149089355335246,27.2254581451416,True,True,True,True
drift_medium,B_pre_step_guidance,True,0.3,42,0,99,3.101447105407715,4.886584281921387,1.7851371765136719,1.9813627004623413,2.0280721187591553,0.046709418296813965,0.1832612305879593,0.18428653478622437,0.0010253041982650757,0.1443064430362314,3.2458739280700684,True,True,True,True
drift_medium,B_pre_step_guidance,True,0.3,42,0,80,2.1758129596710205,2.0319674015045166,-0.1438455581665039,1.9744895696640015,1.970794677734375,-0.003694891929626465,0.1929054856300354,0.19385454058647156,0.0009490549564361572,0.03619065440584225,0.6576352119445801,True,True,True,True
drift_medium,B_pre_step_guidance,True,0.3,42,0,60,1.6140952110290527,1.9716744422912598,0.35757923126220703,1.978621482849121,1.9545170068740845,-0.02410447597503662,0.19467511773109436,0.19813697040081024,0.0034618526697158813,0.09625579601827654,1.2353222370147705,True,True,True,True
drift_medium,B_pre_step_guidance,True,0.3,42,0,40,2.367426872253418,2.955965518951416,0.588538646697998,1.9951269626617432,1.9559396505355835,-0.03918731212615967,0.2033131867647171,0.2035299688577652,0.0002167820930480957,0.565964098917476,4.555148601531982,True,True,True,True
drift_medium,B_pre_step_guidance,True,0.3,42,0,20,8.173727035522461,10.697668075561523,2.5239410400390625,2.0060625076293945,1.9612104892730713,-0.04485201835632324,0.21705110371112823,0.2297876477241516,0.012736544013023376,0.822154224285727,8.314312934875488,True,True,True,True
drift_medium,B_pre_step_guidance,True,0.3,42,0,0,97.40825653076172,122.5800552368164,25.171798706054688,2.35060715675354,2.7694098949432373,0.41880273818969727,0.2536844313144684,0.2524418234825134,-0.001242607831954956,1.9622530964457652,27.266447067260742,True,True,True,True
drift_medium,B_pre_step_guidance,True,1.0,42,0,99,3.101447105407715,5.833333969116211,2.731886863708496,1.9813627004623413,2.033961057662964,0.05259835720062256,0.1832612305879593,0.18212354183197021,-0.0011376887559890747,0.4810214591212477,3.2458739280700684,True,True,True,True
drift_medium,B_pre_step_guidance,True,1.0,42,0,80,2.3291494846343994,1.9928104877471924,-0.33633899688720703,1.9833234548568726,1.9642982482910156,-0.019025206565856934,0.1995968073606491,0.20040512084960938,0.0008083134889602661,0.14222050279823253,0.8600795269012451,True,True,True,True
drift_medium,B_pre_step_guidance,True,1.0,42,0,60,7.822422981262207,5.2931318283081055,-2.5292911529541016,1.9241787195205688,2.009343385696411,0.08516466617584229,0.21818090975284576,0.24562683701515198,0.027445927262306213,0.3722292412162546,3.853532314300537,True,True,True,True
drift_medium,B_pre_step_guidance,True,1.0,42,0,40,14.367966651916504,12.305899620056152,-2.0620670318603516,1.8845384120941162,1.9304920434951782,0.04595363140106201,0.26098117232322693,0.22363398969173431,-0.037347182631492615,0.8369696956265538,5.583105564117432,True,True,True,True
drift_medium,B_pre_step_guidance,True,1.0,42,0,20,14.932804107666016,46.45965576171875,31.526851654052734,2.01906681060791,1.9337756633758545,-0.08529114723205566,0.3217688798904419,0.2862645983695984,-0.035504281520843506,1.1430080914032972,7.322999477386475,True,True,True,True
drift_medium,B_pre_step_guidance,True,1.0,42,0,0,342.9129943847656,386.7740783691406,43.861083984375,5.052572727203369,5.709845066070557,0.6572723388671875,0.8519536852836609,0.8434808850288391,-0.008472800254821777,1.4853275112895101,27.229135513305664,True,True,True,True
drift_medium,C_post_step_consistent,True,0.3,42,0,99,4.991274833679199,3.5203402042388916,-1.4709346294403076,2.0078470706939697,2.004518985748291,-0.003328084945678711,0.18566086888313293,0.18260200321674347,-0.0030588656663894653,0.16296122240255975,3.602402687072754,True,True,True,True
drift_medium,C_post_step_consistent,True,0.3,42,0,80,2.204376220703125,1.933180570602417,-0.271195650100708,1.9638910293579102,1.9755369424819946,0.011645913124084473,0.19230219721794128,0.19228293001651764,-1.926720142364502e-05,0.08317941603708516,1.4801816940307617,True,True,True,True
drift_medium,C_post_step_consistent,True,0.3,42,0,60,2.1390864849090576,1.5848028659820557,-0.554283618927002,1.9523236751556396,1.978602647781372,0.026278972625732422,0.19968120753765106,0.19663217663764954,-0.003049030900001526,0.19630483764068965,2.5380799770355225,True,True,True,True
drift_medium,C_post_step_consistent,True,0.3,42,0,40,1.8554027080535889,3.4234418869018555,1.5680391788482666,1.9812514781951904,1.9568132162094116,-0.02443826198577881,0.20128941535949707,0.2029413878917694,0.0016519725322723389,0.5035806948976045,3.9080522060394287,True,True,True,True
drift_medium,C_post_step_consistent,True,0.3,42,0,20,6.543544292449951,13.817394256591797,7.273849964141846,1.98843252658844,1.9671064615249634,-0.021326065063476562,0.2083856761455536,0.2079089879989624,-0.0004766881465911865,1.1787756271745182,8.420766830444336,True,True,True,True
drift_medium,C_post_step_consistent,True,0.3,42,0,0,105.7640609741211,117.23401641845703,11.469955444335938,2.4119887351989746,2.7317440509796143,0.31975531578063965,0.29292821884155273,0.2929205894470215,-7.62939453125e-06,1.6646669052002838,27.242961883544922,True,True,True,True
drift_medium,C_post_step_consistent,True,1.0,42,0,99,4.991274833679199,3.8252499103546143,-1.166024923324585,2.0078470706939697,2.006140947341919,-0.0017061233520507812,0.18566086888313293,0.17568540573120117,-0.009975463151931763,0.5432040267405498,3.602402687072754,True,True,True,True
drift_medium,C_post_step_consistent,True,1.0,42,0,80,7.614039897918701,2.414754867553711,-5.19928503036499,2.046156406402588,1.983711838722229,-0.06244456768035889,0.18794114887714386,0.1855732798576355,-0.002367869019508362,0.6782825670877194,4.572223663330078,True,True,True,True
drift_medium,C_post_step_consistent,True,1.0,42,0,60,2.5616443157196045,6.026094436645508,3.4644501209259033,1.9994251728057861,1.91510009765625,-0.08432507514953613,0.20224963128566742,0.21385431289672852,0.011604681611061096,0.8898196103728229,4.183020114898682,True,True,True,True
drift_medium,C_post_step_consistent,True,1.0,42,0,40,11.946208953857422,7.71851921081543,-4.227689743041992,1.8625997304916382,1.9951146841049194,0.13251495361328125,0.34376266598701477,0.3215946853160858,-0.022167980670928955,0.3705928988592345,3.808382987976074,True,True,True,True
drift_medium,C_post_step_consistent,True,1.0,42,0,20,44.298065185546875,50.297203063964844,5.999137878417969,1.582153558731079,2.5148372650146484,0.9326837062835693,0.47452130913734436,0.45549502968788147,-0.01902627944946289,1.0283640087534909,10.733575820922852,True,True,True,True
drift_medium,C_post_step_consistent,True,1.0,42,0,0,449.2104797363281,297.2093505859375,-152.00112915039062,4.779374599456787,5.7104387283325195,0.9310641288757324,0.7307575941085815,0.7353478670120239,0.004590272903442383,1.425218519721198,27.297435760498047,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,1,99,3.450155019760132,2.548806667327881,-0.901348352432251,1.221266508102417,1.2245495319366455,0.0032830238342285156,0.11599020659923553,0.11474809050559998,-0.001242116093635559,0.10929335524002848,2.4135313034057617,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,1,80,1.6177371740341187,1.529746413230896,-0.08799076080322266,1.2404191493988037,1.242454171180725,0.0020350217819213867,0.11576124280691147,0.11544648557901382,-0.00031475722789764404,0.13148756030922276,2.0111706256866455,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,1,60,1.1411305665969849,1.1544334888458252,0.013302922248840332,1.2424837350845337,1.2382876873016357,-0.004196047782897949,0.10813884437084198,0.10789118707180023,-0.00024765729904174805,0.12634185888265723,1.3407529592514038,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,1,40,1.8550639152526855,1.1556235551834106,-0.6994403600692749,1.2530118227005005,1.240606665611267,-0.012405157089233398,0.1024499461054802,0.10251506417989731,6.511807441711426e-05,0.27690070810269724,2.373795747756958,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,1,20,8.17987060546875,8.355992317199707,0.17612171173095703,1.3087502717971802,1.192106008529663,-0.11664426326751709,0.11052042990922928,0.11348572373390198,0.002965293824672699,0.8313003848395603,7.115930557250977,True,True,True,True
drift_medium,A_current_post_base_update,True,0.3,42,1,0,95.84272766113281,116.85740661621094,21.014678955078125,2.4214859008789062,1.461806297302246,-0.9596796035766602,0.14845553040504456,0.15054596960544586,0.002090439200401306,1.9437731548968669,26.575803756713867,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,1,99,3.450155019760132,1.4585562944412231,-1.9915987253189087,1.221266508102417,1.2365081310272217,0.015241622924804688,0.11599020659923553,0.11383523046970367,-0.0021549761295318604,0.3643111481452701,2.4135313034057617,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,1,80,1.5514492988586426,2.095313787460327,0.5438644886016846,1.2397537231445312,1.231764554977417,-0.007989168167114258,0.11557591706514359,0.11577554047107697,0.00019962340593338013,0.26745085543678937,1.386227011680603,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,1,60,2.7201931476593018,3.088536024093628,0.36834287643432617,1.258078694343567,1.2294037342071533,-0.028674960136413574,0.10856644809246063,0.10905013978481293,0.0004836916923522949,0.6151034221705273,2.2777035236358643,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,1,40,10.456034660339355,20.850683212280273,10.394648551940918,1.233651041984558,1.457610845565796,0.2239598035812378,0.1199653297662735,0.15506277978420258,0.03509745001792908,1.2995408882548523,7.020400524139404,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,1,20,58.802589416503906,50.078216552734375,-8.724372863769531,1.0024583339691162,1.809374451637268,0.8069161176681519,0.29820507764816284,0.4727093577384949,0.17450428009033203,1.119415344314166,11.900728225708008,True,True,True,True
drift_medium,A_current_post_base_update,True,1.0,42,1,0,429.9014892578125,282.3702087402344,-147.53128051757812,6.175896644592285,4.291712284088135,-1.8841843605041504,0.6096444129943848,0.6125548481941223,0.002910435199737549,1.3979827363359592,26.66832160949707,True,True,True,True
drift_medium,B_pre_step_guidance,True,0.3,42,1,99,4.320420742034912,2.564666748046875,-1.755753993988037,1.2190531492233276,1.2245234251022339,0.00547027587890625,0.11614356189966202,0.11476701498031616,-0.0013765469193458557,0.10730180742791046,2.4135313034057617,True,True,True,True
drift_medium,B_pre_step_guidance,True,0.3,42,1,80,1.3495773077011108,1.5080794095993042,0.15850210189819336,1.2448269128799438,1.2424062490463257,-0.002420663833618164,0.11432351917028427,0.11514738947153091,0.0008238703012466431,0.09394375176894278,1.3758947849273682,True,True,True,True
