condition,version,version_available,zeta,seed,trajectory_id,final_ADE,final_RMSE,final_acceleration_RMS,final_likelihood_norm,motion_usage_ratio,noisy_reversion_gap,ADE_high,ADE_low,finite,first_nonfinite_step,first_nonfinite_stage,max_update_to_x_ratio,baseline_zeta0_ADE,baseline_zeta0_likelihood_norm,baseline_zeta0_acceleration_RMS,likelihood_improves_vs_zeta0,ADE_improves_vs_zeta0,acceleration_increases_vs_zeta0
drift_medium,Z_no_guidance,True,0.0,42,0,2.08590030670166,2.1192634105682373,0.1684597283601761,9.581917762756348,5.421938905720259,0.1136554479598999,2.390489101409912,1.8228226900100708,True,,none,0.0,2.08590030670166,9.581917762756348,0.1684597283601761,False,False,False
drift_medium,A_current_post_base_update,True,0.3,42,0,2.6958236694335938,2.736891508102417,0.23909075558185577,100.6150131225586,14.039552143154484,0.7235788106918335,2.4259443283081055,2.956653118133545,True,,none,2.2252470833329387,2.08590030670166,9.581917762756348,0.1684597283601761,False,False,True
drift_medium,A_current_post_base_update,True,1.0,42,0,7.084402561187744,7.5537590980529785,0.9479138255119324,412.1380615234375,66.01156732881816,5.112157821655273,3.5817031860351562,9.498435974121094,True,,none,1.6509810718048936,2.08590030670166,9.581917762756348,0.1684597283601761,False,False,True
drift_medium,B_pre_step_guidance,True,0.3,42,0,2.800715446472168,2.854764461517334,0.253427118062973,122.5800552368164,17.180859348858522,0.8284705877304077,2.3796145915985107,3.185654401779175,True,,none,1.9862353838622415,2.08590030670166,9.581917762756348,0.1684597283601761,False,False,True
drift_medium,B_pre_step_guidance,True,1.0,42,0,5.850340843200684,6.316485404968262,0.851357102394104,386.7740783691406,60.73596522768854,3.878096103668213,3.016569137573242,8.174577713012695,True,,none,2.523753212516808,2.08590030670166,9.581917762756348,0.1684597283601761,False,False,True
drift_medium,C_post_step_consistent,True,0.3,42,0,2.7613770961761475,2.8087522983551025,0.29428765177726746,117.23401641845703,17.587856913571706,0.7891322374343872,2.374920606613159,3.1070284843444824,True,,none,1.7002696261685282,2.08590030670166,9.581917762756348,0.1684597283601761,False,False,True
drift_medium,C_post_step_consistent,True,1.0,42,0,5.801541328430176,6.090144157409668,0.7392095923423767,297.2093505859375,48.22787841941152,3.829296588897705,3.2824058532714844,7.4743452072143555,True,,none,1.9817226190700112,2.08590030670166,9.581917762756348,0.1684597283601761,False,False,True
drift_medium,Z_no_guidance,True,0.0,42,1,1.266238808631897,1.461259126663208,0.11548569053411484,6.249704837799072,2.6391583899166795,0.02064204216003418,2.231633186340332,0.8478545546531677,True,,none,0.0,1.266238808631897,6.249704837799072,0.11548569053411484,False,False,False
drift_medium,A_current_post_base_update,True,0.3,42,1,1.482633352279663,1.7106393575668335,0.15162473917007446,116.85740661621094,14.852144846161833,0.2370365858078003,1.9518135786056519,1.653563141822815,True,,none,2.2110176817991443,1.266238808631897,6.249704837799072,0.11548569053411484,False,False,True
drift_medium,A_current_post_base_update,True,1.0,42,1,4.3760576248168945,4.639430046081543,0.6180354356765747,282.3702087402344,42.8757150052049,3.130460739135742,2.171419858932495,5.332274913787842,True,,none,1.8673549073068887,1.266238808631897,6.249704837799072,0.11548569053411484,False,False,True
drift_medium,B_pre_step_guidance,True,0.3,42,1,2.6559457778930664,2.6764261722564697,0.1377372145652771,109.7791519165039,13.961713472172056,1.4103490114212036,2.450255870819092,2.651646375656128,True,,none,2.1007304968671128,1.266238808631897,6.249704837799072,0.11548569053411484,False,False,True
drift_medium,B_pre_step_guidance,True,1.0,42,1,5.887429237365723,6.752663612365723,0.4266710579395294,458.9429626464844,57.44729696131199,4.64183235168457,1.4611793756484985,7.9019012451171875,True,,none,2.2200998906088785,1.266238808631897,6.249704837799072,0.11548569053411484,False,False,True
drift_medium,C_post_step_consistent,True,0.3,42,1,1.2975422143936157,1.497847318649292,0.13022933900356293,94.68537902832031,12.683392370062302,0.05194544792175293,2.0822861194610596,1.282010793685913,True,,none,2.0659285625790735,1.266238808631897,6.249704837799072,0.11548569053411484,False,False,True
drift_medium,C_post_step_consistent,True,1.0,42,1,4.764981746673584,5.617098808288574,0.4999806582927704,396.0390319824219,50.21343774119408,3.5193848609924316,1.3073145151138306,6.536234378814697,True,,none,2.0526229084264886,1.266238808631897,6.249704837799072,0.11548569053411484,False,False,True
drift_medium,Z_no_guidance,True,0.0,42,2,1.2275749444961548,1.301081895828247,0.5272527933120728,5.827393054962158,2.1265767590322238,-0.06286728382110596,0.6552343368530273,0.9176864624023438,True,,none,0.0,1.2275749444961548,5.827393054962158,0.5272527933120728,False,False,False
drift_medium,A_current_post_base_update,True,0.3,42,2,2.635396957397461,2.7349753379821777,0.5087011456489563,126.17616271972656,12.30948891422267,1.3449547290802002,0.6552343368530273,3.029015302658081,True,,none,2.141575045446251,1.2275749444961548,5.827393054962158,0.5272527933120728,False,False,False
drift_medium,A_current_post_base_update,True,1.0,42,2,7.096027374267578,7.704636573791504,0.7034123539924622,485.8841247558594,46.730711367146064,5.805584907531738,0.6552343368530273,9.728068351745605,True,,none,2.3141679586732735,1.2275749444961548,5.827393054962158,0.5272527933120728,False,False,True
drift_medium,B_pre_step_guidance,True,0.3,42,2,2.6021945476531982,2.6981849670410156,0.5065863728523254,120.90623474121094,11.774434296482633,1.3117523193359375,0.6552343368530273,2.9650280475616455,True,,none,2.1041849867698548,1.2275749444961548,5.827393054962158,0.5272527933120728,False,False,False
drift_medium,B_pre_step_guidance,True,1.0,42,2,3.8200843334198,4.372208595275879,1.0287717580795288,356.3077697753906,35.14282746522344,2.529642105102539,0.6552343368530273,5.964684009552002,True,,none,1.8844944361229556,1.2275749444961548,5.827393054962158,0.5272527933120728,False,False,True
drift_medium,C_post_step_consistent,True,0.3,42,2,2.5989160537719727,2.6950526237487793,0.509642481803894,119.56379699707031,11.734573243769262,1.308473825454712,0.6552343368530273,2.960731267929077,True,,none,2.0982128218345286,1.2275749444961548,5.827393054962158,0.5272527933120728,False,False,False
drift_medium,C_post_step_consistent,True,1.0,42,2,4.120258808135986,4.673005104064941,0.6775344014167786,339.4743957519531,34.713107438836495,2.8298165798187256,0.6552343368530273,6.3540873527526855,True,,none,2.0356358462480824,1.2275749444961548,5.827393054962158,0.5272527933120728,False,False,True
burst_medium,Z_no_guidance,True,0.0,42,0,2.118245840072632,2.1484124660491943,0.1716679483652115,11.762873649597168,2.169979666644101,0.12612545490264893,2.1232242584228516,2.2465028762817383,True,,none,0.0,2.118245840072632,11.762873649597168,0.1716679483652115,False,False,False
burst_medium,A_current_post_base_update,True,0.3,42,0,2.8543179035186768,2.913177728652954,0.25820690393447876,133.02871704101562,4.751824345913582,0.8621975183486938,2.720442056655884,3.270785331726074,True,,none,1.7484838739032624,2.118245840072632,11.762873649597168,0.1716679483652115,False,False,True
burst_medium,A_current_post_base_update,True,1.0,42,0,6.174328804016113,6.565936088562012,0.7222997546195984,374.999755859375,13.400518157680203,4.18220853805542,5.76047945022583,7.01472806930542,True,,none,2.189916154133549,2.118245840072632,11.762873649597168,0.1716679483652115,False,False,True
burst_medium,B_pre_step_guidance,True,0.3,42,0,2.831007480621338,2.882838249206543,0.2427447885274887,120.89630126953125,4.494983255467084,0.838887095451355,2.701366662979126,3.21140718460083,True,,none,1.92057572184116,2.118245840072632,11.762873649597168,0.1716679483652115,False,False,True
burst_medium,B_pre_step_guidance,True,1.0,42,0,5.6620774269104,5.896174907684326,0.45960426330566406,289.0781555175781,10.826036133438503,3.669957160949707,5.216188907623291,6.3415045738220215,True,,none,2.455820621564806,2.118245840072632,11.762873649597168,0.1716679483652115,False,False,True
burst_medium,C_post_step_consistent,True,0.3,42,0,2.562049627304077,2.570934534072876,0.24396193027496338,117.45118713378906,4.2067955879197685,0.5699292421340942,2.3525888919830322,2.609938621520996,True,,none,1.8358618654627838,2.118245840072632,11.762873649597168,0.1716679483652115,False,False,True
burst_medium,C_post_step_consistent,True,1.0,42,0,6.533021450042725,7.120103359222412,0.7631836533546448,461.6424865722656,16.412783222081657,4.540901184082031,5.9292073249816895,7.528915882110596,True,,none,1.7698844518277599,2.118245840072632,11.762873649597168,0.1716679483652115,False,False,True
burst_medium,Z_no_guidance,True,0.0,42,1,1.2655142545700073,1.4525783061981201,0.17484810948371887,10.930567741394043,2.574092183924327,0.0211336612701416,0.39422607421875,0.9836500883102417,True,,none,0.0,1.2655142545700073,10.930567741394043,0.17484810948371887,False,False,False
burst_medium,A_current_post_base_update,True,0.3,42,1,1.5085504055023193,1.7822754383087158,0.27908071875572205,126.85978698730469,3.4697178875630232,0.2641698122024536,2.9012575149536133,1.7471450567245483,True,,none,1.5024652876649378,1.2655142545700073,10.930567741394043,0.17484810948371887,False,False,True
burst_medium,A_current_post_base_update,True,1.0,42,1,4.7127251625061035,5.5427985191345215,0.6132216453552246,405.74334716796875,9.336716917805933,3.4683446884155273,8.825349807739258,6.215559005737305,True,,none,1.746608739149621,1.2655142545700073,10.930567741394043,0.17484810948371887,False,False,True
burst_medium,B_pre_step_guidance,True,0.3,42,1,1.4239962100982666,1.6499402523040771,0.24308139085769653,112.6160659790039,3.291150596832761,0.17961561679840088,2.6371002197265625,1.5443096160888672,True,,none,1.5588795630627847,1.2655142545700073,10.930567741394043,0.17484810948371887,False,False,True
burst_medium,B_pre_step_guidance,True,1.0,42,1,5.443734169006348,5.6626386642456055,0.7107203006744385,336.3831481933594,9.105635151505874,4.1993536949157715,6.738412380218506,6.179510116577148,True,,none,1.7424247502511936,1.2655142545700073,10.930567741394043,0.17484810948371887,False,False,True
burst_medium,C_post_step_consistent,True,0.3,42,1,2.612947463989258,2.6341493129730225,0.255832314491272,115.2099380493164,2.9934282588954906,1.368566870689392,2.111445426940918,2.6238291263580322,True,,none,1.6003021151873758,1.2655142545700073,10.930567741394043,0.17484810948371887,False,False,True
burst_medium,C_post_step_consistent,True,1.0,42,1,5.799903392791748,6.0128021240234375,0.7461819648742676,359.3998107910156,8.760730106918524,4.555522918701172,7.236617565155029,6.541201591491699,True,,none,1.7556765061352437,1.2655142545700073,10.930567741394043,0.17484810948371887,False,False,True
burst_medium,Z_no_guidance,True,0.0,42,2,1.2956262826919556,1.3594673871994019,0.5392285585403442,8.670358657836914,2.645534853844842,0.053034067153930664,1.1268367767333984,1.3189640045166016,True,,none,0.0,1.2956262826919556,8.670358657836914,0.5392285585403442,False,False,False
burst_medium,A_current_post_base_update,True,0.3,42,2,0.9899494051933289,1.025165319442749,0.6381609439849854,112.58432006835938,3.9482496061846577,-0.25264281034469604,0.9502063989639282,1.0270612239837646,True,,none,1.6390396411614128,1.2956262826919556,8.670358657836914,0.5392285585403442,False,True,True
burst_medium,A_current_post_base_update,True,1.0,42,2,7.811192512512207,8.547346115112305,0.8732796907424927,552.4995727539062,15.10267612102049,6.568600177764893,7.571587562561035,5.71018648147583,True,,none,2.438286570358526,1.2956262826919556,8.670358657836914,0.5392285585403442,False,False,True
burst_medium,B_pre_step_guidance,True,0.3,42,2,1.143954873085022,1.2440513372421265,0.6051932573318481,143.38734436035156,4.020498150292926,-0.09863734245300293,1.2041712999343872,0.918812096118927,True,,none,1.6945120663435762,1.2956262826919556,8.670358657836914,0.5392285585403442,False,True,True
burst_medium,B_pre_step_guidance,True,1.0,42,2,3.773454189300537,4.311950206756592,0.8807384967803955,375.3111267089844,10.961124433492785,2.5308618545532227,3.9407057762145996,2.4539103507995605,True,,none,1.9585824824012004,1.2956262826919556,8.670358657836914,0.5392285585403442,False,False,True
burst_medium,C_post_step_consistent,True,0.3,42,2,2.724435806274414,2.8555548191070557,0.5601573586463928,133.6820831298828,3.826093348005891,1.4818435907363892,2.5711512565612793,2.2047977447509766,True,,none,1.7909143904790934,1.2956262826919556,8.670358657836914,0.5392285585403442,False,False,True
burst_medium,C_post_step_consistent,True,1.0,42,2,6.928994178771973,7.590518951416016,0.9676124453544617,513.8523559570312,14.109880843082012,5.686401844024658,6.836611747741699,4.888394355773926,True,,none,1.9759525263710251,1.2956262826919556,8.670358657836914,0.5392285585403442,False,False,True
gaussian_medium,Z_no_guidance,True,0.0,42,0,2.0467400550842285,2.0786821842193604,0.17564429342746735,8.64323616027832,2.3260473654821037,0.0669400691986084,2.0182573795318604,2.0689566135406494,True,,none,0.0,2.0467400550842285,8.64323616027832,0.17564429342746735,False,False,False
