condition,zeta,ADE_E3_fused,ADE_DPS,ADE_delta,ADE_improvement_percent,RMSE,acceleration_RMS,acceleration_RMS_E3_fused,acceleration_ratio_vs_E3,high_conf_ADE,high_conf_ADE_E3_fused,high_conf_ratio_vs_E3,low_conf_ADE,low_conf_ADE_E3_fused,low_conf_ratio_vs_E3,win_rate_vs_E3_fused,likelihood_before,likelihood_after,likelihood_delta,likelihood_decreased,max_update_to_x_ratio,mean_update_to_x_ratio,finite,nan_inf_cases
gaussian_medium,0.0,0.06119450554251671,0.07322511076927185,0.012030605226755142,-19.659616470336914,0.08221888542175293,0.265813946723938,0.2837609350681305,0.9367531538009644,0.0497276708483696,0.013785296119749546,3.6072979801374814,0.09446784853935242,0.09468258917331696,0.9977319944898058,0.254,0.3007490336894989,4.198868751525879,3.8981196880340576,False,0.0,0.0,True,0
gaussian_medium,0.003,0.06119450554251671,0.054281868040561676,-0.006912637501955032,11.296173095703125,0.061405353248119354,0.2659241259098053,0.2837609350681305,0.9371414184570312,0.020556943491101265,0.013785296119749546,1.4912224817318431,0.0820622444152832,0.09468258917331696,0.8667089179940766,0.938,0.3007490336894989,1.740234613418579,1.4394855499267578,False,0.03438009321689606,0.007984319779401025,True,0
drift_medium,0.0,0.034919753670692444,0.05064454302191734,0.0157247893512249,-45.031211853027344,0.057072944939136505,0.2083425372838974,0.2088780701160431,0.9974361658096313,0.020184680819511414,0.0048717232421040535,4.143232243790973,0.07090438902378082,0.05861559882760048,1.209650510136798,0.216,0.2679078280925751,3.304842233657837,3.0369343757629395,False,0.0,0.0,True,0
drift_medium,0.003,0.034919753670692444,0.03656763583421707,0.0016478821635246277,-4.719054222106934,0.04131411761045456,0.20836208760738373,0.2088780701160431,0.9975297451019287,0.009906943887472153,0.0048717232421040535,2.033560486739274,0.05859307944774628,0.05861559882760048,0.9996158125088778,0.36,0.2679078280925751,1.200437307357788,0.9325294494628906,False,0.06671019643545151,0.011129522230476141,True,0
burst_medium,0.0,0.0712660700082779,0.1119210496544838,0.0406549796462059,-57.0467529296875,0.1591605842113495,0.4170927405357361,0.44626757502555847,0.9346247911453247,0.06414874643087387,0.0033128492068499327,19.36361796915911,0.18068276345729828,0.16471625864505768,1.0969333868045557,0.022,0.620126485824585,5.733125686645508,5.112998962402344,False,0.0,0.0,True,0
burst_medium,0.003,0.0712660700082779,0.0745469331741333,0.0032808631658554077,-4.603682041168213,0.1391170173883438,0.41722211241722107,0.44626757502555847,0.9349147081375122,0.01934102550148964,0.0033128492068499327,5.838184684500118,0.15442371368408203,0.16471625864505768,0.9375134850339532,0.324,0.620126485824585,2.349256992340088,1.729130506515503,False,0.022166244685649872,0.005678827331090967,True,0
bias_medium,0.0,0.18391107022762299,0.18830792605876923,0.00439685583114624,-2.3907511234283447,0.18958202004432678,0.20791952311992645,0.2078503668308258,1.0003327131271362,0.05774255841970444,0.0399196520447731,1.4464694821222768,0.29045912623405457,0.2871248126029968,1.0116127672869153,0.432,0.19635224342346191,3.246251106262207,3.049898862838745,False,0.0,0.0,True,0
bias_medium,0.003,0.18391107022762299,0.18456155061721802,0.0006504803895950317,-0.353692889213562,0.18494313955307007,0.20792944729328156,0.2078503668308258,1.000380516052246,0.04286125674843788,0.0399196520447731,1.0736881348656429,0.287168949842453,0.2871248126029968,1.0001537214393144,0.464,0.19635224342346191,1.1880840063095093,0.9917317628860474,False,0.07467088848352432,0.01226332364603877,True,0
jump_medium,0.0,0.258203387260437,0.2464647889137268,-0.011738598346710205,4.546260356903076,0.28326141834259033,0.33143165707588196,0.3545634150505066,0.9347598552703857,0.025630692020058632,0.0,,0.39056792855262756,0.42584356665611267,0.9171629188143361,0.644,0.43906575441360474,5.229660987854004,4.790595054626465,False,0.0,0.0,True,0
jump_medium,0.003,0.258203387260437,0.2514679729938507,-0.006735414266586304,2.608569383621216,0.2899819612503052,0.33166706562042236,0.3545634150505066,0.9354238510131836,0.015252809971570969,0.0,,0.40752366185188293,0.42584356665611267,0.9569797309653292,0.712,0.43906575441360474,2.304623603820801,1.8655579090118408,False,0.02917083352804184,0.006213592132553458,True,0
combined_medium,0.0,0.20990969240665436,0.2140989601612091,0.0041892677545547485,-1.995747685432434,0.22026585042476654,0.2671225070953369,0.2851487398147583,0.9367830753326416,0.0673261433839798,0.04746989160776138,1.4182914918004972,0.3256315588951111,0.32566529512405396,0.9998964082773081,0.454,0.2769331932067871,4.207929611206055,3.9309964179992676,False,0.0,0.0,True,0
combined_medium,0.003,0.20990969240665436,0.20788973569869995,-0.0020199567079544067,0.9622979760169983,0.2131263017654419,0.26724696159362793,0.2851487398147583,0.937219500541687,0.049962833523750305,0.04746989160776138,1.052516275718256,0.32166436314582825,0.32566529512405396,0.9877145890638988,0.666,0.2769331932067871,1.7616074085235596,1.4846742153167725,False,0.036286916583776474,0.00788755357886354,True,0
