degradation,N_trajectories,N_high_frames,N_trajectories_with_high,N_high_violation_frames,N_high_violation_trajectories,high_violation_frame_fraction,high_violation_trajectory_fraction,ADE_noisy_high,ADE_cond_high,ADE_e1_high,C2_pass,total_high_violation_excess,N_trajectories_for_50pct_excess,N_trajectories_for_80pct_excess,N_trajectories_for_90pct_excess,boundary_excess_fraction_radius1,wrong_direction_fraction_high,wrong_direction_fraction_violation,mean_cosine_high,mean_cosine_violation,mean_residual_norm_high,mean_noisy_error_high
drift_medium,200,581,200,242,95,0.4165232358003442,0.475,0.00240786443464458,0.014949391596019268,0.003634951775893569,False,0.7758919596672058,20,47,66,0.01561254662734773,0.2908777969018933,0.6776859504132231,0.08632925897836685,-0.2753050923347473,0.014989889226853848,0.00240786443464458
burst_medium,200,351,162,286,144,0.8148148148148148,0.8888888888888888,0.003384432988241315,0.05163654685020447,0.01127510704100132,False,2.716294765472412,31,68,89,0.4780152947002563,0.4415954415954416,0.527972027972028,0.05238295719027519,-0.05517049878835678,0.05149437114596367,0.003384432988241315
