epoch,train_loss,val_loss
1,0.8840106746246075,0.4469322749113632
2,0.43635030964325217,0.4600148054502778
3,0.3523786694839083,0.39692118258799536
4,0.3588736607082959,0.34119099328073405
5,0.34190906532879534,0.3390842570086657
6,0.32021775738946323,0.23395558939141742
7,0.2894232992468209,0.25770484971798074
8,0.28175817481402693,0.30694946899252423
9,0.29648453665190727,0.249504515175092
10,0.2516695009223346,0.2801056519403296
11,0.2966572292919817,0.25290439644102325
12,0.2673177369709673,0.2929663819781804
13,0.25300131018819483,0.2651572621474832
14,0.2435102971463368,0.19396491020412768
15,0.25576294085075113,0.2116121227963496
16,0.27242292412396135,0.2555061184753806
17,0.26304523184381684,0.2459404832225735
18,0.24748609857312565,0.28841832835795517
19,0.2613062570834982,0.20809873079849503
20,0.2559022667079136,0.20863947802681035
21,0.22025508613421999,0.27151815972085724
22,0.2513759809321371,0.2354353923918837
23,0.23825275281379962,0.25651502003104
24,0.22736604614504452,0.21861020033642398
25,0.23932751807673225,0.23051637461629965
26,0.2051928762731881,0.2777914169986369
27,0.23738061713761296,0.2472590983419095
28,0.21755108879557972,0.18264543126195165
29,0.24011110437327418,0.20325164143311775
30,0.2202862131184545,0.2372226553448176
31,0.2356128415157055,0.22672068264524817
32,0.2164353111694599,0.2577761805663675
33,0.21511379398148636,0.2666058015015166
34,0.22533056756545758,0.22759103471949949
35,0.24586031457473492,0.17968218104313996
36,0.22420395396906753,0.21073065395072355
37,0.22045559564541126,0.21813332201060603
38,0.24315849254871236,0.20866831303653072
39,0.21765216260120787,0.22459843956818015
40,0.210879882861828,0.23851721291824923
41,0.23368682943541427,0.21530031450724196
42,0.23100228581962914,0.18828987822694293
43,0.22096873717061405,0.23522813012034205
44,0.26530692803448647,0.261912926778955
45,0.2304900930873279,0.2661446494571233
46,0.23804971061903854,0.32243626299550976
47,0.2530147135257721,0.18347685064299632
48,0.24553751534429089,0.20644590485904177
49,0.2156500323065396,0.16545643089181286
50,0.20071592721445808,0.2792911953845267
